Model,Fold,Metric,Split,Score
LS,0,RMSE,FirstFit_Train,0.20892542072920703
LS,0,Rsquared,FirstFit_Train,0.9850035990446055
LS,0,RMSE,FirstFit_Test,0.5578053543930074
LS,0,Rsquared,FirstFit_Test,0.8993786657963443
LS,0,RMSE,SecondFit_Train,0.1710936702997757
LS,0,Rsquared,SecondFit_Train,0.9899429094933853
LS,0,RMSE,SecondFit_Test,0.5465731137214791
LS,0,Rsquared,SecondFit_Test,0.903390186567197
LS,1,RMSE,FirstFit_Train,0.2770006814988864
LS,1,Rsquared,FirstFit_Train,0.9734678576165005
LS,1,RMSE,FirstFit_Test,0.6545795067308233
LS,1,Rsquared,FirstFit_Test,0.8754216364427628
LS,1,RMSE,SecondFit_Train,0.2770006814988864
LS,1,Rsquared,SecondFit_Train,0.9734678576165005
LS,1,RMSE,SecondFit_Test,0.6545795067308233
LS,1,Rsquared,SecondFit_Test,0.8754216364427628
LS,2,RMSE,FirstFit_Train,0.39333595367316115
LS,2,Rsquared,FirstFit_Train,0.9466864131069536
LS,2,RMSE,FirstFit_Test,0.7683690416753541
LS,2,Rsquared,FirstFit_Test,0.8150284819713787
LS,2,RMSE,SecondFit_Train,0.39333595367316115
LS,2,Rsquared,SecondFit_Train,0.9466864131069536
LS,2,RMSE,SecondFit_Test,0.7683690416753541
LS,2,Rsquared,SecondFit_Test,0.8150284819713787
LS,3,RMSE,FirstFit_Train,0.21198759065651696
LS,3,Rsquared,FirstFit_Train,0.9841949890260646
LS,3,RMSE,FirstFit_Test,0.7228892492648735
LS,3,Rsquared,FirstFit_Test,0.8725140878311772
LS,3,RMSE,SecondFit_Train,0.21198759065651696
LS,3,Rsquared,SecondFit_Train,0.9841949890260646
LS,3,RMSE,SecondFit_Test,0.7228892492648735
LS,3,Rsquared,SecondFit_Test,0.8725140878311772
LS,4,RMSE,FirstFit_Train,0.2535101394292425
LS,4,Rsquared,FirstFit_Train,0.9778799865487471
LS,4,RMSE,FirstFit_Test,0.5135201459543595
LS,4,Rsquared,FirstFit_Test,0.9083176200084949
LS,4,RMSE,SecondFit_Train,0.1714315810203715
LS,4,Rsquared,SecondFit_Train,0.9898847556265792
