Model,Fold,Metric,Split,Score
LSwFW,0,RMSE,FirstFit_Train,0.22999210119003233
LSwFW,0,Rsquared,FirstFit_Train,0.9818268456753817
LSwFW,0,RMSE,FirstFit_Test,0.5891349749638468
LSwFW,0,Rsquared,FirstFit_Test,0.8877582766181641
LSwFW,0,RMSE,SecondFit_Train,0.16279300327366258
LSwFW,0,Rsquared,SecondFit_Train,0.9908950840031256
LSwFW,0,RMSE,SecondFit_Test,0.5524252063135602
LSwFW,0,Rsquared,SecondFit_Test,0.9013103321753277
LSwFW,1,RMSE,FirstFit_Train,0.27692020809734724
LSwFW,1,Rsquared,FirstFit_Train,0.9734832714529585
LSwFW,1,RMSE,FirstFit_Test,0.6307650517041705
LSwFW,1,Rsquared,FirstFit_Test,0.8843213908764109
LSwFW,1,RMSE,SecondFit_Train,0.27692020809734724
LSwFW,1,Rsquared,SecondFit_Train,0.9734832714529585
LSwFW,1,RMSE,SecondFit_Test,0.6307650517041705
LSwFW,1,Rsquared,SecondFit_Test,0.8843213908764109
LSwFW,2,RMSE,FirstFit_Train,0.2852557383221455
LSwFW,2,Rsquared,FirstFit_Train,0.9719599108466846
LSwFW,2,RMSE,FirstFit_Test,0.8364240558237375
LSwFW,2,Rsquared,FirstFit_Test,0.7808112936317388
LSwFW,2,RMSE,SecondFit_Train,0.2852557383221455
LSwFW,2,Rsquared,SecondFit_Train,0.9719599108466846
LSwFW,2,RMSE,SecondFit_Test,0.8364240558237375
LSwFW,2,Rsquared,SecondFit_Test,0.7808112936317388
LSwFW,3,RMSE,FirstFit_Train,0.2706549735669099
LSwFW,3,Rsquared,FirstFit_Train,0.9742364355732664
LSwFW,3,RMSE,FirstFit_Test,0.7251371041783445
LSwFW,3,Rsquared,FirstFit_Test,0.8717200093885612
LSwFW,3,RMSE,SecondFit_Train,0.2706549735669099
LSwFW,3,Rsquared,SecondFit_Train,0.9742364355732664
LSwFW,3,RMSE,SecondFit_Test,0.7251371041783445
LSwFW,3,Rsquared,SecondFit_Test,0.8717200093885612
LSwFW,4,RMSE,FirstFit_Train,0.21409542258122677
LSwFW,4,Rsquared,FirstFit_Train,0.9842235428358447
LSwFW,4,RMSE,FirstFit_Test,0.48557019882842684
LSwFW,4,Rsquared,FirstFit_Test,0.9180262211437324
LSwFW,4,RMSE,SecondFit_Train,0.21409542258122677
LSwFW,4,Rsquared,SecondFit_Train,0.9842235428358447
LSwFW,4,RMSE,SecondFit_Test,0.48557019882842684
LSwFW,4,Rsquared,SecondFit_Test,0.9180262211437324
LSwFW,5,RMSE,FirstFit_Train,0.3714087088152276
LSwFW,5,Rsquared,FirstFit_Train,0.9530719446647151
LSwFW,5,RMSE,FirstFit_Test,0.62234148737321
LSwFW,5,Rsquared,FirstFit_Test,0.844959530220922
LSwFW,5,RMSE,SecondFit_Train,0.2869475211213589
LSwFW,5,Rsquared,SecondFit_Train,0.9719886947257603
LSwFW,5,RMSE,SecondFit_Test,0.6012483952401995
LSwFW,5,Rsquared,SecondFit_Test,0.8552910377285872
LSwFW,6,RMSE,FirstFit_Train,0.2694205507645352
LSwFW,6,Rsquared,FirstFit_Train,0.975280239074731
LSwFW,6,RMSE,FirstFit_Test,0.6692538988866957
LSwFW,6,Rsquared,FirstFit_Test,0.8094120013623194
LSwFW,6,RMSE,SecondFit_Train,0.23230920264764535
LSwFW,6,Rsquared,SecondFit_Train,0.9816212633251838
LSwFW,6,RMSE,SecondFit_Test,0.6560237006789376
LSwFW,6,Rsquared,SecondFit_Test,0.8168728278105383
LSwFW,7,RMSE,FirstFit_Train,0.2553219888324898
LSwFW,7,Rsquared,FirstFit_Train,0.9775795078008962
LSwFW,7,RMSE,FirstFit_Test,0.5579318193039162
LSwFW,7,Rsquared,FirstFit_Test,0.9004893271176571
LSwFW,7,RMSE,SecondFit_Train,0.2553219888324898
LSwFW,7,Rsquared,SecondFit_Train,0.9775795078008962
LSwFW,7,RMSE,SecondFit_Test,0.5579318193039162
LSwFW,7,Rsquared,SecondFit_Test,0.9004893271176571
LSwFW,8,RMSE,FirstFit_Train,0.3555805956451387
LSwFW,8,Rsquared,FirstFit_Train,0.956926670648841
LSwFW,8,RMSE,FirstFit_Test,0.9570738933437364
LSwFW,8,Rsquared,FirstFit_Test,0.6488615323983837
