Model,Fold,Metric,Split,Score
LSwFW_ones,0,RMSE,FirstFit_Train,0.2507065223873688
LSwFW_ones,0,Rsquared,FirstFit_Train,0.9784058686777432
LSwFW_ones,0,RMSE,FirstFit_Test,0.6024525521282666
LSwFW_ones,0,Rsquared,FirstFit_Test,0.8826264038033226
LSwFW_ones,0,RMSE,SecondFit_Train,0.2507065223873688
LSwFW_ones,0,Rsquared,SecondFit_Train,0.9784058686777432
LSwFW_ones,0,RMSE,SecondFit_Test,0.6024525521282666
LSwFW_ones,0,Rsquared,SecondFit_Test,0.8826264038033226
LSwFW_ones,1,RMSE,FirstFit_Train,0.38011385345659593
LSwFW_ones,1,Rsquared,FirstFit_Train,0.9500382041882868
LSwFW_ones,1,RMSE,FirstFit_Test,0.6005132574400909
LSwFW_ones,1,Rsquared,FirstFit_Test,0.8951513091606085
LSwFW_ones,1,RMSE,SecondFit_Train,0.38011385345659593
LSwFW_ones,1,Rsquared,SecondFit_Train,0.9500382041882868
LSwFW_ones,1,RMSE,SecondFit_Test,0.6005132574400909
LSwFW_ones,1,Rsquared,SecondFit_Test,0.8951513091606085
LSwFW_ones,2,RMSE,FirstFit_Train,0.407002344704857
LSwFW_ones,2,Rsquared,FirstFit_Train,0.942917309694193
LSwFW_ones,2,RMSE,FirstFit_Test,0.8369830895035938
LSwFW_ones,2,Rsquared,FirstFit_Test,0.7805182011107527
LSwFW_ones,2,RMSE,SecondFit_Train,0.407002344704857
LSwFW_ones,2,Rsquared,SecondFit_Train,0.942917309694193
LSwFW_ones,2,RMSE,SecondFit_Test,0.8369830895035938
LSwFW_ones,2,Rsquared,SecondFit_Test,0.7805182011107527
LSwFW_ones,3,RMSE,FirstFit_Train,0.33552031850486347
LSwFW_ones,3,Rsquared,FirstFit_Train,0.9604076231380999
LSwFW_ones,3,RMSE,FirstFit_Test,0.7487350861596457
LSwFW_ones,3,Rsquared,FirstFit_Test,0.8632349799517531
LSwFW_ones,3,RMSE,SecondFit_Train,0.33552031850486347
LSwFW_ones,3,Rsquared,SecondFit_Train,0.9604076231380999
LSwFW_ones,3,RMSE,SecondFit_Test,0.7487350861596457
LSwFW_ones,3,Rsquared,SecondFit_Test,0.8632349799517531
LSwFW_ones,4,RMSE,FirstFit_Train,0.25408408113946845
LSwFW_ones,4,Rsquared,FirstFit_Train,0.9777797146648293
LSwFW_ones,4,RMSE,FirstFit_Test,0.5086451344039347
LSwFW_ones,4,Rsquared,FirstFit_Test,0.9100500978183935
LSwFW_ones,4,RMSE,SecondFit_Train,0.25408408113946845
LSwFW_ones,4,Rsquared,SecondFit_Train,0.9777797146648293
LSwFW_ones,4,RMSE,SecondFit_Test,0.5086451344039347
LSwFW_ones,4,Rsquared,SecondFit_Test,0.9100500978183935
LSwFW_ones,5,RMSE,FirstFit_Train,0.337737314144276
LSwFW_ones,5,Rsquared,FirstFit_Train,0.9611951076822265
LSwFW_ones,5,RMSE,FirstFit_Test,0.6552130619436348
LSwFW_ones,5,Rsquared,FirstFit_Test,0.8281487632107054
LSwFW_ones,5,RMSE,SecondFit_Train,0.2498991736214187
LSwFW_ones,5,Rsquared,SecondFit_Train,0.9787549365771662
LSwFW_ones,5,RMSE,SecondFit_Test,0.6256738244748282
LSwFW_ones,5,Rsquared,SecondFit_Test,0.8432947519033267
LSwFW_ones,6,RMSE,FirstFit_Train,0.25384562295646373
LSwFW_ones,6,Rsquared,FirstFit_Train,0.9780556770750467
LSwFW_ones,6,RMSE,FirstFit_Test,0.6469140988520332
LSwFW_ones,6,Rsquared,FirstFit_Test,0.8219233560991849
LSwFW_ones,6,RMSE,SecondFit_Train,0.25384562295646373
LSwFW_ones,6,Rsquared,SecondFit_Train,0.9780556770750467
LSwFW_ones,6,RMSE,SecondFit_Test,0.6469140988520332
LSwFW_ones,6,Rsquared,SecondFit_Test,0.8219233560991849
LSwFW_ones,7,RMSE,FirstFit_Train,0.2909964153986971
LSwFW_ones,7,Rsquared,FirstFit_Train,0.9708764720278119
LSwFW_ones,7,RMSE,FirstFit_Test,0.5632031164679235
LSwFW_ones,7,Rsquared,FirstFit_Test,0.8986001060149678
LSwFW_ones,7,RMSE,SecondFit_Train,0.2909964153986971
LSwFW_ones,7,Rsquared,SecondFit_Train,0.9708764720278119
LSwFW_ones,7,RMSE,SecondFit_Test,0.5632031164679235
LSwFW_ones,7,Rsquared,SecondFit_Test,0.8986001060149678
LSwFW_ones,8,RMSE,FirstFit_Train,0.37825364314688353
LSwFW_ones,8,Rsquared,FirstFit_Train,0.9512585354004778
LSwFW_ones,8,RMSE,FirstFit_Test,0.9360526759182992
LSwFW_ones,8,Rsquared,FirstFit_Test,0.6641169810554652
LSwFW_ones,8,RMSE,SecondFit_Train,0.3232744468669831
