Model,Fold,Metric,Split,Score,,,,,,
dense,0,RMSE,FirstFit_Train,0.224042698,,,,,,
dense,0,Rsquared,FirstFit_Train,0.982754886,,,,,,
dense,0,RMSE,FirstFit_Test,0.500924507,,,,,,
dense,0,Rsquared,FirstFit_Test,0.918853597,,,,,,
dense,0,RMSE,SecondFit_Train,0.224042698,,,,,,
dense,0,Rsquared,SecondFit_Train,0.982754886,,,,,,
dense,0,RMSE,SecondFit_Test,0.500924507,,,,,,
dense,0,Rsquared,SecondFit_Test,0.918853597,,,,,,
dense,1,RMSE,FirstFit_Train,0.254556915,,,,,,
dense,1,Rsquared,FirstFit_Train,0.977593169,,,,,,
dense,1,RMSE,FirstFit_Test,0.654132721,,,,,,
dense,1,Rsquared,FirstFit_Test,0.875591641,,,,,,
dense,1,RMSE,SecondFit_Train,0.238739064,,,,,,
dense,1,Rsquared,SecondFit_Train,0.980291316,,,,,,
dense,1,RMSE,SecondFit_Test,0.648966239,,,,,,
dense,1,Rsquared,SecondFit_Test,0.877549089,,,,,,
dense,2,RMSE,FirstFit_Train,0.296954226,,,,,,
dense,2,Rsquared,FirstFit_Train,0.969612874,,,,,,
dense,2,RMSE,FirstFit_Test,0.762829184,,,,,,
dense,2,Rsquared,FirstFit_Test,0.817686116,,,,,,
dense,2,RMSE,SecondFit_Train,0.296954226,,,,,,
dense,2,Rsquared,SecondFit_Train,0.969612874,,,,,,
dense,2,RMSE,SecondFit_Test,0.762829184,,,,,,
dense,2,Rsquared,SecondFit_Test,0.817686116,,,,,,
dense,3,RMSE,FirstFit_Train,0.241305725,,,,,,
dense,3,Rsquared,FirstFit_Train,0.97952098,,,,,,
dense,3,RMSE,FirstFit_Test,0.696522592,,,,,,
dense,3,Rsquared,FirstFit_Test,0.881644327,,,,,,
dense,3,RMSE,SecondFit_Train,0.241305725,,,,,,
dense,3,Rsquared,SecondFit_Train,0.97952098,,,,,,
dense,3,RMSE,SecondFit_Test,0.696522592,,,,,,
dense,3,Rsquared,SecondFit_Test,0.881644327,,,,,,
dense,4,RMSE,FirstFit_Train,0.361337263,,,,,,
