Model,Fold,Metric,Split,Score
LS,0,RMSE,FirstFit_Train,0.2750929272254612
LS,0,Rsquared,FirstFit_Train,0.9745927662252749
LS,0,RMSE,FirstFit_Test,0.47509889399962774
LS,0,Rsquared,FirstFit_Test,0.9126153956806625
LS,0,RMSE,SecondFit_Train,0.13828383490767687
LS,0,Rsquared,SecondFit_Train,0.9935799063335093
LS,0,RMSE,SecondFit_Test,0.4727082363499052
LS,0,Rsquared,SecondFit_Test,0.9134926070361002
LS,1,RMSE,FirstFit_Train,0.24905790897407004
LS,1,Rsquared,FirstFit_Train,0.9790898682085862
LS,1,RMSE,FirstFit_Test,0.3006730261418822
LS,1,Rsquared,FirstFit_Test,0.9673884865179062
LS,1,RMSE,SecondFit_Train,0.24905790897407004
LS,1,Rsquared,SecondFit_Train,0.9790898682085862
LS,1,RMSE,SecondFit_Test,0.3006730261418822
LS,1,Rsquared,SecondFit_Test,0.9673884865179062
LS,2,RMSE,FirstFit_Train,0.20485885307069526
LS,2,Rsquared,FirstFit_Train,0.9858773163083797
LS,2,RMSE,FirstFit_Test,0.4397213215237514
LS,2,Rsquared,FirstFit_Test,0.9311015590026667
LS,2,RMSE,SecondFit_Train,0.20485885307069526
LS,2,Rsquared,SecondFit_Train,0.9858773163083797
LS,2,RMSE,SecondFit_Test,0.4397213215237514
LS,2,Rsquared,SecondFit_Test,0.9311015590026667
LS,3,RMSE,FirstFit_Train,0.270168356300159
LS,3,Rsquared,FirstFit_Train,0.9751905263715245
LS,3,RMSE,FirstFit_Test,0.44620414950871934
LS,3,Rsquared,FirstFit_Test,0.9373054237173706
LS,3,RMSE,SecondFit_Train,0.270168356300159
LS,3,Rsquared,SecondFit_Train,0.9751905263715245
LS,3,RMSE,SecondFit_Test,0.44620414950871934
LS,3,Rsquared,SecondFit_Test,0.9373054237173706
LS,4,RMSE,FirstFit_Train,0.34737857345478645
LS,4,Rsquared,FirstFit_Train,0.958727209260264
LS,4,RMSE,FirstFit_Test,0.3832225399045211
LS,4,Rsquared,FirstFit_Test,0.9612062577429475
LS,4,RMSE,SecondFit_Train,0.34737857345478645
LS,4,Rsquared,SecondFit_Train,0.958727209260264
LS,4,RMSE,SecondFit_Test,0.3832225399045211
LS,4,Rsquared,SecondFit_Test,0.9612062577429475
LS,5,RMSE,FirstFit_Train,0.17463844843664844
LS,5,Rsquared,FirstFit_Train,0.9897548976113528
