Model,Fold,Metric,Split,Score
LSwFW,0,RMSE,FirstFit_Train,0.358793349
LSwFW,0,Rsquared,FirstFit_Train,0.956779747
LSwFW,0,RMSE,FirstFit_Test,0.476910303
LSwFW,0,Rsquared,FirstFit_Test,0.911947783
LSwFW,0,RMSE,SecondFit_Train,0.358793349
LSwFW,0,Rsquared,SecondFit_Train,0.956779747
LSwFW,0,RMSE,SecondFit_Test,0.476910303
LSwFW,0,Rsquared,SecondFit_Test,0.911947783
LSwFW,1,RMSE,FirstFit_Train,0.316803616
LSwFW,1,Rsquared,FirstFit_Train,0.966167324
LSwFW,1,RMSE,FirstFit_Test,0.323494175
LSwFW,1,Rsquared,FirstFit_Test,0.962250175
LSwFW,1,RMSE,SecondFit_Train,0.316803616
LSwFW,1,Rsquared,SecondFit_Train,0.966167324
LSwFW,1,RMSE,SecondFit_Test,0.323494175
LSwFW,1,Rsquared,SecondFit_Test,0.962250175
LSwFW,2,RMSE,FirstFit_Train,0.192062756
LSwFW,2,Rsquared,FirstFit_Train,0.987586505
LSwFW,2,RMSE,FirstFit_Test,0.436756415
LSwFW,2,Rsquared,FirstFit_Test,0.932027549
LSwFW,2,RMSE,SecondFit_Train,0.192062756
LSwFW,2,Rsquared,SecondFit_Train,0.987586505
LSwFW,2,RMSE,SecondFit_Test,0.436756415
LSwFW,2,Rsquared,SecondFit_Test,0.932027549
LSwFW,3,RMSE,FirstFit_Train,0.229341699
LSwFW,3,Rsquared,FirstFit_Train,0.982122177
LSwFW,3,RMSE,FirstFit_Test,0.576228743
LSwFW,3,Rsquared,FirstFit_Test,0.895443124
LSwFW,3,RMSE,SecondFit_Train,0.229341699
LSwFW,3,Rsquared,SecondFit_Train,0.982122177
LSwFW,3,RMSE,SecondFit_Test,0.576228743
LSwFW,3,Rsquared,SecondFit_Test,0.895443124
LSwFW,4,RMSE,FirstFit_Train,0.296598504
LSwFW,4,Rsquared,FirstFit_Train,0.969911836
LSwFW,4,RMSE,FirstFit_Test,0.425532509
LSwFW,4,Rsquared,FirstFit_Test,0.95216728
LSwFW,4,RMSE,SecondFit_Train,0.296598504
LSwFW,4,Rsquared,SecondFit_Train,0.969911836
LSwFW,4,RMSE,SecondFit_Test,0.425532509
LSwFW,4,Rsquared,SecondFit_Test,0.95216728
LSwFW,5,RMSE,FirstFit_Train,0.169196091
LSwFW,5,Rsquared,FirstFit_Train,0.990383496
LSwFW,5,RMSE,FirstFit_Test,0.368581291
LSwFW,5,Rsquared,FirstFit_Test,0.949873058
LSwFW,5,RMSE,SecondFit_Train,0.169196091
LSwFW,5,Rsquared,SecondFit_Train,0.990383496
LSwFW,5,RMSE,SecondFit_Test,0.368581291
LSwFW,5,Rsquared,SecondFit_Test,0.949873058
LSwFW,6,RMSE,FirstFit_Train,0.31240974
LSwFW,6,Rsquared,FirstFit_Train,0.967286983
LSwFW,6,RMSE,FirstFit_Test,0.601541887
LSwFW,6,Rsquared,FirstFit_Test,0.860319574
LSwFW,6,RMSE,SecondFit_Train,0.31240974
LSwFW,6,Rsquared,SecondFit_Train,0.967286983
LSwFW,6,RMSE,SecondFit_Test,0.601541887
LSwFW,6,Rsquared,SecondFit_Test,0.860319574
LSwFW,7,RMSE,FirstFit_Train,0.194373661
LSwFW,7,Rsquared,FirstFit_Train,0.987258453
LSwFW,7,RMSE,FirstFit_Test,0.55489331
LSwFW,7,Rsquared,FirstFit_Test,0.889302215
LSwFW,7,RMSE,SecondFit_Train,0.194373661
LSwFW,7,Rsquared,SecondFit_Train,0.987258453
LSwFW,7,RMSE,SecondFit_Test,0.55489331
LSwFW,7,Rsquared,SecondFit_Test,0.889302215
LSwFW,8,RMSE,FirstFit_Train,0.2648821
LSwFW,8,Rsquared,FirstFit_Train,0.976507478
LSwFW,8,RMSE,FirstFit_Test,0.928771155
LSwFW,8,Rsquared,FirstFit_Test,0.664712359
LSwFW,8,RMSE,SecondFit_Train,0.2648821
LSwFW,8,Rsquared,SecondFit_Train,0.976507478
LSwFW,8,RMSE,SecondFit_Test,0.928771155
LSwFW,8,Rsquared,SecondFit_Test,0.664712359
LSwFW,9,RMSE,FirstFit_Train,0.36259509
LSwFW,9,Rsquared,FirstFit_Train,0.953743474
LSwFW,9,RMSE,FirstFit_Test,0.596806606
LSwFW,9,Rsquared,FirstFit_Test,0.92444
LSwFW,9,RMSE,SecondFit_Train,0.36259509
LSwFW,9,Rsquared,SecondFit_Train,0.953743474
LSwFW,9,RMSE,SecondFit_Test,0.596806606
LSwFW,9,Rsquared,SecondFit_Test,0.92444
LSwFW,10,RMSE,FirstFit_Train,0.240585022
LSwFW,10,Rsquared,FirstFit_Train,0.980097223
LSwFW,10,RMSE,FirstFit_Test,0.863762668
LSwFW,10,Rsquared,FirstFit_Test,0.803122488
LSwFW,10,RMSE,SecondFit_Train,0.103639342
LSwFW,10,Rsquared,SecondFit_Train,0.996306605
LSwFW,10,RMSE,SecondFit_Test,0.85016225
LSwFW,10,Rsquared,SecondFit_Test,0.809273567
LSwFW,11,RMSE,FirstFit_Train,0.288932615
LSwFW,11,Rsquared,FirstFit_Train,0.97202262
LSwFW,11,RMSE,FirstFit_Test,0.381232367
LSwFW,11,Rsquared,FirstFit_Test,0.93540147
LSwFW,11,RMSE,SecondFit_Train,0.288932615
LSwFW,11,Rsquared,SecondFit_Train,0.97202262
