Model,Fold,Metric,Split,Score,,,,,
dense,0,RMSE,FirstFit_Train,0.347897768,,,,,
dense,0,Rsquared,FirstFit_Train,0.959364855,,,,,
dense,0,RMSE,FirstFit_Test,0.466375238,,,,,
dense,0,Rsquared,FirstFit_Test,0.915795005,,,,,
dense,0,RMSE,SecondFit_Train,0.347897768,,,,,
dense,0,Rsquared,SecondFit_Train,0.959364855,,,,,
dense,0,RMSE,SecondFit_Test,0.466375238,,,,,
dense,0,Rsquared,SecondFit_Test,0.915795005,,,,,
dense,1,RMSE,FirstFit_Train,0.391748426,,,,,
dense,1,Rsquared,FirstFit_Train,0.948266648,,,,,
dense,1,RMSE,FirstFit_Test,0.295968465,,,,,
dense,1,Rsquared,FirstFit_Test,0.968401032,,,,,
dense,1,RMSE,SecondFit_Train,0.391748426,,,,,
dense,1,Rsquared,SecondFit_Train,0.948266648,,,,,
dense,1,RMSE,SecondFit_Test,0.295968465,,,,,
dense,1,Rsquared,SecondFit_Test,0.968401032,,,,,
dense,2,RMSE,FirstFit_Train,0.277754126,,,,,
dense,2,Rsquared,FirstFit_Train,0.974038559,,,,,
dense,2,RMSE,FirstFit_Test,0.521987509,,,,,
dense,2,Rsquared,FirstFit_Test,0.902909985,,,,,
dense,2,RMSE,SecondFit_Train,0.277754126,,,,,
dense,2,Rsquared,SecondFit_Train,0.974038559,,,,,
dense,2,RMSE,SecondFit_Test,0.521987509,,,,,
dense,2,Rsquared,SecondFit_Test,0.902909985,,,,,
dense,3,RMSE,FirstFit_Train,0.186264419,,,,,
dense,3,Rsquared,FirstFit_Train,0.988207432,,,,,
dense,3,RMSE,FirstFit_Test,0.299214007,,,,,
dense,3,Rsquared,FirstFit_Test,0.971807954,,,,,
dense,3,RMSE,SecondFit_Train,0.186264419,,,,,
dense,3,Rsquared,SecondFit_Train,0.988207432,,,,,
dense,3,RMSE,SecondFit_Test,0.299214007,,,,,
dense,3,Rsquared,SecondFit_Test,0.971807954,,,,,
dense,4,RMSE,FirstFit_Train,0.266625249,,,,,
dense,4,Rsquared,FirstFit_Train,0.975685781,,,,,
dense,4,RMSE,FirstFit_Test,0.402191317,,,,,
dense,4,Rsquared,FirstFit_Test,0.95727078,,,,,
dense,4,RMSE,SecondFit_Train,0.266625249,,,,,
dense,4,Rsquared,SecondFit_Train,0.975685781,,,,,
dense,4,RMSE,SecondFit_Test,0.402191317,,,,,
dense,4,Rsquared,SecondFit_Test,0.95727078,,,,,
dense,5,RMSE,FirstFit_Train,0.206510307,,,,,
dense,5,Rsquared,FirstFit_Train,0.985674162,,,,,
dense,5,RMSE,FirstFit_Test,0.323520207,,,,,
dense,5,Rsquared,FirstFit_Test,0.961380428,,,,,
dense,5,RMSE,SecondFit_Train,0.206510307,,,,,
dense,5,Rsquared,SecondFit_Train,0.985674162,,,,,
dense,5,RMSE,SecondFit_Test,0.323520207,,,,,
dense,5,Rsquared,SecondFit_Test,0.961380428,,,,,
dense,6,RMSE,FirstFit_Train,0.334629345,,,,,
dense,6,Rsquared,FirstFit_Train,0.962468189,,,,,
dense,6,RMSE,FirstFit_Test,0.596882884,,,,,
dense,6,Rsquared,FirstFit_Test,0.862474873,,,,,
dense,6,RMSE,SecondFit_Train,0.200213326,,,,,
dense,6,Rsquared,SecondFit_Train,0.986564389,,,,,
dense,6,RMSE,SecondFit_Test,0.532225222,,,,,
dense,6,Rsquared,SecondFit_Test,0.890656063,,,,,
dense,7,RMSE,FirstFit_Train,0.144452029,,,,,
dense,7,Rsquared,FirstFit_Train,0.992962885,,,,,
dense,7,RMSE,FirstFit_Test,0.53926265,,,,,
dense,7,Rsquared,FirstFit_Test,0.895450818,,,,,
dense,7,RMSE,SecondFit_Train,0.116783959,,,,,
dense,7,Rsquared,SecondFit_Train,0.995400467,,,,,
dense,7,RMSE,SecondFit_Test,0.527024558,,,,,
dense,7,Rsquared,SecondFit_Test,0.900142277,,,,,
dense,8,RMSE,FirstFit_Train,0.21249305,,,,,
dense,8,Rsquared,FirstFit_Train,0.98488132,,,,,
dense,8,RMSE,FirstFit_Test,0.893692522,,,,,
dense,8,Rsquared,FirstFit_Test,0.689560943,,,,,
dense,8,RMSE,SecondFit_Train,0.21249305,,,,,
dense,8,Rsquared,SecondFit_Train,0.98488132,,,,,
dense,8,RMSE,SecondFit_Test,0.893692522,,,,,
dense,8,Rsquared,SecondFit_Test,0.689560943,,,,,
dense,9,RMSE,FirstFit_Train,0.362411471,,,,,
dense,9,Rsquared,FirstFit_Train,0.953790311,,,,,
dense,9,RMSE,FirstFit_Test,0.663126403,,,,,
dense,9,Rsquared,FirstFit_Test,0.906713812,,,,,
dense,9,RMSE,SecondFit_Train,0.362411471,,,,,
dense,9,Rsquared,SecondFit_Train,0.953790311,,,,,
dense,9,RMSE,SecondFit_Test,0.663126403,,,,,
dense,9,Rsquared,SecondFit_Test,0.906713812,,,,,
dense,10,RMSE,FirstFit_Train,0.405740269,,,,,
dense,10,Rsquared,FirstFit_Train,0.943392663,,,,,
dense,10,RMSE,FirstFit_Test,0.63667772,,,,,
dense,10,Rsquared,FirstFit_Test,0.893033803,,,,,
dense,10,RMSE,SecondFit_Train,0.247103781,,,,,
dense,10,Rsquared,SecondFit_Train,0.979004062,,,,,
dense,10,RMSE,SecondFit_Test,0.60710308,,,,,
dense,10,Rsquared,SecondFit_Test,0.902740479,,,,,
dense,11,RMSE,FirstFit_Train,0.428743864,,,,,
dense,11,Rsquared,FirstFit_Train,0.938395883,,,,,
dense,11,RMSE,FirstFit_Test,0.431692742,,,,,
dense,11,Rsquared,FirstFit_Test,0.917169058,,,,,
dense,11,RMSE,SecondFit_Train,0.428743864,,,,,
dense,11,Rsquared,SecondFit_Train,0.938395883,,,,,
dense,11,RMSE,SecondFit_Test,0.431692742,,,,,
dense,11,Rsquared,SecondFit_Test,0.917169058,,,,,
dense,12,RMSE,FirstFit_Train,0.260191931,,,,,
dense,12,Rsquared,FirstFit_Train,0.977575274,,,,,
dense,12,RMSE,FirstFit_Test,0.343655758,,,,,
dense,12,Rsquared,FirstFit_Test,0.940834423,,,,,
dense,12,RMSE,SecondFit_Train,0.260191931,,,,,
dense,12,Rsquared,SecondFit_Train,0.977575274,,,,,
dense,12,RMSE,SecondFit_Test,0.343655758,,,,,
dense,12,Rsquared,SecondFit_Test,0.940834423,,,,,
dense,13,RMSE,FirstFit_Train,0.247807786,,,,,
