Model,Fold,Metric,Split,Score
LSwFW_ones,0,RMSE,FirstFit_Train,0.19964596774767676
LSwFW_ones,0,Rsquared,FirstFit_Train,0.9866180432872266
LSwFW_ones,0,RMSE,FirstFit_Test,0.46237056895030637
LSwFW_ones,0,Rsquared,FirstFit_Test,0.9172348988858898
LSwFW_ones,0,RMSE,SecondFit_Train,0.19964596774767676
LSwFW_ones,0,Rsquared,SecondFit_Train,0.9866180432872266
LSwFW_ones,0,RMSE,SecondFit_Test,0.46237056895030637
LSwFW_ones,0,Rsquared,SecondFit_Test,0.9172348988858898
LSwFW_ones,1,RMSE,FirstFit_Train,0.24384402737700364
LSwFW_ones,1,Rsquared,FirstFit_Train,0.9799561870975239
LSwFW_ones,1,RMSE,FirstFit_Test,0.3443373701841919
LSwFW_ones,1,Rsquared,FirstFit_Test,0.9572289084378999
LSwFW_ones,1,RMSE,SecondFit_Train,0.11486521355936062
LSwFW_ones,1,Rsquared,SecondFit_Train,0.9955523239893308
LSwFW_ones,1,RMSE,SecondFit_Test,0.3377764047953674
LSwFW_ones,1,Rsquared,SecondFit_Test,0.9588432914695729
LSwFW_ones,2,RMSE,FirstFit_Train,0.24086970146608072
LSwFW_ones,2,Rsquared,FirstFit_Train,0.980475851279798
LSwFW_ones,2,RMSE,FirstFit_Test,0.43383111184341344
LSwFW_ones,2,Rsquared,FirstFit_Test,0.9329350301453794
LSwFW_ones,2,RMSE,SecondFit_Train,0.24086970146608072
LSwFW_ones,2,Rsquared,SecondFit_Train,0.980475851279798
LSwFW_ones,2,RMSE,SecondFit_Test,0.43383111184341344
LSwFW_ones,2,Rsquared,SecondFit_Test,0.9329350301453794
LSwFW_ones,3,RMSE,FirstFit_Train,0.5048812974801965
LSwFW_ones,3,Rsquared,FirstFit_Train,0.9133582619905851
LSwFW_ones,3,RMSE,FirstFit_Test,0.5096903419873261
LSwFW_ones,3,Rsquared,FirstFit_Test,0.9181958058536701
LSwFW_ones,3,RMSE,SecondFit_Train,0.5048812974801965
LSwFW_ones,3,Rsquared,SecondFit_Train,0.9133582619905851
LSwFW_ones,3,RMSE,SecondFit_Test,0.5096903419873261
LSwFW_ones,3,Rsquared,SecondFit_Test,0.9181958058536701
LSwFW_ones,4,RMSE,FirstFit_Train,0.44111367651694855
LSwFW_ones,4,Rsquared,FirstFit_Train,0.9334483500519635
LSwFW_ones,4,RMSE,FirstFit_Test,0.36656369941490824
LSwFW_ones,4,Rsquared,FirstFit_Test,0.9645057097953286
LSwFW_ones,4,RMSE,SecondFit_Train,0.44111367651694855
LSwFW_ones,4,Rsquared,SecondFit_Train,0.9334483500519635
LSwFW_ones,4,RMSE,SecondFit_Test,0.36656369941490824
LSwFW_ones,4,Rsquared,SecondFit_Test,0.9645057097953286
LSwFW_ones,5,RMSE,FirstFit_Train,0.2047816821748564
LSwFW_ones,5,Rsquared,FirstFit_Train,0.98591299116753
LSwFW_ones,5,RMSE,FirstFit_Test,0.3480037369031131
LSwFW_ones,5,Rsquared,FirstFit_Test,0.9553139003915232
LSwFW_ones,5,RMSE,SecondFit_Train,0.2047816821748564
LSwFW_ones,5,Rsquared,SecondFit_Train,0.98591299116753
LSwFW_ones,5,RMSE,SecondFit_Test,0.3480037369031131
LSwFW_ones,5,Rsquared,SecondFit_Test,0.9553139003915232
LSwFW_ones,6,RMSE,FirstFit_Train,0.21398576302760483
LSwFW_ones,6,Rsquared,FirstFit_Train,0.9846523732659523
LSwFW_ones,6,RMSE,FirstFit_Test,0.6371404316414025
LSwFW_ones,6,Rsquared,FirstFit_Test,0.8432981460555893
LSwFW_ones,6,RMSE,SecondFit_Train,0.21398576302760483
LSwFW_ones,6,Rsquared,SecondFit_Train,0.9846523732659523
LSwFW_ones,6,RMSE,SecondFit_Test,0.6371404316414025
LSwFW_ones,6,Rsquared,SecondFit_Test,0.8432981460555893
LSwFW_ones,7,RMSE,FirstFit_Train,0.2596219177622419
LSwFW_ones,7,Rsquared,FirstFit_Train,0.9772683976309479
LSwFW_ones,7,RMSE,FirstFit_Test,0.4781423816318291
LSwFW_ones,7,Rsquared,FirstFit_Test,0.9178070749969055
LSwFW_ones,7,RMSE,SecondFit_Train,0.2596219177622419
LSwFW_ones,7,Rsquared,SecondFit_Train,0.9772683976309479
LSwFW_ones,7,RMSE,SecondFit_Test,0.4781423816318291
LSwFW_ones,7,Rsquared,SecondFit_Test,0.9178070749969055
LSwFW_ones,8,RMSE,FirstFit_Train,0.7152427833764229
LSwFW_ones,8,Rsquared,FirstFit_Train,0.8287102433584328
LSwFW_ones,8,RMSE,FirstFit_Test,0.9246773915839018
LSwFW_ones,8,Rsquared,FirstFit_Test,0.6676615531621395
LSwFW_ones,8,RMSE,SecondFit_Train,0.7152427833764229
LSwFW_ones,8,Rsquared,SecondFit_Train,0.8287102433584328
LSwFW_ones,8,RMSE,SecondFit_Test,0.9246773915839018
LSwFW_ones,8,Rsquared,SecondFit_Test,0.6676615531621395
LSwFW_ones,9,RMSE,FirstFit_Train,0.704889560682842
LSwFW_ones,9,Rsquared,FirstFit_Train,0.8251879624514014
LSwFW_ones,9,RMSE,FirstFit_Test,0.6223960518995642
LSwFW_ones,9,Rsquared,FirstFit_Test,0.9178214708842267
LSwFW_ones,9,RMSE,SecondFit_Train,0.704889560682842
LSwFW_ones,9,Rsquared,SecondFit_Train,0.8251879624514014
LSwFW_ones,9,RMSE,SecondFit_Test,0.6223960518995642
LSwFW_ones,9,Rsquared,SecondFit_Test,0.9178214708842267
LSwFW_ones,10,RMSE,FirstFit_Train,0.34991328013916706
LSwFW_ones,10,Rsquared,FirstFit_Train,0.9578985212052239
LSwFW_ones,10,RMSE,FirstFit_Test,0.7805639585959737
LSwFW_ones,10,Rsquared,FirstFit_Test,0.8392228812047924
LSwFW_ones,10,RMSE,SecondFit_Train,0.34991328013916706
LSwFW_ones,10,Rsquared,SecondFit_Train,0.9578985212052239
LSwFW_ones,10,RMSE,SecondFit_Test,0.7805639585959737
LSwFW_ones,10,Rsquared,SecondFit_Test,0.8392228812047924
LSwFW_ones,11,RMSE,FirstFit_Train,0.19479224184287539
LSwFW_ones,11,Rsquared,FirstFit_Train,0.9872838040722537
LSwFW_ones,11,RMSE,FirstFit_Test,0.4178436949852015
LSwFW_ones,11,Rsquared,FirstFit_Test,0.9223983754748075
LSwFW_ones,11,RMSE,SecondFit_Train,0.19479224184287539
LSwFW_ones,11,Rsquared,SecondFit_Train,0.9872838040722537
LSwFW_ones,11,RMSE,SecondFit_Test,0.4178436949852015
LSwFW_ones,11,Rsquared,SecondFit_Test,0.9223983754748075
LSwFW_ones,12,RMSE,FirstFit_Train,0.21913012759635908
LSwFW_ones,12,Rsquared,FirstFit_Train,0.9840946333739637
LSwFW_ones,12,RMSE,FirstFit_Test,0.33284100045168136
LSwFW_ones,12,Rsquared,FirstFit_Test,0.9444996797656009
LSwFW_ones,12,RMSE,SecondFit_Train,0.21913012759635908
LSwFW_ones,12,Rsquared,SecondFit_Train,0.9840946333739637
LSwFW_ones,12,RMSE,SecondFit_Test,0.33284100045168136
LSwFW_ones,12,Rsquared,SecondFit_Test,0.9444996797656009
LSwFW_ones,13,RMSE,FirstFit_Train,0.1514179096349472
LSwFW_ones,13,Rsquared,FirstFit_Train,0.9922753705566946
LSwFW_ones,13,RMSE,FirstFit_Test,0.2787857822453374
LSwFW_ones,13,Rsquared,FirstFit_Test,0.9727843110253275
LSwFW_ones,13,RMSE,SecondFit_Train,0.1128150155785861
LSwFW_ones,13,Rsquared,SecondFit_Train,0.9957119782665126
LSwFW_ones,13,RMSE,SecondFit_Test,0.2714015538312797
LSwFW_ones,13,Rsquared,SecondFit_Test,0.9742069470505937
LSwFW_ones,14,RMSE,FirstFit_Train,0.26362318611948476
LSwFW_ones,14,Rsquared,FirstFit_Train,0.9770068097236988
LSwFW_ones,14,RMSE,FirstFit_Test,0.4459600826653313
LSwFW_ones,14,Rsquared,FirstFit_Test,0.8905605691063904
LSwFW_ones,14,RMSE,SecondFit_Train,0.26362318611948476
LSwFW_ones,14,Rsquared,SecondFit_Train,0.9770068097236988
LSwFW_ones,14,RMSE,SecondFit_Test,0.4459600826653313
LSwFW_ones,14,Rsquared,SecondFit_Test,0.8905605691063904
LSwFW_ones,15,RMSE,FirstFit_Train,0.14358380200892754
LSwFW_ones,15,Rsquared,FirstFit_Train,0.9929996570041394
LSwFW_ones,15,RMSE,FirstFit_Test,0.2843201935808808
LSwFW_ones,15,Rsquared,FirstFit_Test,0.9737015189592557
LSwFW_ones,15,RMSE,SecondFit_Train,0.10947359364957016
LSwFW_ones,15,Rsquared,SecondFit_Train,0.9959306300741388
LSwFW_ones,15,RMSE,SecondFit_Test,0.2694478435773972
LSwFW_ones,15,Rsquared,SecondFit_Test,0.9763808275427325
LSwFW_ones,16,RMSE,FirstFit_Train,0.21626059419118304
LSwFW_ones,16,Rsquared,FirstFit_Train,0.9841121545365743
LSwFW_ones,16,RMSE,FirstFit_Test,0.3948165545358314
LSwFW_ones,16,Rsquared,FirstFit_Test,0.9275804017814961
LSwFW_ones,16,RMSE,SecondFit_Train,0.21626059419118304
LSwFW_ones,16,Rsquared,SecondFit_Train,0.9841121545365743
LSwFW_ones,16,RMSE,SecondFit_Test,0.3948165545358314
LSwFW_ones,16,Rsquared,SecondFit_Test,0.9275804017814961
LSwFW_ones,17,RMSE,FirstFit_Train,0.2453941288585661
LSwFW_ones,17,Rsquared,FirstFit_Train,0.9800774077939188
LSwFW_ones,17,RMSE,FirstFit_Test,0.44316383881756494
LSwFW_ones,17,Rsquared,FirstFit_Test,0.8914895717686588
LSwFW_ones,17,RMSE,SecondFit_Train,0.2453941288585661
LSwFW_ones,17,Rsquared,SecondFit_Train,0.9800774077939188
LSwFW_ones,17,RMSE,SecondFit_Test,0.44316383881756494
LSwFW_ones,17,Rsquared,SecondFit_Test,0.8914895717686588
LSwFW_ones,18,RMSE,FirstFit_Train,0.37773331375668084
LSwFW_ones,18,Rsquared,FirstFit_Train,0.9525346700534599
LSwFW_ones,18,RMSE,FirstFit_Test,0.6809748354503304
LSwFW_ones,18,Rsquared,FirstFit_Test,0.7737348118925748
LSwFW_ones,18,RMSE,SecondFit_Train,0.37773331375668084
LSwFW_ones,18,Rsquared,SecondFit_Train,0.9525346700534599
LSwFW_ones,18,RMSE,SecondFit_Test,0.6809748354503304
LSwFW_ones,18,Rsquared,SecondFit_Test,0.7737348118925748
LSwFW_ones,19,RMSE,FirstFit_Train,0.3829477138542526
LSwFW_ones,19,Rsquared,FirstFit_Train,0.9508050892781935
LSwFW_ones,19,RMSE,FirstFit_Test,0.7706504109910275
LSwFW_ones,19,Rsquared,FirstFit_Test,0.7051334883698673
LSwFW_ones,19,RMSE,SecondFit_Train,0.3829477138542526
LSwFW_ones,19,Rsquared,SecondFit_Train,0.9508050892781935
LSwFW_ones,19,RMSE,SecondFit_Test,0.7706504109910275
LSwFW_ones,19,Rsquared,SecondFit_Test,0.7051334883698673
