Model,Fold,Metric,Split,Score
xgboost,0,RMSE,FirstFit_Train,0.0535916817014977
xgboost,0,Rsquared,FirstFit_Train,0.9990357418791403
xgboost,0,RMSE,FirstFit_Test,0.7139688636311774
xgboost,0,Rsquared,FirstFit_Test,0.8026553168088161
xgboost,1,RMSE,FirstFit_Train,0.05246951421420241
xgboost,1,Rsquared,FirstFit_Train,0.9990719525502931
xgboost,1,RMSE,FirstFit_Test,0.5083010728961335
xgboost,1,Rsquared,FirstFit_Test,0.9067982492962732
xgboost,2,RMSE,FirstFit_Train,0.03385973172211855
xgboost,2,Rsquared,FirstFit_Train,0.9996141888417607
xgboost,2,RMSE,FirstFit_Test,0.5288426681372504
xgboost,2,Rsquared,FirstFit_Test,0.9003431119845741
xgboost,3,RMSE,FirstFit_Train,0.05321048377265076
xgboost,3,Rsquared,FirstFit_Train,0.9990376279445183
xgboost,3,RMSE,FirstFit_Test,0.707493852662636
xgboost,3,Rsquared,FirstFit_Test,0.8423811685277289
xgboost,4,RMSE,FirstFit_Train,0.052260358681603496
xgboost,4,Rsquared,FirstFit_Train,0.9990658802529401
xgboost,4,RMSE,FirstFit_Test,0.635925065125622
xgboost,4,Rsquared,FirstFit_Test,0.8931753515133732
xgboost,5,RMSE,FirstFit_Train,0.05325287781964357
xgboost,5,Rsquared,FirstFit_Train,0.9990473733230638
xgboost,5,RMSE,FirstFit_Test,0.7349167701723587
xgboost,5,Rsquared,FirstFit_Test,0.8007120913029413
xgboost,6,RMSE,FirstFit_Train,0.05357898761206022
xgboost,6,Rsquared,FirstFit_Train,0.9990378108055012
xgboost,6,RMSE,FirstFit_Test,0.8301041379607091
xgboost,6,Rsquared,FirstFit_Test,0.7340077633241522
xgboost,7,RMSE,FirstFit_Train,0.0535196204531113
xgboost,7,Rsquared,FirstFit_Train,0.9990340083040223
xgboost,7,RMSE,FirstFit_Test,0.7077907072616569
xgboost,7,Rsquared,FirstFit_Test,0.819893383383765
xgboost,8,RMSE,FirstFit_Train,0.052876377161064046
xgboost,8,Rsquared,FirstFit_Train,0.9990638449021794
xgboost,8,RMSE,FirstFit_Test,0.9704418914177905
xgboost,8,Rsquared,FirstFit_Test,0.6339510388638676
xgboost,9,RMSE,FirstFit_Train,0.05314315448070831
xgboost,9,Rsquared,FirstFit_Train,0.9990063719643544
xgboost,9,RMSE,FirstFit_Test,1.1422949809955474
xgboost,9,Rsquared,FirstFit_Test,0.7231903394680309
xgboost,10,RMSE,FirstFit_Train,0.04905860664038516
xgboost,10,Rsquared,FirstFit_Train,0.9991724258471737
xgboost,10,RMSE,FirstFit_Test,0.797569568530731
xgboost,10,Rsquared,FirstFit_Test,0.83214108846427
xgboost,11,RMSE,FirstFit_Train,0.05354349704526735
xgboost,11,Rsquared,FirstFit_Train,0.9990392124559844
xgboost,11,RMSE,FirstFit_Test,1.0104357651901676
xgboost,11,Rsquared,FirstFit_Test,0.5462041432360372
xgboost,12,RMSE,FirstFit_Train,0.05353301481141719
xgboost,12,Rsquared,FirstFit_Train,0.9990507449737855
xgboost,12,RMSE,FirstFit_Test,0.6165330651448596
xgboost,12,Rsquared,FirstFit_Test,0.8095703374944772
xgboost,13,RMSE,FirstFit_Train,0.05244846968871926
xgboost,13,Rsquared,FirstFit_Train,0.9990731940682409
xgboost,13,RMSE,FirstFit_Test,0.3032318165566649
xgboost,13,Rsquared,FirstFit_Test,0.9678020942003788
xgboost,14,RMSE,FirstFit_Train,0.05358703820511049
xgboost,14,Rsquared,FirstFit_Train,0.9990499389095666
xgboost,14,RMSE,FirstFit_Test,0.7336556807821272
xgboost,14,Rsquared,FirstFit_Test,0.7038127082084151
xgboost,15,RMSE,FirstFit_Train,0.05215590724758006
xgboost,15,Rsquared,FirstFit_Train,0.9990763329946271
xgboost,15,RMSE,FirstFit_Test,0.5742929907139382
xgboost,15,Rsquared,FirstFit_Test,0.8927043082230388
xgboost,16,RMSE,FirstFit_Train,0.05306405552703033
xgboost,16,Rsquared,FirstFit_Train,0.9990434424573048
xgboost,16,RMSE,FirstFit_Test,1.0216388847335034
xgboost,16,Rsquared,FirstFit_Test,0.5150910151225467
xgboost,17,RMSE,FirstFit_Train,0.036972147845383926
xgboost,17,Rsquared,FirstFit_Train,0.9995477621873897
xgboost,17,RMSE,FirstFit_Test,0.7005710190942914
xgboost,17,Rsquared,FirstFit_Test,0.7288265407224301
xgboost,18,RMSE,FirstFit_Train,0.05078992847261148
xgboost,18,Rsquared,FirstFit_Train,0.9991418541050521
xgboost,18,RMSE,FirstFit_Test,0.7787080249652569
xgboost,18,Rsquared,FirstFit_Test,0.7041272864363879
xgboost,19,RMSE,FirstFit_Train,0.05313879904311237
xgboost,19,Rsquared,FirstFit_Train,0.9990527498465276
xgboost,19,RMSE,FirstFit_Test,1.055407958108487
xgboost,19,Rsquared,FirstFit_Test,0.4469666109011837
