Model,Label,Split,Metric,Type,Score
Combined_LS_stacked,very_toxic,0,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,0,Specificity,Train,0.9983354673495518
Combined_LS_stacked,very_toxic,0,Sensitivity,Test,0.5349794238683128
Combined_LS_stacked,very_toxic,0,Specificity,Test,0.9822239031770046
Combined_LS_stacked,very_toxic,0,Model Score,TrainTest,0.8031154178980973
Combined_LS_stacked,very_toxic,1,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,1,Specificity,Train,0.9982074263764404
Combined_LS_stacked,very_toxic,1,Sensitivity,Test,0.551440329218107
Combined_LS_stacked,very_toxic,1,Specificity,Test,0.9803328290468987
Combined_LS_stacked,very_toxic,1,Model Score,TrainTest,0.809699949579328
Combined_LS_stacked,very_toxic,2,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,2,Specificity,Train,0.998207655869927
Combined_LS_stacked,very_toxic,2,Sensitivity,Test,0.551440329218107
Combined_LS_stacked,very_toxic,2,Specificity,Test,0.9791981845688351
Combined_LS_stacked,very_toxic,2,Model Score,TrainTest,0.8095326055833578
Combined_LS_stacked,very_toxic,3,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,3,Specificity,Train,0.998207655869927
Combined_LS_stacked,very_toxic,3,Sensitivity,Test,0.551440329218107
Combined_LS_stacked,very_toxic,3,Specificity,Test,0.9799546142208775
Combined_LS_stacked,very_toxic,3,Model Score,TrainTest,0.809644178957034
Combined_LS_stacked,very_toxic,4,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,4,Specificity,Train,0.998207655869927
Combined_LS_stacked,very_toxic,4,Sensitivity,Test,0.5473251028806584
Combined_LS_stacked,very_toxic,4,Specificity,Test,0.9807110438729199
Combined_LS_stacked,very_toxic,4,Model Score,TrainTest,0.8080376453348254
Combined_LS_stacked,very_toxic,5,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,5,Specificity,Train,0.999231852515683
Combined_LS_stacked,very_toxic,5,Sensitivity,Test,0.5720164609053497
Combined_LS_stacked,very_toxic,5,Specificity,Test,0.9765506807866868
Combined_LS_stacked,very_toxic,5,Model Score,TrainTest,0.8178043275201177
Combined_LS_stacked,very_toxic,6,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,6,Specificity,Train,0.998207655869927
Combined_LS_stacked,very_toxic,6,Sensitivity,Test,0.551440329218107
Combined_LS_stacked,very_toxic,6,Specificity,Test,0.9791981845688351
Combined_LS_stacked,very_toxic,6,Model Score,TrainTest,0.8095326055833578
Combined_LS_stacked,very_toxic,7,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,7,Specificity,Train,0.9983356804506466
Combined_LS_stacked,very_toxic,7,Sensitivity,Test,0.5473251028806584
Combined_LS_stacked,very_toxic,7,Specificity,Test,0.9780635400907716
Combined_LS_stacked,very_toxic,7,Model Score,TrainTest,0.8076561002476089
Combined_LS_stacked,very_toxic,8,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,8,Specificity,Train,0.9983356804506466
Combined_LS_stacked,very_toxic,8,Sensitivity,Test,0.5596707818930041
Combined_LS_stacked,very_toxic,8,Specificity,Test,0.9799546142208775
Combined_LS_stacked,very_toxic,8,Model Score,TrainTest,0.813089354669454
Combined_LS_stacked,very_toxic,9,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,9,Specificity,Train,0.9983356804506466
Combined_LS_stacked,very_toxic,9,Sensitivity,Test,0.5596707818930041
Combined_LS_stacked,very_toxic,9,Specificity,Test,0.9791981845688351
Combined_LS_stacked,very_toxic,9,Model Score,TrainTest,0.8129777812957777
Combined_LS_stacked,very_toxic,10,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,10,Specificity,Train,0.998207655869927
Combined_LS_stacked,very_toxic,10,Sensitivity,Test,0.5473251028806584
Combined_LS_stacked,very_toxic,10,Specificity,Test,0.9791981845688351
Combined_LS_stacked,very_toxic,10,Model Score,TrainTest,0.8078144985874729
Combined_LS_stacked,very_toxic,11,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,11,Specificity,Train,0.9983356804506466
Combined_LS_stacked,very_toxic,11,Sensitivity,Test,0.5432098765432098
Combined_LS_stacked,very_toxic,11,Specificity,Test,0.9799546142208775
Combined_LS_stacked,very_toxic,11,Model Score,TrainTest,0.8062169266859147
Combined_LS_stacked,very_toxic,12,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,12,Specificity,Train,0.9983356804506466
Combined_LS_stacked,very_toxic,12,Sensitivity,Test,0.5555555555555556
Combined_LS_stacked,very_toxic,12,Specificity,Test,0.9803328290468987
Combined_LS_stacked,very_toxic,12,Model Score,TrainTest,0.8114270343604072
Combined_LS_stacked,very_toxic,13,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,13,Specificity,Train,0.998207655869927
Combined_LS_stacked,very_toxic,13,Sensitivity,Test,0.551440329218107
Combined_LS_stacked,very_toxic,13,Specificity,Test,0.9795763993948563
Combined_LS_stacked,very_toxic,13,Model Score,TrainTest,0.8095883922701959
Combined_LS_stacked,very_toxic,14,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,14,Specificity,Train,0.998207655869927
Combined_LS_stacked,very_toxic,14,Sensitivity,Test,0.5555555555555556
Combined_LS_stacked,very_toxic,14,Specificity,Test,0.9795763993948563
Combined_LS_stacked,very_toxic,14,Model Score,TrainTest,0.8113064992660807
Combined_LS_stacked,very_toxic,15,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,15,Specificity,Train,0.9983356804506466
Combined_LS_stacked,very_toxic,15,Sensitivity,Test,0.551440329218107
Combined_LS_stacked,very_toxic,15,Specificity,Test,0.9807110438729199
Combined_LS_stacked,very_toxic,15,Model Score,TrainTest,0.8097647140513605
Combined_LS_stacked,very_toxic,16,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,16,Specificity,Train,0.9983356804506466
Combined_LS_stacked,very_toxic,16,Sensitivity,Test,0.5432098765432098
Combined_LS_stacked,very_toxic,16,Specificity,Test,0.9795763993948563
Combined_LS_stacked,very_toxic,16,Model Score,TrainTest,0.8061611399990767
Combined_LS_stacked,very_toxic,17,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,17,Specificity,Train,0.9988477787735245
Combined_LS_stacked,very_toxic,17,Sensitivity,Test,0.5637860082304527
Combined_LS_stacked,very_toxic,17,Specificity,Test,0.9803328290468987
Combined_LS_stacked,very_toxic,17,Model Score,TrainTest,0.8148990952347782
Combined_LS_stacked,very_toxic,18,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,18,Specificity,Train,0.9985917296120855
Combined_LS_stacked,very_toxic,18,Sensitivity,Test,0.5432098765432098
Combined_LS_stacked,very_toxic,18,Specificity,Test,0.9803328290468987
Combined_LS_stacked,very_toxic,18,Model Score,TrainTest,0.8062906368140537
Combined_LS_stacked,very_toxic,19,Sensitivity,Train,1.0
Combined_LS_stacked,very_toxic,19,Specificity,Train,0.9983356804506466
Combined_LS_stacked,very_toxic,19,Sensitivity,Test,0.5473251028806584
Combined_LS_stacked,very_toxic,19,Specificity,Test,0.9803328290468987
Combined_LS_stacked,very_toxic,19,Model Score,TrainTest,0.8079908203686377
Combined_LS_stacked,nontoxic,0,Sensitivity,Train,0.9980811403508771
Combined_LS_stacked,nontoxic,0,Specificity,Train,0.9886621315192744
Combined_LS_stacked,nontoxic,0,Sensitivity,Test,0.7091795288383428
Combined_LS_stacked,nontoxic,0,Specificity,Test,0.8202179176755447
Combined_LS_stacked,nontoxic,0,Model Score,TrainTest,0.8514820199149036
Combined_LS_stacked,nontoxic,1,Sensitivity,Train,0.9980811403508771
Combined_LS_stacked,nontoxic,1,Specificity,Train,0.9886621315192744
Combined_LS_stacked,nontoxic,1,Sensitivity,Test,0.6978066612510154
Combined_LS_stacked,nontoxic,1,Specificity,Test,0.8220338983050848
Combined_LS_stacked,nontoxic,1,Model Score,TrainTest,0.8470017048400516
Combined_LS_stacked,nontoxic,2,Sensitivity,Train,0.9980811403508771
Combined_LS_stacked,nontoxic,2,Specificity,Train,0.9884559884559885
Combined_LS_stacked,nontoxic,2,Sensitivity,Test,0.7018683996750609
Combined_LS_stacked,nontoxic,2,Specificity,Test,0.8311138014527845
Combined_LS_stacked,nontoxic,2,Model Score,TrainTest,0.8500223363319463
Combined_LS_stacked,nontoxic,3,Sensitivity,Train,0.9980811403508771
Combined_LS_stacked,nontoxic,3,Specificity,Train,0.9882498453927026
Combined_LS_stacked,nontoxic,3,Sensitivity,Test,0.7043054427294883
Combined_LS_stacked,nontoxic,3,Specificity,Test,0.8311138014527845
Combined_LS_stacked,nontoxic,3,Model Score,TrainTest,0.8510253717927397
Combined_LS_stacked,nontoxic,4,Sensitivity,Train,0.9980811403508771
Combined_LS_stacked,nontoxic,4,Specificity,Train,0.9882498453927026
Combined_LS_stacked,nontoxic,4,Sensitivity,Test,0.7099918765231519
Combined_LS_stacked,nontoxic,4,Specificity,Test,0.8250605326876513
