Model,Label,Split,Metric,Type,Score
Combined_LSwFW_stacked,very_toxic,0,Sensitivity,Train,1.0
Combined_LSwFW_stacked,very_toxic,0,Specificity,Train,0.9983354673495518
Combined_LSwFW_stacked,very_toxic,0,Sensitivity,Test,0.5308641975308642
Combined_LSwFW_stacked,very_toxic,0,Specificity,Test,0.983358547655068
Combined_LSwFW_stacked,very_toxic,0,Model Score,TrainTest,0.8015646709627269
Combined_LSwFW_stacked,very_toxic,1,Sensitivity,Train,1.0
Combined_LSwFW_stacked,very_toxic,1,Specificity,Train,0.9982074263764404
Combined_LSwFW_stacked,very_toxic,1,Sensitivity,Test,0.5432098765432098
Combined_LSwFW_stacked,very_toxic,1,Specificity,Test,0.981089258698941
Combined_LSwFW_stacked,very_toxic,1,Model Score,TrainTest,0.8063753089612347
Combined_LSwFW_stacked,very_toxic,2,Sensitivity,Train,1.0
Combined_LSwFW_stacked,very_toxic,2,Specificity,Train,0.998207655869927
Combined_LSwFW_stacked,very_toxic,2,Sensitivity,Test,0.5555555555555556
Combined_LSwFW_stacked,very_toxic,2,Specificity,Test,0.9803328290468987
Combined_LSwFW_stacked,very_toxic,2,Model Score,TrainTest,0.8114180726397568
Combined_LSwFW_stacked,very_toxic,3,Sensitivity,Train,1.0
Combined_LSwFW_stacked,very_toxic,3,Specificity,Train,0.998207655869927
Combined_LSwFW_stacked,very_toxic,3,Sensitivity,Test,0.5349794238683128
Combined_LSwFW_stacked,very_toxic,3,Specificity,Test,0.981089258698941
Combined_LSwFW_stacked,very_toxic,3,Model Score,TrainTest,0.8029391110340093
Combined_LSwFW_stacked,very_toxic,4,Sensitivity,Train,1.0
Combined_LSwFW_stacked,very_toxic,4,Specificity,Train,0.998207655869927
Combined_LSwFW_stacked,very_toxic,4,Sensitivity,Test,0.5473251028806584
Combined_LSwFW_stacked,very_toxic,4,Specificity,Test,0.9807110438729199
Combined_LSwFW_stacked,very_toxic,4,Model Score,TrainTest,0.8080376453348254
Combined_LSwFW_stacked,very_toxic,5,Sensitivity,Train,1.0
Combined_LSwFW_stacked,very_toxic,5,Specificity,Train,0.999231852515683
Combined_LSwFW_stacked,very_toxic,5,Sensitivity,Test,0.5761316872427984
Combined_LSwFW_stacked,very_toxic,5,Specificity,Test,0.9803328290468987
Combined_LSwFW_stacked,very_toxic,5,Model Score,TrainTest,0.8200803013843837
Combined_LSwFW_stacked,very_toxic,6,Sensitivity,Train,1.0
Combined_LSwFW_stacked,very_toxic,6,Specificity,Train,0.998207655869927
Combined_LSwFW_stacked,very_toxic,6,Sensitivity,Test,0.5390946502057613
Combined_LSwFW_stacked,very_toxic,6,Specificity,Test,0.9814674735249622
