Model,Label,Split,Metric,Type,Score
LS,very_toxic,0,Sensitivity,Train,1.0
LS,very_toxic,0,Specificity,Train,0.9983354673495518
LS,very_toxic,0,Sensitivity,Test,0.5308641975308642
LS,very_toxic,0,Specificity,Test,0.9765506807866868
LS,very_toxic,0,Model Score,TrainTest,0.8005605105996406
LS,very_toxic,1,Sensitivity,Train,1.0
LS,very_toxic,1,Specificity,Train,0.9982074263764404
LS,very_toxic,1,Sensitivity,Test,0.5555555555555556
LS,very_toxic,1,Specificity,Test,0.9746596066565809
LS,very_toxic,1,Model Score,TrainTest,0.8105812562726409
LS,very_toxic,2,Sensitivity,Train,1.0
LS,very_toxic,2,Specificity,Train,0.998207655869927
LS,very_toxic,2,Sensitivity,Test,0.5473251028806584
LS,very_toxic,2,Specificity,Test,0.9746596066565809
LS,very_toxic,2,Model Score,TrainTest,0.8071450583454154
LS,very_toxic,3,Sensitivity,Train,1.0
LS,very_toxic,3,Specificity,Train,0.998207655869927
LS,very_toxic,3,Sensitivity,Test,0.5473251028806584
LS,very_toxic,3,Specificity,Test,0.9750378214826021
LS,very_toxic,3,Model Score,TrainTest,0.8072008450322534
LS,very_toxic,4,Sensitivity,Train,1.0
LS,very_toxic,4,Specificity,Train,0.998207655869927
LS,very_toxic,4,Sensitivity,Test,0.5473251028806584
LS,very_toxic,4,Specificity,Test,0.9754160363086233
LS,very_toxic,4,Model Score,TrainTest,0.8072566317190917
LS,very_toxic,5,Sensitivity,Train,1.0
LS,very_toxic,5,Specificity,Train,0.999231852515683
LS,very_toxic,5,Sensitivity,Test,0.5843621399176955
LS,very_toxic,5,Specificity,Test,0.9731467473524962
LS,very_toxic,5,Model Score,TrainTest,0.8224565683262288
LS,very_toxic,6,Sensitivity,Train,1.0
LS,very_toxic,6,Specificity,Train,0.998207655869927
LS,very_toxic,6,Sensitivity,Test,0.5555555555555556
LS,very_toxic,6,Specificity,Test,0.9746596066565809
LS,very_toxic,6,Model Score,TrainTest,0.810581272337185
LS,very_toxic,7,Sensitivity,Train,1.0
LS,very_toxic,7,Specificity,Train,0.9983356804506466
LS,very_toxic,7,Sensitivity,Test,0.551440329218107
LS,very_toxic,7,Specificity,Test,0.9742813918305597
LS,very_toxic,7,Model Score,TrainTest,0.8088163403751125
LS,very_toxic,8,Sensitivity,Train,1.0
LS,very_toxic,8,Specificity,Train,0.9983356804506466
LS,very_toxic,8,Sensitivity,Test,0.551440329218107
LS,very_toxic,8,Specificity,Test,0.9750378214826021
LS,very_toxic,8,Model Score,TrainTest,0.8089279137487888
LS,very_toxic,9,Sensitivity,Train,1.0
LS,very_toxic,9,Specificity,Train,0.9983356804506466
LS,very_toxic,9,Sensitivity,Test,0.5473251028806584
LS,very_toxic,9,Specificity,Test,0.9754160363086233
LS,very_toxic,9,Model Score,TrainTest,0.807265593439742
LS,very_toxic,10,Sensitivity,Train,1.0
LS,very_toxic,10,Specificity,Train,0.998207655869927
LS,very_toxic,10,Sensitivity,Test,0.5473251028806584
LS,very_toxic,10,Specificity,Test,0.9746596066565809
LS,very_toxic,10,Model Score,TrainTest,0.8071450583454154
LS,very_toxic,11,Sensitivity,Train,1.0
LS,very_toxic,11,Specificity,Train,0.9983356804506466
LS,very_toxic,11,Sensitivity,Test,0.5473251028806584
LS,very_toxic,11,Specificity,Test,0.9765506807866868
LS,very_toxic,11,Model Score,TrainTest,0.8074329535002565
LS,very_toxic,12,Sensitivity,Train,1.0
LS,very_toxic,12,Specificity,Train,0.9983356804506466
LS,very_toxic,12,Sensitivity,Test,0.5473251028806584
LS,very_toxic,12,Specificity,Test,0.9750378214826021
LS,very_toxic,12,Model Score,TrainTest,0.8072098067529039
LS,very_toxic,13,Sensitivity,Train,1.0
LS,very_toxic,13,Specificity,Train,0.998207655869927
LS,very_toxic,13,Sensitivity,Test,0.5473251028806584
LS,very_toxic,13,Specificity,Test,0.9750378214826021
LS,very_toxic,13,Model Score,TrainTest,0.8072008450322534
LS,very_toxic,14,Sensitivity,Train,1.0
LS,very_toxic,14,Specificity,Train,0.998207655869927
LS,very_toxic,14,Sensitivity,Test,0.551440329218107
LS,very_toxic,14,Specificity,Test,0.9750378214826021
LS,very_toxic,14,Model Score,TrainTest,0.8089189520281383
LS,very_toxic,15,Sensitivity,Train,1.0
LS,very_toxic,15,Specificity,Train,0.9983356804506466
LS,very_toxic,15,Sensitivity,Test,0.5473251028806584
LS,very_toxic,15,Specificity,Test,0.9761724659606656
LS,very_toxic,15,Model Score,TrainTest,0.8073771668134182
LS,very_toxic,16,Sensitivity,Train,1.0
LS,very_toxic,16,Specificity,Train,0.9983356804506466
LS,very_toxic,16,Sensitivity,Test,0.5432098765432098
LS,very_toxic,16,Specificity,Test,0.9754160363086233
LS,very_toxic,16,Model Score,TrainTest,0.8055474864438573
LS,very_toxic,17,Sensitivity,Train,1.0
LS,very_toxic,17,Specificity,Train,0.9988477787735245
LS,very_toxic,17,Sensitivity,Test,0.5349794238683128
LS,very_toxic,17,Specificity,Test,0.9761724659606656
LS,very_toxic,17,Model Score,TrainTest,0.8022586927083654
LS,very_toxic,18,Sensitivity,Train,1.0
LS,very_toxic,18,Specificity,Train,0.9985917296120855
LS,very_toxic,18,Sensitivity,Test,0.5432098765432098
LS,very_toxic,18,Specificity,Test,0.9754160363086233
LS,very_toxic,18,Model Score,TrainTest,0.805565409885158
LS,very_toxic,19,Sensitivity,Train,1.0
LS,very_toxic,19,Specificity,Train,0.9983356804506466
LS,very_toxic,19,Sensitivity,Test,0.551440329218107
LS,very_toxic,19,Specificity,Test,0.9754160363086233
LS,very_toxic,19,Model Score,TrainTest,0.8089837004356268
LS,nontoxic,0,Sensitivity,Train,0.9980811403508771
LS,nontoxic,0,Specificity,Train,0.9886621315192744
LS,nontoxic,0,Sensitivity,Test,0.6913078797725426
LS,nontoxic,0,Specificity,Test,0.8220338983050848
LS,nontoxic,0,Model Score,TrainTest,0.8442884635727892
LS,nontoxic,1,Sensitivity,Train,0.9980811403508771
LS,nontoxic,1,Specificity,Train,0.9886621315192744
LS,nontoxic,1,Sensitivity,Test,0.6929325751421609
LS,nontoxic,1,Specificity,Test,0.8232445520581114
LS,nontoxic,1,Model Score,TrainTest,0.8451453453181763
LS,nontoxic,2,Sensitivity,Train,0.9980811403508771
LS,nontoxic,2,Specificity,Train,0.9884559884559885
LS,nontoxic,2,Sensitivity,Test,0.6864337936636881
LS,nontoxic,2,Specificity,Test,0.8305084745762712
LS,nontoxic,2,Model Score,TrainTest,0.8434891026079124
LS,nontoxic,3,Sensitivity,Train,0.9980811403508771
LS,nontoxic,3,Specificity,Train,0.9882498453927026
LS,nontoxic,3,Sensitivity,Test,0.6945572705117791
LS,nontoxic,3,Specificity,Test,0.826271186440678
LS,nontoxic,3,Model Score,TrainTest,0.8462412241775604
LS,nontoxic,4,Sensitivity,Train,0.9980811403508771
LS,nontoxic,4,Specificity,Train,0.9882498453927026
LS,nontoxic,4,Sensitivity,Test,0.6961819658813972
LS,nontoxic,4,Specificity,Test,0.8196125907990315
LS,nontoxic,4,Model Score,TrainTest,0.8459373916372331
LS,nontoxic,5,Sensitivity,Train,0.9980811403508771
LS,nontoxic,5,Specificity,Train,0.9884559884559885
LS,nontoxic,5,Sensitivity,Test,0.7002437043054427
LS,nontoxic,5,Specificity,Test,0.8250605326876513
LS,nontoxic,5,Model Score,TrainTest,0.8484511688722736
LS,nontoxic,6,Sensitivity,Train,0.9980811403508771
LS,nontoxic,6,Specificity,Train,0.9882498453927026
LS,nontoxic,6,Sensitivity,Test,0.6978066612510154
LS,nontoxic,6,Specificity,Test,0.8208232445520581
LS,nontoxic,6,Model Score,TrainTest,0.8467942733826201
LS,nontoxic,7,Sensitivity,Train,0.9980811403508771
LS,nontoxic,7,Specificity,Train,0.988252267106348
LS,nontoxic,7,Sensitivity,Test,0.7034930950446792
