Model,Label,Split,Metric,Type,Score
LSwFW,very_toxic,0,Sensitivity,Train,1.0
LSwFW,very_toxic,0,Specificity,Train,0.9983354673495518
LSwFW,very_toxic,0,Sensitivity,Test,0.551440329218107
LSwFW,very_toxic,0,Specificity,Test,0.9701210287443268
LSwFW,very_toxic,0,Model Score,TrainTest,0.8082026719028165
LSwFW,very_toxic,1,Sensitivity,Train,1.0
LSwFW,very_toxic,1,Specificity,Train,0.9982074263764404
LSwFW,very_toxic,1,Sensitivity,Test,0.5349794238683128
LSwFW,very_toxic,1,Specificity,Test,0.9708774583963692
LSwFW,very_toxic,1,Model Score,TrainTest,0.8014328544248358
LSwFW,very_toxic,2,Sensitivity,Train,1.0
LSwFW,very_toxic,2,Specificity,Train,0.998207655869927
LSwFW,very_toxic,2,Sensitivity,Test,0.5432098765432098
LSwFW,very_toxic,2,Specificity,Test,0.9708774583963692
LSwFW,very_toxic,2,Model Score,TrainTest,0.8048690844811495
LSwFW,very_toxic,3,Sensitivity,Train,1.0
LSwFW,very_toxic,3,Specificity,Train,0.998207655869927
LSwFW,very_toxic,3,Sensitivity,Test,0.5349794238683128
LSwFW,very_toxic,3,Specificity,Test,0.9712556732223904
LSwFW,very_toxic,3,Model Score,TrainTest,0.8014886571762181
LSwFW,very_toxic,4,Sensitivity,Train,1.0
LSwFW,very_toxic,4,Specificity,Train,0.998207655869927
LSwFW,very_toxic,4,Sensitivity,Test,0.5432098765432098
LSwFW,very_toxic,4,Specificity,Test,0.9712556732223904
LSwFW,very_toxic,4,Model Score,TrainTest,0.8049248711679875
LSwFW,very_toxic,5,Sensitivity,Train,1.0
LSwFW,very_toxic,5,Specificity,Train,0.999231852515683
LSwFW,very_toxic,5,Sensitivity,Test,0.5555555555555556
LSwFW,very_toxic,5,Specificity,Test,0.9693645990922845
LSwFW,very_toxic,5,Model Score,TrainTest,0.8098719524866543
LSwFW,very_toxic,6,Sensitivity,Train,1.0
LSwFW,very_toxic,6,Specificity,Train,0.998207655869927
LSwFW,very_toxic,6,Sensitivity,Test,0.5473251028806584
LSwFW,very_toxic,6,Specificity,Test,0.9693645990922845
LSwFW,very_toxic,6,Model Score,TrainTest,0.8063640447296816
LSwFW,very_toxic,7,Sensitivity,Train,1.0
LSwFW,very_toxic,7,Specificity,Train,0.9983356804506466
LSwFW,very_toxic,7,Sensitivity,Test,0.5432098765432098
LSwFW,very_toxic,7,Specificity,Test,0.9689863842662633
LSwFW,very_toxic,7,Model Score,TrainTest,0.8045991127676093
LSwFW,very_toxic,8,Sensitivity,Train,1.0
LSwFW,very_toxic,8,Specificity,Train,0.9983356804506466
LSwFW,very_toxic,8,Sensitivity,Test,0.5349794238683128
LSwFW,very_toxic,8,Specificity,Test,0.9708774583963692
LSwFW,very_toxic,8,Model Score,TrainTest,0.8014418322100302
LSwFW,very_toxic,9,Sensitivity,Train,1.0
LSwFW,very_toxic,9,Specificity,Train,0.9983356804506466
LSwFW,very_toxic,9,Sensitivity,Test,0.5390946502057613
LSwFW,very_toxic,9,Specificity,Test,0.9720121028744326
LSwFW,very_toxic,9,Model Score,TrainTest,0.8033272992664294
LSwFW,very_toxic,10,Sensitivity,Train,1.0
LSwFW,very_toxic,10,Specificity,Train,0.998207655869927
LSwFW,very_toxic,10,Sensitivity,Test,0.5473251028806584
LSwFW,very_toxic,10,Specificity,Test,0.9708774583963692
LSwFW,very_toxic,10,Model Score,TrainTest,0.8065871914770342
LSwFW,very_toxic,11,Sensitivity,Train,1.0
LSwFW,very_toxic,11,Specificity,Train,0.9983356804506466
LSwFW,very_toxic,11,Sensitivity,Test,0.5390946502057613
LSwFW,very_toxic,11,Specificity,Test,0.9712556732223904
LSwFW,very_toxic,11,Model Score,TrainTest,0.8032157258927533
LSwFW,very_toxic,12,Sensitivity,Train,1.0
LSwFW,very_toxic,12,Specificity,Train,0.9983356804506466
LSwFW,very_toxic,12,Sensitivity,Test,0.5432098765432098
LSwFW,very_toxic,12,Specificity,Test,0.9712556732223904
LSwFW,very_toxic,12,Model Score,TrainTest,0.804933832888638
LSwFW,very_toxic,13,Sensitivity,Train,1.0
LSwFW,very_toxic,13,Specificity,Train,0.998207655869927
LSwFW,very_toxic,13,Sensitivity,Test,0.5432098765432098
LSwFW,very_toxic,13,Specificity,Test,0.9720121028744326
LSwFW,very_toxic,13,Model Score,TrainTest,0.8050364445416638
LSwFW,very_toxic,14,Sensitivity,Train,1.0
LSwFW,very_toxic,14,Specificity,Train,0.998207655869927
LSwFW,very_toxic,14,Sensitivity,Test,0.5390946502057613
LSwFW,very_toxic,14,Specificity,Test,0.9712556732223904
LSwFW,very_toxic,14,Model Score,TrainTest,0.8032067641721028
LSwFW,very_toxic,15,Sensitivity,Train,1.0
LSwFW,very_toxic,15,Specificity,Train,0.9983356804506466
LSwFW,very_toxic,15,Sensitivity,Test,0.5432098765432098
LSwFW,very_toxic,15,Specificity,Test,0.9701210287443268
LSwFW,very_toxic,15,Model Score,TrainTest,0.8047664728281236
LSwFW,very_toxic,16,Sensitivity,Train,1.0
LSwFW,very_toxic,16,Specificity,Train,0.9983356804506466
LSwFW,very_toxic,16,Sensitivity,Test,0.5308641975308642
LSwFW,very_toxic,16,Specificity,Test,0.9712556732223904
LSwFW,very_toxic,16,Model Score,TrainTest,0.7997795119009836
LSwFW,very_toxic,17,Sensitivity,Train,1.0
LSwFW,very_toxic,17,Specificity,Train,0.9988477787735245
LSwFW,very_toxic,17,Sensitivity,Test,0.5432098765432098
LSwFW,very_toxic,17,Specificity,Test,0.9708774583963692
LSwFW,very_toxic,17,Model Score,TrainTest,0.8049138930844013
LSwFW,very_toxic,18,Sensitivity,Train,1.0
LSwFW,very_toxic,18,Specificity,Train,0.9985917296120855
LSwFW,very_toxic,18,Sensitivity,Test,0.5349794238683128
LSwFW,very_toxic,18,Specificity,Test,0.9720121028744326
LSwFW,very_toxic,18,Model Score,TrainTest,0.8016271157118454
LSwFW,very_toxic,19,Sensitivity,Train,1.0
LSwFW,very_toxic,19,Specificity,Train,0.9983356804506466
LSwFW,very_toxic,19,Sensitivity,Test,0.5390946502057613
LSwFW,very_toxic,19,Specificity,Test,0.9716338880484114
LSwFW,very_toxic,19,Model Score,TrainTest,0.8032715125795913
LSwFW,nontoxic,0,Sensitivity,Train,0.9980811403508771
LSwFW,nontoxic,0,Specificity,Train,0.9886621315192744
LSwFW,nontoxic,0,Sensitivity,Test,0.7132412672623883
LSwFW,nontoxic,0,Specificity,Test,0.7717917675544794
LSwFW,nontoxic,0,Model Score,TrainTest,0.8460349385640854
LSwFW,nontoxic,1,Sensitivity,Train,0.9980811403508771
LSwFW,nontoxic,1,Specificity,Train,0.9886621315192744
LSwFW,nontoxic,1,Sensitivity,Test,0.7034930950446792
LSwFW,nontoxic,1,Specificity,Test,0.7826876513317191
LSwFW,nontoxic,1,Model Score,TrainTest,0.8435722195203349
LSwFW,nontoxic,2,Sensitivity,Train,0.9980811403508771
LSwFW,nontoxic,2,Specificity,Train,0.9884559884559885
LSwFW,nontoxic,2,Sensitivity,Test,0.7026807473598701
LSwFW,nontoxic,2,Specificity,Test,0.7730024213075061
LSwFW,nontoxic,2,Model Score,TrainTest,0.8417900629189256
LSwFW,nontoxic,3,Sensitivity,Train,0.9980811403508771
LSwFW,nontoxic,3,Specificity,Train,0.9882498453927026
LSwFW,nontoxic,3,Sensitivity,Test,0.710804224207961
LSwFW,nontoxic,3,Specificity,Test,0.7730024213075061
LSwFW,nontoxic,3,Model Score,TrainTest,0.8451671844885735
LSwFW,nontoxic,4,Sensitivity,Train,0.9980811403508771
LSwFW,nontoxic,4,Specificity,Train,0.9882498453927026
LSwFW,nontoxic,4,Sensitivity,Test,0.7059301380991064
LSwFW,nontoxic,4,Specificity,Test,0.7766343825665859
LSwFW,nontoxic,4,Model Score,TrainTest,0.843667967823841
LSwFW,nontoxic,5,Sensitivity,Train,0.9980811403508771
LSwFW,nontoxic,5,Specificity,Train,0.9884559884559885
LSwFW,nontoxic,5,Sensitivity,Test,0.7156783103168156
LSwFW,nontoxic,5,Specificity,Test,0.7717917675544794
LSwFW,nontoxic,5,Model Score,TrainTest,0.8470379740248788
LSwFW,nontoxic,6,Sensitivity,Train,0.9980811403508771
LSwFW,nontoxic,6,Specificity,Train,0.9882498453927026
LSwFW,nontoxic,6,Sensitivity,Test,0.7164906580016247
LSwFW,nontoxic,6,Specificity,Test,0.7723970944309927
LSwFW,nontoxic,6,Model Score,TrainTest,0.8474519848831423
LSwFW,nontoxic,7,Sensitivity,Train,0.9980811403508771
LSwFW,nontoxic,7,Specificity,Train,0.988252267106348
LSwFW,nontoxic,7,Sensitivity,Test,0.7132412672623883
LSwFW,nontoxic,7,Specificity,Test,0.7736077481840193
LSwFW,nontoxic,7,Model Score,TrainTest,0.8462741051980378
LSwFW,nontoxic,8,Sensitivity,Train,0.9983552631578947
LSwFW,nontoxic,8,Specificity,Train,0.9888705688375927
LSwFW,nontoxic,8,Sensitivity,Test,0.7018683996750609
LSwFW,nontoxic,8,Specificity,Test,0.7808716707021792
LSwFW,nontoxic,8,Model Score,TrainTest,0.8426104891641722
LSwFW,nontoxic,9,Sensitivity,Train,0.9983552631578947
LSwFW,nontoxic,9,Specificity,Train,0.9896949711459192
LSwFW,nontoxic,9,Sensitivity,Test,0.7043054427294883
LSwFW,nontoxic,9,Specificity,Test,0.7808716707021792
LSwFW,nontoxic,9,Model Score,TrainTest,0.8436856628009786
LSwFW,nontoxic,10,Sensitivity,Train,0.9983552631578947
LSwFW,nontoxic,10,Specificity,Train,0.9896949711459192
LSwFW,nontoxic,10,Sensitivity,Test,0.7116165718927701
LSwFW,nontoxic,10,Specificity,Test,0.7742130750605327
LSwFW,nontoxic,10,Model Score,TrainTest,0.8457559163695061
LSwFW,nontoxic,11,Sensitivity,Train,0.9980811403508771
LSwFW,nontoxic,11,Specificity,Train,0.9886644682605111
LSwFW,nontoxic,11,Sensitivity,Test,0.7164906580016247
LSwFW,nontoxic,11,Specificity,Test,0.7772397094430993
LSwFW,nontoxic,11,Model Score,TrainTest,0.8481952941981747
LSwFW,nontoxic,12,Sensitivity,Train,0.9983552631578947
LSwFW,nontoxic,12,Specificity,Train,0.9896949711459192
LSwFW,nontoxic,12,Sensitivity,Test,0.718927701056052
LSwFW,nontoxic,12,Specificity,Test,0.7711864406779662
LSwFW,nontoxic,12,Model Score,TrainTest,0.8483618842237475
LSwFW,nontoxic,13,Sensitivity,Train,0.9980811403508771
LSwFW,nontoxic,13,Specificity,Train,0.9890766694146743
LSwFW,nontoxic,13,Sensitivity,Test,0.7140536149471974
LSwFW,nontoxic,13,Specificity,Test,0.7826876513317191
LSwFW,nontoxic,13,Model Score,TrainTest,0.8480102542323142
LSwFW,nontoxic,14,Sensitivity,Train,0.9986293859649122
LSwFW,nontoxic,14,Specificity,Train,0.9890766694146743
LSwFW,nontoxic,14,Sensitivity,Test,0.7262388302193339
LSwFW,nontoxic,14,Specificity,Test,0.7730024213075061
LSwFW,nontoxic,14,Model Score,TrainTest,0.8516087031623158
