Model,Label,Metric,Type,Score
LSwFW,LD50_mgkg,RMSE,FirstFitTrain,0.3961063250237205
LSwFW,LD50_mgkg,Rsquared,FirstFitTrain,0.7792821125032123
LSwFW,LD50_mgkg,RMSE,FirstTest,0.6073322046366487
LSwFW,LD50_mgkg,Rsquared,FirstTest,0.48278208566834624
LSwFW,LD50_mgkg,Model Score,TrainTest,0.626911565593003
LSwFW,LD50_mgkg,RMSE,SecondFitTrain,0.3633728373930764
LSwFW,LD50_mgkg,Rsquared,SecondFitTrain,0.8142542453364016
LSwFW,LD50_mgkg,RMSE,SecondFitTest,0.6013177561658082
LSwFW,LD50_mgkg,Rsquared,SecondFitTest,0.49297544391372794
LSwFW,LD50_mgkg,Model Score,TrainTest,0.6357955230064296
