Model,Label,Split,Metric,Type,Score
Combined_dense_LSwFW,AgonistClass,0,Sensitivity,Train,1.0
Combined_dense_LSwFW,AgonistClass,0,Specificity,Train,0.9986970684039088
Combined_dense_LSwFW,AgonistClass,0,Sensitivity,Test,0.5903614457831325
Combined_dense_LSwFW,AgonistClass,0,Specificity,Test,0.9944361224053071
Combined_dense_LSwFW,AgonistClass,0,Model Score,TrainTest,0.8280640264575142
Combined_dense_LSwFW,AgonistClass,1,Sensitivity,Train,1.0
Combined_dense_LSwFW,AgonistClass,1,Specificity,Train,0.9986970684039088
Combined_dense_LSwFW,AgonistClass,1,Sensitivity,Test,0.5903614457831325
Combined_dense_LSwFW,AgonistClass,1,Specificity,Test,0.9925101647763749
Combined_dense_LSwFW,AgonistClass,1,Model Score,TrainTest,0.8277799477072466
Combined_dense_LSwFW,AgonistClass,2,Sensitivity,Train,1.0
Combined_dense_LSwFW,AgonistClass,2,Specificity,Train,0.9986970684039088
Combined_dense_LSwFW,AgonistClass,2,Sensitivity,Test,0.6325301204819277
Combined_dense_LSwFW,AgonistClass,2,Specificity,Test,0.9933661459447892
Combined_dense_LSwFW,AgonistClass,2,Model Score,TrainTest,0.8455116266163347
Combined_dense_LSwFW,AgonistClass,3,Sensitivity,Train,1.0
Combined_dense_LSwFW,AgonistClass,3,Specificity,Train,0.9986970684039088
Combined_dense_LSwFW,AgonistClass,3,Sensitivity,Test,0.5783132530120482
Combined_dense_LSwFW,AgonistClass,3,Specificity,Test,0.9948641129895143
Combined_dense_LSwFW,AgonistClass,3,Model Score,TrainTest,0.8230970345867571
Combined_dense_LSwFW,AgonistClass,4,Sensitivity,Train,1.0
Combined_dense_LSwFW,AgonistClass,4,Specificity,Train,0.9993485342019544
Combined_dense_LSwFW,AgonistClass,4,Sensitivity,Test,0.6024096385542169
Combined_dense_LSwFW,AgonistClass,4,Specificity,Test,0.9944361224053071
Combined_dense_LSwFW,AgonistClass,4,Model Score,TrainTest,0.8331397495453051
Combined_dense_LSwFW,AgonistClass,5,Sensitivity,Train,1.0
Combined_dense_LSwFW,AgonistClass,5,Specificity,Train,1.0
Combined_dense_LSwFW,AgonistClass,5,Sensitivity,Test,0.608433734939759
Combined_dense_LSwFW,AgonistClass,5,Specificity,Test,0.9944361224053071
Combined_dense_LSwFW,AgonistClass,5,Model Score,TrainTest,0.8357004123921321
Combined_dense_LSwFW,AgonistClass,6,Sensitivity,Train,1.0
Combined_dense_LSwFW,AgonistClass,6,Specificity,Train,0.9986970684039088
Combined_dense_LSwFW,AgonistClass,6,Sensitivity,Test,0.5602409638554217
Combined_dense_LSwFW,AgonistClass,6,Specificity,Test,0.9948641129895143
Combined_dense_LSwFW,AgonistClass,6,Model Score,TrainTest,0.8155518538638655
Combined_dense_LSwFW,AgonistClass,7,Sensitivity,Train,1.0
Combined_dense_LSwFW,AgonistClass,7,Specificity,Train,0.9986970684039088
Combined_dense_LSwFW,AgonistClass,7,Sensitivity,Test,0.5662650602409639
Combined_dense_LSwFW,AgonistClass,7,Specificity,Test,0.9944361224053071
Combined_dense_LSwFW,AgonistClass,7,Model Score,TrainTest,0.8180037854936587
Combined_dense_LSwFW,AgonistClass,8,Sensitivity,Train,1.0
Combined_dense_LSwFW,AgonistClass,8,Specificity,Train,0.9986970684039088
Combined_dense_LSwFW,AgonistClass,8,Sensitivity,Test,0.5903614457831325
Combined_dense_LSwFW,AgonistClass,8,Specificity,Test,0.9933661459447892
Combined_dense_LSwFW,AgonistClass,8,Model Score,TrainTest,0.8279062049295878
Combined_dense_LSwFW,AgonistClass,9,Sensitivity,Train,1.0
Combined_dense_LSwFW,AgonistClass,9,Specificity,Train,0.9986970684039088
Combined_dense_LSwFW,AgonistClass,9,Sensitivity,Test,0.5602409638554217
Combined_dense_LSwFW,AgonistClass,9,Specificity,Test,0.9948641129895143
Combined_dense_LSwFW,AgonistClass,9,Model Score,TrainTest,0.8155518538638655
