Model,Label,Split,Metric,Type,Score
Combined_dense_LSwFW_ones_stacked,AgonistClass,0,Sensitivity,Train,1.0
Combined_dense_LSwFW_ones_stacked,AgonistClass,0,Specificity,Train,0.9993485342019544
Combined_dense_LSwFW_ones_stacked,AgonistClass,0,Sensitivity,Test,0.5963855421686747
Combined_dense_LSwFW_ones_stacked,AgonistClass,0,Specificity,Test,0.9927241600684785
Combined_dense_LSwFW_ones_stacked,AgonistClass,0,Model Score,TrainTest,0.8303721748596591
Combined_dense_LSwFW_ones_stacked,AgonistClass,1,Sensitivity,Train,1.0
Combined_dense_LSwFW_ones_stacked,AgonistClass,1,Specificity,Train,1.0
Combined_dense_LSwFW_ones_stacked,AgonistClass,1,Sensitivity,Test,0.6144578313253012
Combined_dense_LSwFW_ones_stacked,AgonistClass,1,Specificity,Test,0.9925101647763749
Combined_dense_LSwFW_ones_stacked,AgonistClass,1,Model Score,TrainTest,0.8379313938828284
Combined_dense_LSwFW_ones_stacked,AgonistClass,2,Sensitivity,Train,1.0
Combined_dense_LSwFW_ones_stacked,AgonistClass,2,Specificity,Train,0.9993485342019544
Combined_dense_LSwFW_ones_stacked,AgonistClass,2,Sensitivity,Test,0.6204819277108434
Combined_dense_LSwFW_ones_stacked,AgonistClass,2,Specificity,Test,0.9927241600684785
Combined_dense_LSwFW_ones_stacked,AgonistClass,2,Model Score,TrainTest,0.8404324158235145
Combined_dense_LSwFW_ones_stacked,AgonistClass,3,Sensitivity,Train,1.0
Combined_dense_LSwFW_ones_stacked,AgonistClass,3,Specificity,Train,0.9993485342019544
Combined_dense_LSwFW_ones_stacked,AgonistClass,3,Sensitivity,Test,0.5963855421686747
Combined_dense_LSwFW_ones_stacked,AgonistClass,3,Specificity,Test,0.9935801412368928
Combined_dense_LSwFW_ones_stacked,AgonistClass,3,Model Score,TrainTest,0.8304984320820001
Combined_dense_LSwFW_ones_stacked,AgonistClass,4,Sensitivity,Train,1.0
Combined_dense_LSwFW_ones_stacked,AgonistClass,4,Specificity,Train,1.0
Combined_dense_LSwFW_ones_stacked,AgonistClass,4,Sensitivity,Test,0.6265060240963856
Combined_dense_LSwFW_ones_stacked,AgonistClass,4,Specificity,Test,0.9933661459447892
Combined_dense_LSwFW_ones_stacked,AgonistClass,4,Model Score,TrainTest,0.8430877715870974
Combined_dense_LSwFW_ones_stacked,AgonistClass,5,Sensitivity,Train,1.0
Combined_dense_LSwFW_ones_stacked,AgonistClass,5,Specificity,Train,1.0
Combined_dense_LSwFW_ones_stacked,AgonistClass,5,Sensitivity,Test,0.5662650602409639
Combined_dense_LSwFW_ones_stacked,AgonistClass,5,Specificity,Test,0.9927241600684785
Combined_dense_LSwFW_ones_stacked,AgonistClass,5,Model Score,TrainTest,0.8178424762607029
Combined_dense_LSwFW_ones_stacked,AgonistClass,6,Sensitivity,Train,1.0
Combined_dense_LSwFW_ones_stacked,AgonistClass,6,Specificity,Train,0.9993485342019544
Combined_dense_LSwFW_ones_stacked,AgonistClass,6,Sensitivity,Test,0.5963855421686747
Combined_dense_LSwFW_ones_stacked,AgonistClass,6,Specificity,Test,0.991440188315857
Combined_dense_LSwFW_ones_stacked,AgonistClass,6,Model Score,TrainTest,0.8301827890261473
Combined_dense_LSwFW_ones_stacked,AgonistClass,7,Sensitivity,Train,1.0
Combined_dense_LSwFW_ones_stacked,AgonistClass,7,Specificity,Train,0.9993485342019544
Combined_dense_LSwFW_ones_stacked,AgonistClass,7,Sensitivity,Test,0.6144578313253012
Combined_dense_LSwFW_ones_stacked,AgonistClass,7,Specificity,Test,0.9920821741921678
Combined_dense_LSwFW_ones_stacked,AgonistClass,7,Model Score,TrainTest,0.8378226626657947
Combined_dense_LSwFW_ones_stacked,AgonistClass,8,Sensitivity,Train,1.0
