Model,Label,Split,Metric,Type,Score
Combined_dense_LSwFW_stacked,AgonistClass,0,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,0,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,0,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,0,Specificity,Test,0.9997860047078965
Combined_dense_LSwFW_stacked,AgonistClass,0,Model Score,TrainTest,0.5849834959353786
Combined_dense_LSwFW_stacked,AgonistClass,1,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,1,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,1,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,1,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,1,Model Score,TrainTest,0.5850150602409638
Combined_dense_LSwFW_stacked,AgonistClass,2,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,2,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,2,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,2,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,2,Model Score,TrainTest,0.5850150602409638
Combined_dense_LSwFW_stacked,AgonistClass,3,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,3,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,3,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,3,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,3,Model Score,TrainTest,0.5850150602409638
Combined_dense_LSwFW_stacked,AgonistClass,4,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,4,Specificity,Train,0.9993485342019544
Combined_dense_LSwFW_stacked,AgonistClass,4,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,4,Specificity,Test,0.9997860047078965
Combined_dense_LSwFW_stacked,AgonistClass,4,Model Score,TrainTest,0.5849378933295153
Combined_dense_LSwFW_stacked,AgonistClass,5,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,5,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,5,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,5,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,5,Model Score,TrainTest,0.5850150602409638
Combined_dense_LSwFW_stacked,AgonistClass,6,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,6,Specificity,Train,0.9993485342019544
Combined_dense_LSwFW_stacked,AgonistClass,6,Sensitivity,Test,0.0
Combined_dense_LSwFW_stacked,AgonistClass,6,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,6,Model Score,TrainTest,0.5824543973941368
Combined_dense_LSwFW_stacked,AgonistClass,7,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,7,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,7,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,7,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,7,Model Score,TrainTest,0.5850150602409638
Combined_dense_LSwFW_stacked,AgonistClass,8,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,8,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,8,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,8,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,8,Model Score,TrainTest,0.5850150602409638
Combined_dense_LSwFW_stacked,AgonistClass,9,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,9,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,9,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,9,Specificity,Test,0.9997860047078965
Combined_dense_LSwFW_stacked,AgonistClass,9,Model Score,TrainTest,0.5849834959353786
Combined_dense_LSwFW_stacked,AgonistClass,10,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,10,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,10,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,10,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,10,Model Score,TrainTest,0.5850150602409638
Combined_dense_LSwFW_stacked,AgonistClass,11,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,11,Specificity,Train,0.9986970684039088
Combined_dense_LSwFW_stacked,AgonistClass,11,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,11,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,11,Model Score,TrainTest,0.5849238550292375
Combined_dense_LSwFW_stacked,AgonistClass,12,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,12,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,12,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,12,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,12,Model Score,TrainTest,0.5850150602409638
Combined_dense_LSwFW_stacked,AgonistClass,13,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,13,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,13,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,13,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,13,Model Score,TrainTest,0.5850150602409638
Combined_dense_LSwFW_stacked,AgonistClass,14,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,14,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,14,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,14,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,14,Model Score,TrainTest,0.5850150602409638
Combined_dense_LSwFW_stacked,AgonistClass,15,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,15,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,15,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,15,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,15,Model Score,TrainTest,0.5850150602409638
Combined_dense_LSwFW_stacked,AgonistClass,16,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,16,Specificity,Train,0.9986979166666666
Combined_dense_LSwFW_stacked,AgonistClass,16,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,16,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,16,Model Score,TrainTest,0.5849239144076306
Combined_dense_LSwFW_stacked,AgonistClass,17,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,17,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,17,Sensitivity,Test,0.018072289156626505
Combined_dense_LSwFW_stacked,AgonistClass,17,Specificity,Test,0.9997860047078965
Combined_dense_LSwFW_stacked,AgonistClass,17,Model Score,TrainTest,0.5900136164173062
Combined_dense_LSwFW_stacked,AgonistClass,18,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,18,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,18,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,18,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,18,Model Score,TrainTest,0.5850150602409638
Combined_dense_LSwFW_stacked,AgonistClass,19,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,19,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AgonistClass,19,Sensitivity,Test,0.006024096385542169
Combined_dense_LSwFW_stacked,AgonistClass,19,Specificity,Test,1.0
Combined_dense_LSwFW_stacked,AgonistClass,19,Model Score,TrainTest,0.5850150602409638
Combined_dense_LSwFW_stacked,AntagonistClass,0,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AntagonistClass,0,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AntagonistClass,0,Sensitivity,Test,0.04225352112676056
Combined_dense_LSwFW_stacked,AntagonistClass,0,Specificity,Test,0.994572591587517
Combined_dense_LSwFW_stacked,AntagonistClass,0,Model Score,TrainTest,0.5993403023295812
Combined_dense_LSwFW_stacked,AntagonistClass,1,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AntagonistClass,1,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AntagonistClass,1,Sensitivity,Test,0.04225352112676056
Combined_dense_LSwFW_stacked,AntagonistClass,1,Specificity,Test,0.9940298507462687
Combined_dense_LSwFW_stacked,AntagonistClass,1,Model Score,TrainTest,0.5992602480554972
Combined_dense_LSwFW_stacked,AntagonistClass,2,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AntagonistClass,2,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AntagonistClass,2,Sensitivity,Test,0.03943661971830986
Combined_dense_LSwFW_stacked,AntagonistClass,2,Specificity,Test,0.994572591587517
Combined_dense_LSwFW_stacked,AntagonistClass,2,Model Score,TrainTest,0.598164245991553
Combined_dense_LSwFW_stacked,AntagonistClass,3,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AntagonistClass,3,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AntagonistClass,3,Sensitivity,Test,0.036619718309859155
Combined_dense_LSwFW_stacked,AntagonistClass,3,Specificity,Test,0.9948439620081411
Combined_dense_LSwFW_stacked,AntagonistClass,3,Model Score,TrainTest,0.597028216790567
Combined_dense_LSwFW_stacked,AntagonistClass,4,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AntagonistClass,4,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AntagonistClass,4,Sensitivity,Test,0.04507042253521127
Combined_dense_LSwFW_stacked,AntagonistClass,4,Specificity,Test,0.9934871099050203
Combined_dense_LSwFW_stacked,AntagonistClass,4,Model Score,TrainTest,0.6003562501194412
Combined_dense_LSwFW_stacked,AntagonistClass,5,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AntagonistClass,5,Specificity,Train,1.0
Combined_dense_LSwFW_stacked,AntagonistClass,5,Sensitivity,Test,0.03943661971830986
Combined_dense_LSwFW_stacked,AntagonistClass,5,Specificity,Test,0.9948439620081411
Combined_dense_LSwFW_stacked,AntagonistClass,5,Model Score,TrainTest,0.5982042731285951
Combined_dense_LSwFW_stacked,AntagonistClass,6,Sensitivity,Train,1.0
Combined_dense_LSwFW_stacked,AntagonistClass,6,Specificity,Train,1.0
