Model,Label,Split,Metric,Type,Score
LSwFW,AgonistClass,0,Sensitivity,Train,1.0
LSwFW,AgonistClass,0,Specificity,Train,1.0
LSwFW,AgonistClass,0,Sensitivity,Test,0.0
LSwFW,AgonistClass,0,Specificity,Test,0.9991440188315857
LSwFW,AgonistClass,0,Model Score,TrainTest,0.5823737427776589
LSwFW,AgonistClass,1,Sensitivity,Train,1.0
LSwFW,AgonistClass,1,Specificity,Train,1.0
LSwFW,AgonistClass,1,Sensitivity,Test,0.0
LSwFW,AgonistClass,1,Specificity,Test,0.9982880376631714
LSwFW,AgonistClass,1,Model Score,TrainTest,0.5822474855553177
LSwFW,AgonistClass,2,Sensitivity,Train,1.0
LSwFW,AgonistClass,2,Specificity,Train,1.0
LSwFW,AgonistClass,2,Sensitivity,Test,0.0
LSwFW,AgonistClass,2,Specificity,Test,0.9995720094157928
LSwFW,AgonistClass,2,Model Score,TrainTest,0.5824368713888295
LSwFW,AgonistClass,3,Sensitivity,Train,1.0
LSwFW,AgonistClass,3,Specificity,Train,1.0
LSwFW,AgonistClass,3,Sensitivity,Test,0.0
LSwFW,AgonistClass,3,Specificity,Test,0.9993580141236893
LSwFW,AgonistClass,3,Model Score,TrainTest,0.5824053070832442
LSwFW,AgonistClass,4,Sensitivity,Train,1.0
LSwFW,AgonistClass,4,Specificity,Train,1.0
LSwFW,AgonistClass,4,Sensitivity,Test,0.0
LSwFW,AgonistClass,4,Specificity,Test,0.9989300235394821
LSwFW,AgonistClass,4,Model Score,TrainTest,0.5823421784720736
LSwFW,AgonistClass,5,Sensitivity,Train,1.0
LSwFW,AgonistClass,5,Specificity,Train,1.0
LSwFW,AgonistClass,5,Sensitivity,Test,0.0
LSwFW,AgonistClass,5,Specificity,Test,0.9989300235394821
LSwFW,AgonistClass,5,Model Score,TrainTest,0.5823421784720736
LSwFW,AgonistClass,6,Sensitivity,Train,1.0
LSwFW,AgonistClass,6,Specificity,Train,1.0
LSwFW,AgonistClass,6,Sensitivity,Test,0.0
LSwFW,AgonistClass,6,Specificity,Test,0.9987160282473786
LSwFW,AgonistClass,6,Model Score,TrainTest,0.5823106141664883
LSwFW,AgonistClass,7,Sensitivity,Train,1.0
LSwFW,AgonistClass,7,Specificity,Train,1.0
LSwFW,AgonistClass,7,Sensitivity,Test,0.0
LSwFW,AgonistClass,7,Specificity,Test,0.9987160282473786
LSwFW,AgonistClass,7,Model Score,TrainTest,0.5823106141664883
LSwFW,AgonistClass,8,Sensitivity,Train,1.0
LSwFW,AgonistClass,8,Specificity,Train,1.0
LSwFW,AgonistClass,8,Sensitivity,Test,0.0
LSwFW,AgonistClass,8,Specificity,Test,0.9993580141236893
LSwFW,AgonistClass,8,Model Score,TrainTest,0.5824053070832442
LSwFW,AgonistClass,9,Sensitivity,Train,1.0
LSwFW,AgonistClass,9,Specificity,Train,1.0
LSwFW,AgonistClass,9,Sensitivity,Test,0.0
LSwFW,AgonistClass,9,Specificity,Test,0.9989300235394821
LSwFW,AgonistClass,9,Model Score,TrainTest,0.5823421784720736
LSwFW,AgonistClass,10,Sensitivity,Train,1.0
LSwFW,AgonistClass,10,Specificity,Train,1.0
LSwFW,AgonistClass,10,Sensitivity,Test,0.0
LSwFW,AgonistClass,10,Specificity,Test,1.0
