Model,Label,Split,Metric,Type,Score
LSwFW_ones,AgonistClass,0,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,0,Specificity,Train,0.9986970684039088
LSwFW_ones,AgonistClass,0,Sensitivity,Test,0.3192771084337349
LSwFW_ones,AgonistClass,0,Specificity,Test,0.9796704472501605
LSwFW_ones,AgonistClass,0,Model Score,TrainTest,0.7127083785287567
LSwFW_ones,AgonistClass,1,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,1,Specificity,Train,0.9986970684039088
LSwFW_ones,AgonistClass,1,Sensitivity,Test,0.29518072289156627
LSwFW_ones,AgonistClass,1,Specificity,Test,0.9800984378343677
LSwFW_ones,AgonistClass,1,Model Score,TrainTest,0.7027112661760717
LSwFW_ones,AgonistClass,2,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,2,Specificity,Train,0.9986970684039088
LSwFW_ones,AgonistClass,2,Sensitivity,Test,0.3132530120481928
LSwFW_ones,AgonistClass,2,Specificity,Test,0.9815964048790926
LSwFW_ones,AgonistClass,2,Model Score,TrainTest,0.7104773970380602
LSwFW_ones,AgonistClass,3,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,3,Specificity,Train,0.9986970684039088
LSwFW_ones,AgonistClass,3,Sensitivity,Test,0.3132530120481928
LSwFW_ones,AgonistClass,3,Specificity,Test,0.9796704472501605
LSwFW_ones,AgonistClass,3,Model Score,TrainTest,0.7101933182877926
LSwFW_ones,AgonistClass,4,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,4,Specificity,Train,0.9986970684039088
LSwFW_ones,AgonistClass,4,Sensitivity,Test,0.3253012048192771
LSwFW_ones,AgonistClass,4,Specificity,Test,0.9790284613738498
LSwFW_ones,AgonistClass,4,Model Score,TrainTest,0.7151287458529647
LSwFW_ones,AgonistClass,5,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,5,Specificity,Train,0.9986970684039088
LSwFW_ones,AgonistClass,5,Sensitivity,Test,0.3192771084337349
LSwFW_ones,AgonistClass,5,Specificity,Test,0.9796704472501605
LSwFW_ones,AgonistClass,5,Model Score,TrainTest,0.7127083785287567
LSwFW_ones,AgonistClass,6,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,6,Specificity,Train,0.9993485342019544
LSwFW_ones,AgonistClass,6,Sensitivity,Test,0.3493975903614458
LSwFW_ones,AgonistClass,6,Specificity,Test,0.979884442542264
LSwFW_ones,AgonistClass,6,Model Score,TrainTest,0.7253608466450243
LSwFW_ones,AgonistClass,7,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,7,Specificity,Train,0.9986970684039088
LSwFW_ones,AgonistClass,7,Sensitivity,Test,0.3132530120481928
LSwFW_ones,AgonistClass,7,Specificity,Test,0.9805264284185747
LSwFW_ones,AgonistClass,7,Model Score,TrainTest,0.7103195755101338
LSwFW_ones,AgonistClass,8,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,8,Specificity,Train,0.9986970684039088
LSwFW_ones,AgonistClass,8,Sensitivity,Test,0.3132530120481928
LSwFW_ones,AgonistClass,8,Specificity,Test,0.979884442542264
LSwFW_ones,AgonistClass,8,Model Score,TrainTest,0.710224882593378
LSwFW_ones,AgonistClass,9,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,9,Specificity,Train,0.9986970684039088
LSwFW_ones,AgonistClass,9,Sensitivity,Test,0.3373493975903614
LSwFW_ones,AgonistClass,9,Specificity,Test,0.9775304943291248
LSwFW_ones,AgonistClass,9,Model Score,TrainTest,0.7199379161957953
LSwFW_ones,AgonistClass,10,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,10,Specificity,Train,0.9986970684039088
LSwFW_ones,AgonistClass,10,Sensitivity,Test,0.35542168674698793
LSwFW_ones,AgonistClass,10,Specificity,Test,0.9783864754975391
LSwFW_ones,AgonistClass,10,Model Score,TrainTest,0.727609354141028
LSwFW_ones,AgonistClass,11,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,11,Specificity,Train,0.9986970684039088
LSwFW_ones,AgonistClass,11,Sensitivity,Test,0.3132530120481928
LSwFW_ones,AgonistClass,11,Specificity,Test,0.9792424566659533
LSwFW_ones,AgonistClass,11,Model Score,TrainTest,0.7101301896766222
LSwFW_ones,AgonistClass,12,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,12,Specificity,Train,0.9986970684039088
LSwFW_ones,AgonistClass,12,Sensitivity,Test,0.3192771084337349
LSwFW_ones,AgonistClass,12,Specificity,Test,0.9790284613738498
LSwFW_ones,AgonistClass,12,Model Score,TrainTest,0.7126136856120008
LSwFW_ones,AgonistClass,13,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,13,Specificity,Train,1.0
LSwFW_ones,AgonistClass,13,Sensitivity,Test,0.3192771084337349
LSwFW_ones,AgonistClass,13,Specificity,Test,0.9833083672159213
LSwFW_ones,AgonistClass,13,Model Score,TrainTest,0.7133361769354327
LSwFW_ones,AgonistClass,14,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,14,Specificity,Train,0.9986970684039088
LSwFW_ones,AgonistClass,14,Sensitivity,Test,0.3132530120481928
LSwFW_ones,AgonistClass,14,Specificity,Test,0.979456451958057
LSwFW_ones,AgonistClass,14,Model Score,TrainTest,0.7101617539822074
LSwFW_ones,AgonistClass,15,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,15,Specificity,Train,0.9986970684039088
LSwFW_ones,AgonistClass,15,Sensitivity,Test,0.3253012048192771
LSwFW_ones,AgonistClass,15,Specificity,Test,0.9800984378343677
LSwFW_ones,AgonistClass,15,Model Score,TrainTest,0.715286567380891
LSwFW_ones,AgonistClass,16,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,16,Specificity,Train,0.9986979166666666
LSwFW_ones,AgonistClass,16,Sensitivity,Test,0.30120481927710846
LSwFW_ones,AgonistClass,16,Specificity,Test,0.9790284613738498
LSwFW_ones,AgonistClass,16,Model Score,TrainTest,0.7050685642675022
LSwFW_ones,AgonistClass,17,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,17,Specificity,Train,1.0
LSwFW_ones,AgonistClass,17,Sensitivity,Test,0.3132530120481928
LSwFW_ones,AgonistClass,17,Specificity,Test,0.9856623154290606
LSwFW_ones,AgonistClass,17,Model Score,TrainTest,0.7111683240559069
LSwFW_ones,AgonistClass,18,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,18,Specificity,Train,0.9986979166666666
LSwFW_ones,AgonistClass,18,Sensitivity,Test,0.3132530120481928
LSwFW_ones,AgonistClass,18,Specificity,Test,0.9805264284185747
LSwFW_ones,AgonistClass,18,Model Score,TrainTest,0.7103196348885269
LSwFW_ones,AgonistClass,19,Sensitivity,Train,1.0
LSwFW_ones,AgonistClass,19,Specificity,Train,0.9986979166666666
LSwFW_ones,AgonistClass,19,Sensitivity,Test,0.3072289156626506
LSwFW_ones,AgonistClass,19,Specificity,Test,0.9790284613738498
LSwFW_ones,AgonistClass,19,Model Score,TrainTest,0.7075836245084661
LSwFW_ones,AntagonistClass,0,Sensitivity,Train,1.0
LSwFW_ones,AntagonistClass,0,Specificity,Train,0.9992289899768697
LSwFW_ones,AntagonistClass,0,Sensitivity,Test,0.2676056338028169
LSwFW_ones,AntagonistClass,0,Specificity,Test,0.932157394843962
LSwFW_ones,AntagonistClass,0,Model Score,TrainTest,0.6841645971505412
LSwFW_ones,AntagonistClass,1,Sensitivity,Train,1.0
LSwFW_ones,AntagonistClass,1,Specificity,Train,0.9992289899768697
LSwFW_ones,AntagonistClass,1,Sensitivity,Test,0.27323943661971833
LSwFW_ones,AntagonistClass,1,Specificity,Test,0.9280868385345997
LSwFW_ones,AntagonistClass,1,Model Score,TrainTest,0.6859163027709667
LSwFW_ones,AntagonistClass,2,Sensitivity,Train,1.0
LSwFW_ones,AntagonistClass,2,Specificity,Train,0.9992289899768697
LSwFW_ones,AntagonistClass,2,Sensitivity,Test,0.27887323943661974
LSwFW_ones,AntagonistClass,2,Specificity,Test,0.9308005427408412
LSwFW_ones,AntagonistClass,2,Model Score,TrainTest,0.6886686868174436
LSwFW_ones,AntagonistClass,3,Sensitivity,Train,1.0
LSwFW_ones,AntagonistClass,3,Specificity,Train,0.9992289899768697
LSwFW_ones,AntagonistClass,3,Sensitivity,Test,0.2704225352112676
LSwFW_ones,AntagonistClass,3,Specificity,Test,0.928629579375848
LSwFW_ones,AntagonistClass,3,Model Score,TrainTest,0.6848203007070226
LSwFW_ones,AntagonistClass,4,Sensitivity,Train,1.0
LSwFW_ones,AntagonistClass,4,Specificity,Train,0.9992289899768697
LSwFW_ones,AntagonistClass,4,Sensitivity,Test,0.24225352112676057
LSwFW_ones,AntagonistClass,4,Specificity,Test,0.9310719131614654
LSwFW_ones,AntagonistClass,4,Model Score,TrainTest,0.6734199815601195
LSwFW_ones,AntagonistClass,5,Sensitivity,Train,1.0
LSwFW_ones,AntagonistClass,5,Specificity,Train,1.0
LSwFW_ones,AntagonistClass,5,Sensitivity,Test,0.27323943661971833
LSwFW_ones,AntagonistClass,5,Specificity,Test,0.9280868385345997
LSwFW_ones,AntagonistClass,5,Model Score,TrainTest,0.6859702734725858
LSwFW_ones,AntagonistClass,6,Sensitivity,Train,1.0
LSwFW_ones,AntagonistClass,6,Specificity,Train,0.9992295839753467
LSwFW_ones,AntagonistClass,6,Sensitivity,Test,0.2563380281690141
LSwFW_ones,AntagonistClass,6,Specificity,Test,0.930257801899593
