Model,Label,Split,Metric,Type,Score
dense,AgonistClass,0,Sensitivity,Train,1.0
dense,AgonistClass,0,Specificity,Train,0.9986970684039088
dense,AgonistClass,0,Sensitivity,Test,0.5903614457831325
dense,AgonistClass,0,Specificity,Test,0.9944361224053071
dense,AgonistClass,0,Model Score,TrainTest,0.8280640264575142
dense,AgonistClass,1,Sensitivity,Train,1.0
dense,AgonistClass,1,Specificity,Train,0.9986970684039088
dense,AgonistClass,1,Sensitivity,Test,0.5903614457831325
dense,AgonistClass,1,Specificity,Test,0.9925101647763749
dense,AgonistClass,1,Model Score,TrainTest,0.8277799477072466
dense,AgonistClass,2,Sensitivity,Train,1.0
dense,AgonistClass,2,Specificity,Train,0.9986970684039088
dense,AgonistClass,2,Sensitivity,Test,0.6325301204819277
dense,AgonistClass,2,Specificity,Test,0.9933661459447892
dense,AgonistClass,2,Model Score,TrainTest,0.8455116266163347
dense,AgonistClass,3,Sensitivity,Train,1.0
dense,AgonistClass,3,Specificity,Train,0.9986970684039088
dense,AgonistClass,3,Sensitivity,Test,0.5783132530120482
dense,AgonistClass,3,Specificity,Test,0.9948641129895143
dense,AgonistClass,3,Model Score,TrainTest,0.8230970345867571
dense,AgonistClass,4,Sensitivity,Train,1.0
dense,AgonistClass,4,Specificity,Train,0.9993485342019544
dense,AgonistClass,4,Sensitivity,Test,0.6024096385542169
dense,AgonistClass,4,Specificity,Test,0.9944361224053071
dense,AgonistClass,4,Model Score,TrainTest,0.8331397495453051
dense,AgonistClass,5,Sensitivity,Train,1.0
dense,AgonistClass,5,Specificity,Train,1.0
dense,AgonistClass,5,Sensitivity,Test,0.608433734939759
dense,AgonistClass,5,Specificity,Test,0.9944361224053071
dense,AgonistClass,5,Model Score,TrainTest,0.8357004123921321
dense,AgonistClass,6,Sensitivity,Train,1.0
dense,AgonistClass,6,Specificity,Train,0.9986970684039088
dense,AgonistClass,6,Sensitivity,Test,0.5602409638554217
dense,AgonistClass,6,Specificity,Test,0.9948641129895143
dense,AgonistClass,6,Model Score,TrainTest,0.8155518538638655
dense,AgonistClass,7,Sensitivity,Train,1.0
dense,AgonistClass,7,Specificity,Train,0.9986970684039088
dense,AgonistClass,7,Sensitivity,Test,0.5662650602409639
dense,AgonistClass,7,Specificity,Test,0.9944361224053071
dense,AgonistClass,7,Model Score,TrainTest,0.8180037854936587
dense,AgonistClass,8,Sensitivity,Train,1.0
dense,AgonistClass,8,Specificity,Train,0.9986970684039088
dense,AgonistClass,8,Sensitivity,Test,0.5903614457831325
dense,AgonistClass,8,Specificity,Test,0.9933661459447892
dense,AgonistClass,8,Model Score,TrainTest,0.8279062049295878
dense,AgonistClass,9,Sensitivity,Train,1.0
dense,AgonistClass,9,Specificity,Train,0.9986970684039088
dense,AgonistClass,9,Sensitivity,Test,0.5602409638554217
dense,AgonistClass,9,Specificity,Test,0.9948641129895143
dense,AgonistClass,9,Model Score,TrainTest,0.8155518538638655
dense,AgonistClass,10,Sensitivity,Train,1.0
dense,AgonistClass,10,Specificity,Train,0.9986970684039088
dense,AgonistClass,10,Sensitivity,Test,0.5662650602409639
dense,AgonistClass,10,Specificity,Test,0.9942221271132035
dense,AgonistClass,10,Model Score,TrainTest,0.8179722211880736
