Model,Label,Split,Metric,Type,Score
xgboost,AgonistClass,0,Sensitivity,Train,1.0
xgboost,AgonistClass,0,Specificity,Train,1.0
xgboost,AgonistClass,0,Sensitivity,Test,0.07228915662650602
xgboost,AgonistClass,0,Specificity,Test,1.0
xgboost,AgonistClass,0,Model Score,TrainTest,0.6126807228915663
xgboost,AgonistClass,1,Sensitivity,Train,1.0
xgboost,AgonistClass,1,Specificity,Train,1.0
xgboost,AgonistClass,1,Sensitivity,Test,0.07228915662650602
xgboost,AgonistClass,1,Specificity,Test,1.0
xgboost,AgonistClass,1,Model Score,TrainTest,0.6126807228915663
xgboost,AgonistClass,2,Sensitivity,Train,1.0
xgboost,AgonistClass,2,Specificity,Train,1.0
xgboost,AgonistClass,2,Sensitivity,Test,0.07228915662650602
xgboost,AgonistClass,2,Specificity,Test,1.0
xgboost,AgonistClass,2,Model Score,TrainTest,0.6126807228915663
xgboost,AgonistClass,3,Sensitivity,Train,1.0
xgboost,AgonistClass,3,Specificity,Train,1.0
xgboost,AgonistClass,3,Sensitivity,Test,0.07228915662650602
xgboost,AgonistClass,3,Specificity,Test,1.0
xgboost,AgonistClass,3,Model Score,TrainTest,0.6126807228915663
xgboost,AgonistClass,4,Sensitivity,Train,1.0
xgboost,AgonistClass,4,Specificity,Train,1.0
xgboost,AgonistClass,4,Sensitivity,Test,0.07228915662650602
xgboost,AgonistClass,4,Specificity,Test,1.0
xgboost,AgonistClass,4,Model Score,TrainTest,0.6126807228915663
xgboost,AgonistClass,5,Sensitivity,Train,1.0
xgboost,AgonistClass,5,Specificity,Train,1.0
xgboost,AgonistClass,5,Sensitivity,Test,0.07228915662650602
xgboost,AgonistClass,5,Specificity,Test,1.0
xgboost,AgonistClass,5,Model Score,TrainTest,0.6126807228915663
xgboost,AgonistClass,6,Sensitivity,Train,1.0
xgboost,AgonistClass,6,Specificity,Train,1.0
xgboost,AgonistClass,6,Sensitivity,Test,0.07228915662650602
xgboost,AgonistClass,6,Specificity,Test,1.0
xgboost,AgonistClass,6,Model Score,TrainTest,0.6126807228915663
xgboost,AgonistClass,7,Sensitivity,Train,1.0
xgboost,AgonistClass,7,Specificity,Train,1.0
xgboost,AgonistClass,7,Sensitivity,Test,0.06626506024096386
xgboost,AgonistClass,7,Specificity,Test,1.0
xgboost,AgonistClass,7,Model Score,TrainTest,0.6101656626506023
xgboost,AgonistClass,8,Sensitivity,Train,1.0
xgboost,AgonistClass,8,Specificity,Train,1.0
xgboost,AgonistClass,8,Sensitivity,Test,0.07228915662650602
xgboost,AgonistClass,8,Specificity,Test,1.0
xgboost,AgonistClass,8,Model Score,TrainTest,0.6126807228915663
xgboost,AgonistClass,9,Sensitivity,Train,1.0
xgboost,AgonistClass,9,Specificity,Train,1.0
xgboost,AgonistClass,9,Sensitivity,Test,0.07228915662650602
xgboost,AgonistClass,9,Specificity,Test,1.0
xgboost,AgonistClass,9,Model Score,TrainTest,0.6126807228915663
xgboost,AgonistClass,10,Sensitivity,Train,1.0
xgboost,AgonistClass,10,Specificity,Train,1.0
xgboost,AgonistClass,10,Sensitivity,Test,0.04216867469879518
xgboost,AgonistClass,10,Specificity,Test,1.0
xgboost,AgonistClass,10,Model Score,TrainTest,0.600105421686747
xgboost,AgonistClass,11,Sensitivity,Train,1.0
xgboost,AgonistClass,11,Specificity,Train,1.0
xgboost,AgonistClass,11,Sensitivity,Test,0.29518072289156627
xgboost,AgonistClass,11,Specificity,Test,0.998502032955275
xgboost,AgonistClass,11,Model Score,TrainTest,0.705517001668132
xgboost,AgonistClass,12,Sensitivity,Train,1.0
xgboost,AgonistClass,12,Specificity,Train,1.0
xgboost,AgonistClass,12,Sensitivity,Test,0.07228915662650602
xgboost,AgonistClass,12,Specificity,Test,1.0
xgboost,AgonistClass,12,Model Score,TrainTest,0.6126807228915663
xgboost,AgonistClass,13,Sensitivity,Train,1.0
xgboost,AgonistClass,13,Specificity,Train,1.0
xgboost,AgonistClass,13,Sensitivity,Test,0.07228915662650602
xgboost,AgonistClass,13,Specificity,Test,1.0
