Epoch,AttentionModelwFeatWeights_val,AttentionModelwoFeatWeights_val,DenseModel_val,AttentionModelwFeatWeights_train,AttentionModelwoFeatWeights_train,DenseModel_train
0,0.63,0.41,0.5,0.688888889,0.497777778,0.484444444
1,0.67,0.41,0.5,0.738888889,0.534444444,0.516666667
2,0.69,0.46,0.64,0.755555556,0.552222222,0.527777778
3,0.69,0.48,0.52,0.768888889,0.562222222,0.527777778
4,0.71,0.48,0.54,0.775555556,0.596666667,0.516666667
5,0.73,0.57,0.43,0.787777778,0.596666667,0.545555556
6,0.74,0.59,0.58,0.8,0.616666667,0.557777778
7,0.76,0.53,0.57,0.807777778,0.636666667,0.59
8,0.77,0.61,0.48,0.815555556,0.631111111,0.588888889
9,0.78,0.54,0.49,0.82,0.663333333,0.594444444
10,0.78,0.47,0.53,0.821111111,0.657777778,0.608888889
11,0.78,0.61,0.56,0.826666667,0.682222222,0.617777778
12,0.78,0.6,0.47,0.832222222,0.675555556,0.621111111
13,0.81,0.64,0.51,0.836666667,0.65,0.636666667
14,0.81,0.52,0.54,0.842222222,0.682222222,0.623333333
15,0.81,0.62,0.56,0.844444444,0.682222222,0.616666667
16,0.81,0.58,0.6,0.845555556,0.677777778,0.641111111
17,0.83,0.59,0.5,0.845555556,0.717777778,0.65
18,0.84,0.55,0.57,0.843333333,0.723333333,0.663333333
19,0.84,0.52,0.61,0.847777778,0.728888889,0.644444444
20,0.83,0.56,0.66,0.851111111,0.694444444,0.665555556
21,0.83,0.55,0.6,0.852222222,0.75,0.664444444
22,0.83,0.63,0.62,0.852222222,0.724444444,0.672222222
23,0.83,0.52,0.62,0.855555556,0.75,0.683333333
24,0.84,0.67,0.46,0.858888889,0.752222222,0.694444444
25,0.84,0.63,0.55,0.862222222,0.746666667,0.657777778
26,0.84,0.63,0.67,0.865555556,0.763333333,0.69
27,0.84,0.6,0.51,0.867777778,0.753333333,0.674444444
28,0.82,0.65,0.58,0.875555556,0.795555556,0.69
29,0.82,0.6,0.7,0.872222222,0.764444444,0.718888889
30,0.81,0.61,0.52,0.881111111,0.786666667,0.703333333
31,0.81,0.58,0.67,0.878888889,0.785555556,0.715555556
32,0.81,0.63,0.59,0.883333333,0.792222222,0.717777778
33,0.81,0.52,0.55,0.885555556,0.783333333,0.715555556
34,0.81,0.61,0.6,0.887777778,0.816666667,0.715555556
35,0.81,0.6,0.61,0.888888889,0.804444444,0.716666667
36,0.81,0.63,0.49,0.885555556,0.823333333,0.735555556
37,0.81,0.56,0.47,0.895555556,0.827777778,0.695555556
38,0.82,0.65,0.52,0.892222222,0.824444444,0.711111111
39,0.82,0.67,0.53,0.894444444,0.817777778,0.744444444
40,0.82,0.55,0.61,0.893333333,0.83,0.73
41,0.82,0.59,0.64,0.894444444,0.822222222,0.725555556
42,0.84,0.51,0.68,0.9,0.858888889,0.732222222
43,0.83,0.67,0.54,0.897777778,0.834444444,0.733333333
44,0.83,0.66,0.61,0.902222222,0.862222222,0.741111111
45,0.83,0.68,0.63,0.897777778,0.881111111,0.731111111
46,0.82,0.64,0.6,0.905555556,0.872222222,0.754444444
47,0.82,0.67,0.54,0.902222222,0.842222222,0.751111111
48,0.82,0.62,0.57,0.907777778,0.877777778,0.768888889
49,0.82,0.62,0.69,0.905555556,0.88,0.765555556
50,0.82,0.58,0.58,0.91,0.874444444,0.748888889
51,0.82,0.64,0.61,0.91,0.878888889,0.766666667
52,0.84,0.62,0.53,0.897777778,0.893333333,0.763333333
53,0.82,0.59,0.6,0.908888889,0.905555556,0.766666667
54,0.82,0.64,0.62,0.914444444,0.878888889,0.747777778
55,0.82,0.67,0.6,0.913333333,0.892222222,0.758888889
56,0.82,0.65,0.56,0.916666667,0.917777778,0.781111111
57,0.82,0.68,0.56,0.916666667,0.901111111,0.765555556
58,0.82,0.65,0.58,0.917777778,0.921111111,0.786666667
59,0.82,0.62,0.54,0.916666667,0.925555556,0.753333333
60,0.82,0.65,0.56,0.922222222,0.942222222,0.783333333
61,0.82,0.57,0.65,0.914444444,0.927777778,0.776666667
62,0.83,0.64,0.68,0.912222222,0.933333333,0.793333333
63,0.82,0.65,0.65,0.925555556,0.92,0.777777778
64,0.82,0.62,0.55,0.924444444,0.948888889,0.791111111
65,0.82,0.67,0.67,0.923333333,0.945555556,0.775555556
66,0.82,0.61,0.64,0.921111111,0.925555556,0.793333333
67,0.82,0.67,0.63,0.925555556,0.844444444,0.813333333
68,0.81,0.63,0.63,0.925555556,0.922222222,0.795555556
69,0.82,0.64,0.59,0.925555556,0.902222222,0.815555556
70,0.81,0.65,0.46,0.927777778,0.961111111,0.797777778
71,0.82,0.68,0.7,0.924444444,0.957777778,0.766666667
72,0.81,0.67,0.61,0.932222222,0.963333333,0.81
73,0.8,0.68,0.65,0.938888889,0.965555556,0.786666667
74,0.8,0.68,0.63,0.935555556,0.977777778,0.8
75,0.81,0.6,0.59,0.933333333,0.94,0.817777778
76,0.82,0.67,0.57,0.941111111,0.958888889,0.806666667
77,0.81,0.68,0.58,0.926666667,0.967777778,0.754444444
78,0.8,0.68,0.63,0.94,0.981111111,0.805555556
79,0.8,0.66,0.6,0.942222222,0.987777778,0.8
80,0.8,0.67,0.63,0.942222222,0.986666667,0.802222222
81,0.8,0.65,0.72,0.943333333,0.991111111,0.812222222
82,0.8,0.66,0.59,0.932222222,0.993333333,0.827777778
83,0.8,0.66,0.69,0.944444444,0.996666667,0.818888889
84,0.81,0.65,0.59,0.944444444,0.996666667,0.832222222
85,0.81,0.68,0.67,0.947777778,0.998888889,0.817777778
86,0.81,0.64,0.65,0.951111111,1,0.82
87,0.8,0.66,0.61,0.951111111,1,0.844444444
