epoch,accuracy,loss,val_accuracy,val_loss
0,0.49777779,1.086443663,0.519999981,0.726800144
1,0.516666651,0.729976535,0.479999989,0.806780934
2,0.536666691,0.755143762,0.460000008,0.708043456
3,0.51222223,0.709685922,0.389999986,0.705066085
4,0.524444461,0.706154108,0.479999989,0.731288135
5,0.51111114,0.719250143,0.519999981,0.701547325
6,0.49777779,0.701746464,0.519999981,0.706469417
7,0.515555561,0.706552148,0.519999981,0.708710849
8,0.541111112,0.702625334,0.479999989,0.718924165
9,0.49555555,0.713761151,0.479999989,0.7133407
10,0.50444442,0.70698446,0.49000001,0.704034567
11,0.516666651,0.698206246,0.449999988,0.722788393
12,0.537777781,0.705713093,0.5,0.706115961
13,0.517777801,0.723994911,0.529999971,0.707230985
14,0.50111109,0.703131497,0.479999989,0.720478237
15,0.5,0.708857834,0.469999999,0.70572418
16,0.50333333,0.714045763,0.479999989,0.724034429
17,0.469999999,0.722418845,0.519999981,0.700473428
18,0.534444451,0.708877921,0.479999989,0.726710796
19,0.49666667,0.709735453,0.519999981,0.753162384
20,0.515555561,0.744157076,0.519999981,0.71282357
21,0.519999981,0.706350386,0.519999981,0.708011866
22,0.50666666,0.700078249,0.449999988,0.724496841
23,0.50444442,0.704245925,0.529999971,0.698685527
24,0.528888881,0.696791828,0.50999999,0.712059855
25,0.536666691,0.692822516,0.430000007,0.742105186
26,0.528888881,0.69020319,0.430000007,0.751726091
27,0.536666691,0.699978054,0.519999981,0.758621216
28,0.521111131,0.717472553,0.5,0.711144686
29,0.537777781,0.699478686,0.519999981,0.724470437
30,0.515555561,0.709923089,0.479999989,0.769519091
31,0.540000021,0.709500015,0.449999988,0.843837917
32,0.48888889,0.72835809,0.519999981,0.695365608
33,0.531111121,0.71238333,0.519999981,0.734639287
34,0.553333342,0.702582181,0.479999989,0.982336879
35,0.50555557,0.785587907,0.479999989,0.708895743
36,0.518888891,0.718924344,0.529999971,0.706112981
37,0.547777772,0.685904741,0.519999981,0.711298347
38,0.545555532,0.7222054,0.519999981,0.715960026
39,0.534444451,0.705690861,0.579999983,0.712726295
40,0.603333354,0.667321086,0.560000002,0.731461048
41,0.620000005,0.665969014,0.49000001,0.762543082
42,0.577777803,0.688646317,0.560000002,0.702158332
43,0.581111133,0.698865891,0.589999974,0.698646545
44,0.548888862,0.730626285,0.550000012,0.709569097
45,0.576666653,0.689738512,0.519999981,0.766386747
46,0.606666684,0.675477684,0.540000021,0.756174088
47,0.564444423,0.698467433,0.469999999,0.83578825
48,0.544444442,0.734214604,0.519999981,0.704662681
49,0.621111095,0.670217156,0.610000014,0.679621756
50,0.632222235,0.651199281,0.579999983,0.701979518
51,0.639999986,0.645734906,0.579999983,0.703381777
52,0.636666656,0.638455093,0.589999974,0.682360828
53,0.651111126,0.648043811,0.600000024,0.712760866
54,0.664444447,0.642923295,0.550000012,0.736573458
55,0.610000014,0.655194283,0.620000005,0.741001606
56,0.655555546,0.639142811,0.529999971,0.775566339
57,0.635555565,0.651058018,0.620000005,0.732869208
58,0.668888867,0.622529447,0.560000002,0.785729349
59,0.680000007,0.62497139,0.529999971,0.811835527
60,0.646666646,0.621914327,0.569999993,0.704365492
61,0.661111116,0.648046017,0.639999986,0.721873045
62,0.664444447,0.630660355,0.589999974,0.73623389
63,0.716666639,0.581389844,0.639999986,0.73819536
64,0.712222219,0.569077373,0.610000014,0.770171881
65,0.714444458,0.577154517,0.660000026,0.678065956
66,0.684444427,0.628281474,0.680000007,0.67055887
67,0.714444458,0.587654054,0.660000026,0.726617455
68,0.727777779,0.558099449,0.589999974,0.780124366
69,0.733333349,0.546944797,0.649999976,0.810506821
70,0.723333359,0.549165785,0.660000026,0.690356374
71,0.693333328,0.595313489,0.649999976,0.712410986
