epoch,accuracy,loss,val_accuracy,val_loss
0,0.717777789,0.569462717,0.74000001,0.583816707
1,0.781111121,0.482919812,0.680000007,0.589155972
2,0.812222242,0.435435623,0.730000019,0.54548341
3,0.874444425,0.343511671,0.779999971,0.492721677
4,0.841111124,0.38561824,0.730000019,0.64978075
5,0.831111133,0.392419845,0.75999999,0.534109414
6,0.875555575,0.311050266,0.810000002,0.456885695
7,0.877777755,0.294692606,0.819999993,0.536244571
8,0.855555534,0.326543063,0.75999999,0.639102161
9,0.822222233,0.384296894,0.769999981,0.575144887
10,0.864444435,0.29497841,0.810000002,0.457686692
11,0.866666675,0.293642849,0.839999974,0.501126647
12,0.896666646,0.260606736,0.829999983,0.541264832
13,0.910000026,0.22486046,0.839999974,0.549460471
14,0.881111085,0.316812754,0.810000002,0.592699826
15,0.872222245,0.30391413,0.790000021,0.627745032
16,0.892222226,0.273063749,0.769999981,0.609082818
17,0.910000026,0.232613847,0.870000005,0.556274474
18,0.923333347,0.19110854,0.819999993,0.625350535
19,0.915555537,0.226215854,0.819999993,0.531096101
20,0.926666677,0.182344705,0.790000021,0.629068315
21,0.928888917,0.183495298,0.829999983,0.474289179
22,0.930000007,0.158616349,0.839999974,0.608343422
23,0.932222247,0.162507534,0.879999995,0.612098694
24,0.917777777,0.236547709,0.800000012,0.700664997
25,0.906666696,0.220853254,0.860000014,0.4968808
26,0.926666677,0.205082521,0.899999976,0.47712937
27,0.939999998,0.155798197,0.850000024,0.558807552
28,0.922222197,0.241674945,0.850000024,0.529744744
29,0.930000007,0.170442715,0.829999983,0.635649502
30,0.918888867,0.202143759,0.810000002,0.770048916
31,0.938888907,0.186736003,0.790000021,0.805897593
32,0.933333337,0.179016769,0.839999974,0.634770393
33,0.916666687,0.263362348,0.829999983,0.465129197
34,0.918888867,0.196383834,0.75,0.717403114
35,0.915555537,0.218159407,0.810000002,0.58456254
36,0.911111116,0.237624153,0.769999981,0.677839875
37,0.937777758,0.14777267,0.790000021,0.629543364
38,0.938888907,0.158565283,0.800000012,0.617559671
39,0.937777758,0.180712804,0.819999993,0.887356162
40,0.935555577,0.223459393,0.839999974,0.638940215
41,0.966666639,0.098610133,0.819999993,0.693390965
42,0.949999988,0.136062592,0.839999974,0.629999518
43,0.952222228,0.125332311,0.829999983,0.624359965
44,0.948888898,0.133549005,0.839999974,0.740379155
45,0.953333318,0.159536868,0.850000024,0.597224057
46,0.971111119,0.101712756,0.800000012,0.990456641
47,0.921111107,0.215493456,0.850000024,0.731326163
48,0.958888888,0.1467392,0.839999974,0.811466694
49,0.870000005,0.381797731,0.810000002,0.644884348
50,0.889999986,0.271257192,0.819999993,0.593979776
51,0.893333316,0.260689825,0.800000012,0.699148953
52,0.913333356,0.215250105,0.779999971,0.660358667
53,0.925555527,0.197267428,0.819999993,0.622106433
54,0.925555527,0.188172147,0.850000024,0.720332325
55,0.945555568,0.149486139,0.790000021,0.853302717
56,0.946666658,0.135205373,0.819999993,0.854153574
57,0.944444418,0.146540135,0.850000024,0.801015139
58,0.936666667,0.182421952,0.829999983,0.692730725
59,0.951111138,0.149161994,0.829999983,0.700741172
60,0.957777798,0.140673846,0.829999983,0.78465116
61,0.962222219,0.108816497,0.800000012,0.901945949
62,0.963333309,0.094679199,0.819999993,1.227219343
63,0.971111119,0.10819497,0.850000024,0.764342189
64,0.961111128,0.119244814,0.800000012,1.37381959
65,0.928888917,0.260504276,0.810000002,0.661244273
66,0.944444418,0.15951632,0.790000021,0.862922072
67,0.948888898,0.154285401,0.810000002,0.850145936
68,0.954444468,0.16007939,0.75,1.193013549
69,0.943333328,0.169496357,0.819999993,0.80100745
70,0.951111138,0.147695243,0.829999983,0.856076956
71,0.936666667,0.177685753,0.769999981,0.982048333
72,0.952222228,0.154487804,0.819999993,1.013702989
73,0.934444427,0.196515143,0.850000024,0.846614063
74,0.936666667,0.193218812,0.829999983,0.729817271
75,0.931111097,0.197800145,0.819999993,0.672704458
76,0.926666677,0.290584713,0.75,0.961017311
77,0.903333306,0.312755793,0.75999999,0.906159818
78,0.914444447,0.218720987,0.850000024,0.783044279
79,0.951111138,0.172258422,0.74000001,0.96856004
80,0.943333328,0.152536228,0.819999993,0.896068394
81,0.958888888,0.135612339,0.829999983,1.029667258
82,0.954444468,0.133532405,0.810000002,1.249521255
83,0.934444427,0.164987266,0.810000002,1.05163157
84,0.923333347,0.206706434,0.790000021,0.819948912
85,0.953333318,0.154249027,0.850000024,0.865252554
86,0.935555577,0.189369097,0.819999993,0.699123204
87,0.958888888,0.131795362,0.779999971,0.941929936
88,0.959999979,0.109719492,0.769999981,1.014294505
89,0.956666648,0.140949532,0.800000012,0.875148594
90,0.952222228,0.176282004,0.819999993,0.734300017
91,0.964444458,0.107875459,0.839999974,0.752682567
92,0.974444449,0.095247522,0.839999974,0.847683251
93,0.965555549,0.118483342,0.790000021,1.103740454
94,0.955555558,0.121062696,0.810000002,0.891905665
95,0.963333309,0.111863434,0.810000002,0.979130089
96,0.956666648,0.145074025,0.769999981,1.007512093
97,0.943333328,0.125335902,0.810000002,1.073551893
98,0.952222228,0.104094096,0.829999983,1.215084314
99,0.963333309,0.109639019,0.810000002,1.168355465
0,0.6377778053283691,0.7834579944610596,0.7099999785423279,0.6565853953361511
1,0.7244444489479065,0.5455020070075989,0.7400000095367432,0.6358721256256104
2,0.7988888621330261,0.4485189914703369,0.699999988079071,0.6299128532409668
3,0.8188889026641846,0.4246113896369934,0.7799999713897705,0.505135715007782
4,0.8299999833106995,0.3865911662578583,0.75,0.6076335906982422
5,0.8688889145851135,0.3284178674221039,0.7699999809265137,0.49997955560684204
6,0.8622221946716309,0.32080838084220886,0.7599999904632568,0.6462518572807312
7,0.8677777647972107,0.3372620642185211,0.8199999928474426,0.485785573720932
8,0.8688889145851135,0.3160781264305115,0.7300000190734863,0.6683602333068848
9,0.8533333539962769,0.35659682750701904,0.75,0.5327589511871338
10,0.8622221946716309,0.31249547004699707,0.7699999809265137,0.6353139281272888
11,0.8799999952316284,0.2704508304595947,0.8100000023841858,0.5792928338050842
12,0.8722222447395325,0.2963297665119171,0.8199999928474426,0.5111252069473267
13,0.8966666460037231,0.25273439288139343,0.7699999809265137,0.5902187824249268
14,0.9177777767181396,0.20603366196155548,0.7699999809265137,0.7564105987548828
15,0.9077777862548828,0.23874923586845398,0.7699999809265137,0.6959304213523865
16,0.903333306312561,0.21201898157596588,0.7799999713897705,0.5890363454818726
17,0.9133333563804626,0.2160448431968689,0.7099999785423279,0.7031787037849426
