Epoch,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc,LLDLwFW_simBatched_valacc,LLDLwFW_NosimBatched_valacc,LLDLwFW_simBatched_trainacc,LLDLwFW_NosimBatched_trainacc,LLDLwFW_simBatched_lr_0_001_valacc,LLDLwFW_NosimBatched_lr_0_001_valacc,LLDLwFW_simBatched_lr_0_001_trainacc,LLDLwFW_NosimBatched_lr_0_001_trainacc
0,0.529999971,0.479999989,0.519999981,0.647777796,0.49888888,0.49777779,,,,,,,,
1,0.680000007,0.379999995,0.479999989,0.728888869,0.50444442,0.516666651,,,,,,,,
2,0.629999995,0.479999989,0.460000008,0.796666682,0.519999981,0.536666691,,,,,,,,
3,0.730000019,0.439999998,0.389999986,0.795555532,0.526666641,0.51222223,,,,,,,,
4,0.699999988,0.50999999,0.479999989,0.853333354,0.529999971,0.524444461,,,,,,,,
5,0.75,0.419999987,0.519999981,0.819999993,0.568888903,0.51111114,,,,,,,,
6,0.779999971,0.579999983,0.519999981,0.819999993,0.589999974,0.49777779,,,,,,,,
7,0.75,0.49000001,0.519999981,0.839999974,0.564444423,0.515555561,,,,,,,,
8,0.790000021,0.540000021,0.479999989,0.854444444,0.605555534,0.541111112,,,,,,,,
9,0.769999981,0.49000001,0.479999989,0.865555584,0.621111095,0.49555555,,,,,,,,
10,0.779999971,0.600000024,0.49000001,0.860000014,0.634444416,0.50444442,,,,,,,,
11,0.75,0.460000008,0.449999988,0.886666656,0.652222216,0.516666651,,,,,,,,
12,0.769999981,0.519999981,0.5,0.903333306,0.651111126,0.537777781,,,,,,,,
13,0.75,0.569999993,0.529999971,0.861111104,0.648888886,0.517777801,,,,,,,,
14,0.769999981,0.519999981,0.479999989,0.897777796,0.667777777,0.50111109,,,,,,,,
15,0.800000012,0.540000021,0.469999999,0.895555556,0.687777758,0.5,,,,,,,,
16,0.819999993,0.49000001,0.479999989,0.895555556,0.639999986,0.50333333,,,,,,,,
17,0.800000012,0.50999999,0.519999981,0.903333306,0.656666696,0.469999999,,,,,,,,
18,0.800000012,0.50999999,0.479999989,0.881111085,0.695555568,0.534444451,,,,,,,,
19,0.790000021,0.560000002,0.519999981,0.908888876,0.683333337,0.49666667,,,,,,,,
20,0.800000012,0.620000005,0.519999981,0.894444466,0.731111109,0.515555561,,,,,,,,
21,0.810000002,0.620000005,0.519999981,0.903333306,0.734444439,0.519999981,,,,,,,,
22,0.839999974,0.589999974,0.449999988,0.911111116,0.716666639,0.50666666,,,,,,,,
23,0.850000024,0.529999971,0.529999971,0.920000017,0.733333349,0.50444442,,,,,,,,
24,0.810000002,0.589999974,0.50999999,0.927777767,0.74666667,0.528888881,,,,,,,,
25,0.819999993,0.579999983,0.430000007,0.922222197,0.767777801,0.536666691,,,,,,,,
26,0.850000024,0.600000024,0.430000007,0.930000007,0.783333361,0.528888881,,,,,,,,
27,0.790000021,0.560000002,0.519999981,0.896666646,0.74666667,0.536666691,,,,,,,,
28,0.829999983,0.610000014,0.5,0.922222197,0.772222221,0.521111131,,,,,,,,
29,0.810000002,0.560000002,0.519999981,0.935555577,0.74666667,0.537777781,,,,,,,,
30,0.839999974,0.540000021,0.479999989,0.922222197,0.706666648,0.515555561,,,,,,,,
31,0.829999983,0.610000014,0.449999988,0.922222197,0.75777775,0.540000021,,,,,,,,
32,0.800000012,0.569999993,0.519999981,0.934444427,0.75666666,0.48888889,,,,,,,,
33,0.800000012,0.629999995,0.519999981,0.923333347,0.768888891,0.531111121,,,,,,,,
34,0.839999974,0.589999974,0.479999989,0.916666687,0.793333352,0.553333342,,,,,,,,
35,0.75,0.620000005,0.479999989,0.922222197,0.785555542,0.50555557,,,,,,,,
36,0.829999983,0.620000005,0.529999971,0.941111088,0.788888872,0.518888891,,,,,,,,
37,0.800000012,0.610000014,0.519999981,0.937777758,0.806666672,0.547777772,,,,,,,,
38,0.819999993,0.660000026,0.519999981,0.944444418,0.803333342,0.545555532,,,,,,,,
39,0.769999981,0.589999974,0.579999983,0.942222238,0.822222233,0.534444451,,,,,,,,
40,0.850000024,0.649999976,0.560000002,0.941111088,0.810000002,0.603333354,,,,,,,,
41,0.829999983,0.610000014,0.49000001,0.926666677,0.847777784,0.620000005,,,,,,,,
42,0.839999974,0.699999988,0.560000002,0.949999988,0.844444454,0.577777803,,,,,,,,
43,0.810000002,0.629999995,0.589999974,0.934444427,0.850000024,0.581111133,,,,,,,,
44,0.829999983,0.649999976,0.550000012,0.949999988,0.834444463,0.548888862,,,,,,,,
45,0.829999983,0.660000026,0.519999981,0.961111128,0.848888874,0.576666653,,,,,,,,
46,0.800000012,0.629999995,0.540000021,0.937777758,0.842222214,0.606666684,,,,,,,,
47,0.819999993,0.670000017,0.469999999,0.942222238,0.846666694,0.564444423,,,,,,,,
48,0.829999983,0.600000024,0.519999981,0.941111088,0.853333354,0.544444442,,,,,,,,
49,0.879999995,0.629999995,0.610000014,0.952222228,0.864444435,0.621111095,,,,,,,,
50,0.860000014,0.600000024,0.579999983,0.936666667,0.860000014,0.632222235,,,,,,,,
51,0.839999974,0.649999976,0.579999983,0.943333328,0.864444435,0.639999986,,,,,,,,
52,0.779999971,0.660000026,0.589999974,0.958888888,0.826666653,0.636666656,,,,,,,,
53,0.850000024,0.610000014,0.600000024,0.955555558,0.868888915,0.651111126,,,,,,,,
54,0.839999974,0.610000014,0.550000012,0.963333309,0.863333344,0.664444447,,,,,,,,
55,0.800000012,0.600000024,0.620000005,0.951111138,0.856666684,0.610000014,,,,,,,,
56,0.829999983,0.579999983,0.529999971,0.954444468,0.866666675,0.655555546,,,,,,,,
57,0.810000002,0.540000021,0.620000005,0.945555568,0.886666656,0.635555565,,,,,,,,
58,0.829999983,0.550000012,0.560000002,0.955555558,0.866666675,0.668888867,,,,,,,,
59,0.800000012,0.600000024,0.529999971,0.885555565,0.870000005,0.680000007,,,,,,,,
60,0.829999983,0.649999976,0.569999993,0.920000017,0.860000014,0.646666646,,,,,,,,
61,0.75999999,0.660000026,0.639999986,0.910000026,0.867777765,0.661111116,,,,,,,,
62,0.769999981,0.639999986,0.589999974,0.920000017,0.873333335,0.664444447,,,,,,,,
63,0.779999971,0.600000024,0.639999986,0.935555577,0.894444466,0.716666639,,,,,,,,
64,0.779999971,0.660000026,0.610000014,0.943333328,0.906666696,0.712222219,,,,,,,,
65,0.790000021,0.649999976,0.660000026,0.921111107,0.887777805,0.714444458,,,,,,,,
66,0.819999993,0.649999976,0.680000007,0.926666677,0.872222245,0.684444427,,,,,,,,
67,0.720000029,0.670000017,0.660000026,0.905555546,0.893333316,0.714444458,,,,,,,,
68,0.839999974,0.610000014,0.589999974,0.916666687,0.908888876,0.727777779,,,,,,,,
69,0.800000012,0.620000005,0.649999976,0.933333337,0.911111116,0.733333349,,,,,,,,
70,0.800000012,0.629999995,0.660000026,0.927777767,0.912222207,0.723333359,,,,,,,,
71,0.779999971,0.600000024,0.649999976,0.944444418,0.902222216,0.693333328,,,,,,,,
72,0.819999993,0.610000014,0.529999971,0.943333328,0.893333316,0.74666667,,,,,,,,
73,0.790000021,0.610000014,0.600000024,0.942222238,0.910000026,0.74555558,,,,,,,,
74,0.790000021,0.610000014,0.649999976,0.959999979,0.922222197,0.76444447,,,,,,,,
