Epoch,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc
0,0.689999998,0.479999989,0.479999989,0.682222247,0.486666679,0.472222209
1,0.699999988,0.49000001,0.519999981,0.75777775,0.50222224,0.517777801
2,0.75,0.5,0.449999988,0.813333333,0.535555542,0.471111119
3,0.75999999,0.529999971,0.479999989,0.821111083,0.550000012,0.534444451
4,0.75999999,0.629999995,0.469999999,0.850000024,0.577777803,0.50111109
5,0.730000019,0.5,0.419999987,0.821111083,0.608888865,0.50444442
6,0.829999983,0.639999986,0.479999989,0.852222204,0.618888915,0.516666651
7,0.800000012,0.629999995,0.449999988,0.865555584,0.639999986,0.531111121
8,0.810000002,0.550000012,0.5,0.886666656,0.633333325,0.51222223
9,0.800000012,0.569999993,0.430000007,0.888888896,0.648888886,0.519999981
10,0.790000021,0.600000024,0.529999971,0.879999995,0.646666646,0.554444432
11,0.790000021,0.589999974,0.579999983,0.887777805,0.667777777,0.573333323
12,0.850000024,0.629999995,0.589999974,0.903333306,0.680000007,0.573333323
13,0.800000012,0.639999986,0.579999983,0.899999976,0.691111088,0.615555584
14,0.810000002,0.639999986,0.579999983,0.910000026,0.698888898,0.594444454
15,0.850000024,0.660000026,0.589999974,0.918888867,0.732222199,0.615555584
16,0.850000024,0.639999986,0.589999974,0.905555546,0.703333318,0.602222204
17,0.810000002,0.620000005,0.50999999,0.912222207,0.734444439,0.604444444
18,0.819999993,0.639999986,0.540000021,0.939999998,0.74000001,0.617777765
19,0.829999983,0.649999976,0.610000014,0.928888917,0.74555558,0.622222245
20,0.839999974,0.629999995,0.600000024,0.911111116,0.76444447,0.623333335
21,0.839999974,0.600000024,0.589999974,0.928888917,0.75333333,0.641111135
22,0.870000005,0.649999976,0.649999976,0.930000007,0.768888891,0.646666646
23,0.839999974,0.600000024,0.569999993,0.934444427,0.775555551,0.636666656
24,0.790000021,0.620000005,0.589999974,0.930000007,0.778888881,0.648888886
25,0.850000024,0.610000014,0.529999971,0.951111138,0.788888872,0.647777796
26,0.839999974,0.620000005,0.649999976,0.941111088,0.779999971,0.646666646
27,0.75,0.610000014,0.50999999,0.928888917,0.787777781,0.670000017
28,0.839999974,0.649999976,0.629999995,0.924444437,0.806666672,0.668888867
29,0.839999974,0.600000024,0.620000005,0.947777748,0.813333333,0.674444437
30,0.829999983,0.620000005,0.629999995,0.958888888,0.803333342,0.674444437
31,0.839999974,0.620000005,0.579999983,0.959999979,0.800000012,0.698888898
32,0.879999995,0.639999986,0.620000005,0.961111128,0.808888912,0.686666667
33,0.860000014,0.620000005,0.610000014,0.963333309,0.822222233,0.675555527
34,0.860000014,0.670000017,0.620000005,0.966666639,0.841111124,0.708888888
35,0.860000014,0.610000014,0.629999995,0.970000029,0.825555563,0.686666667
36,0.829999983,0.670000017,0.629999995,0.939999998,0.822222233,0.694444418
37,0.850000024,0.600000024,0.610000014,0.956666648,0.826666653,0.715555549
38,0.790000021,0.649999976,0.649999976,0.947777748,0.833333313,0.715555549
39,0.790000021,0.629999995,0.639999986,0.954444468,0.842222214,0.706666648
40,0.829999983,0.600000024,0.639999986,0.961111128,0.841111124,0.732222199
41,0.779999971,0.660000026,0.670000017,0.956666648,0.833333313,0.731111109
42,0.839999974,0.620000005,0.670000017,0.971111119,0.850000024,0.74222225
43,0.800000012,0.670000017,0.610000014,0.970000029,0.848888874,0.75111109
44,0.839999974,0.680000007,0.589999974,0.977777779,0.850000024,0.76222223
45,0.839999974,0.610000014,0.629999995,0.982222199,0.852222204,0.7588889
