Model,n_noise_dim,Metric,Split,Score
LSwFW,1,AUC,Train,0.9443943763518386
LSwFW,1,acc,Train,0.87
LSwFW,1,AUC,Test,0.9340659340659341
LSwFW,1,acc,Test,0.82
LSwFW,2,AUC,Train,0.970451063446287
LSwFW,2,acc,Train,0.9111111111111111
LSwFW,2,AUC,Test,0.963956043956044
LSwFW,2,acc,Test,0.88
LSwFW,3,AUC,Train,0.9775425829127613
LSwFW,3,acc,Train,0.8944444444444445
LSwFW,3,AUC,Test,0.9665934065934065
LSwFW,3,acc,Test,0.84
LSwFW,4,AUC,Train,0.9810123017303533
LSwFW,4,acc,Train,0.9244444444444444
LSwFW,4,AUC,Test,0.9512087912087912
LSwFW,4,acc,Test,0.85
LSwFW,5,AUC,Train,0.9710030641672674
LSwFW,5,acc,Train,0.9055555555555556
LSwFW,5,AUC,Test,0.9213186813186812
LSwFW,5,acc,Test,0.85
LSwFW,6,AUC,Train,0.9764892754145638
LSwFW,6,acc,Train,0.9255555555555556
LSwFW,6,AUC,Test,0.9046153846153846
LSwFW,6,acc,Test,0.82
LSwFW,7,AUC,Train,0.9422595980533526
LSwFW,7,acc,Train,0.8755555555555555
LSwFW,7,AUC,Test,0.8048351648351648
LSwFW,7,acc,Test,0.71
LSwFW,8,AUC,Train,0.5486380227108868
LSwFW,8,acc,Train,0.6877777777777778
LSwFW,8,AUC,Test,0.5925274725274725
LSwFW,8,acc,Test,0.65
