Model,n_noise_dim,Metric,Split,Score
dense,1,AUC,Train,0.9262572098053353
dense,1,acc,Train,0.7988888888888889
dense,1,AUC,Test,0.8747252747252747
dense,1,acc,Test,0.68
dense,2,AUC,Train,0.9569890050468637
dense,2,acc,Train,0.8466666666666667
dense,2,AUC,Test,0.8254945054945054
dense,2,acc,Test,0.73
dense,3,AUC,Train,0.9757288662581111
dense,3,acc,Train,0.9233333333333333
dense,3,AUC,Test,0.8294505494505494
dense,3,acc,Test,0.77
dense,4,AUC,Train,0.9842172855082911
dense,4,acc,Train,0.9277777777777778
dense,4,AUC,Test,0.6241758241758242
dense,4,acc,Test,0.64
dense,5,AUC,Train,0.9542740627253063
dense,5,acc,Train,0.8833333333333333
dense,5,AUC,Test,0.6435164835164835
dense,5,acc,Test,0.65
dense,6,AUC,Train,0.987647575702956
dense,6,acc,Train,0.9277777777777778
dense,6,AUC,Test,0.5485714285714285
dense,6,acc,Test,0.5
dense,7,AUC,Train,0.9936688896899784
dense,7,acc,Train,0.9555555555555556
dense,7,AUC,Test,0.6184615384615385
dense,7,acc,Test,0.66
dense,8,AUC,Train,0.6861594268204758
dense,8,acc,Train,0.7033333333333334
dense,8,AUC,Test,0.6065934065934065
dense,8,acc,Test,0.62
