Model,n_noise_dim,Metric,Split,Score
LS,1,AUC,Train,0.9020649333093006
LS,1,acc,Train,0.7866666666666666
LS,1,AUC,Test,0.8105494505494506
LS,1,acc,Test,0.68
LS,2,AUC,Train,0.9457856434751262
LS,2,acc,Train,0.8711111111111111
LS,2,AUC,Test,0.7815384615384615
LS,2,acc,Test,0.73
LS,3,AUC,Train,0.9534911229271809
LS,3,acc,Train,0.88
LS,3,AUC,Test,0.7916483516483517
LS,3,acc,Test,0.72
LS,4,AUC,Train,0.8857020547945206
LS,4,acc,Train,0.8044444444444444
LS,4,AUC,Test,0.6307692307692307
LS,4,acc,Test,0.68
LS,5,AUC,Train,0.9668010994953137
LS,5,acc,Train,0.9266666666666666
LS,5,AUC,Test,0.651868131868132
LS,5,acc,Test,0.69
LS,6,AUC,Train,0.9805447909156453
LS,6,acc,Train,0.9266666666666666
LS,6,AUC,Test,0.5454945054945054
LS,6,acc,Test,0.59
LS,7,AUC,Train,0.955794881038212
LS,7,acc,Train,0.8777777777777778
LS,7,AUC,Test,0.581098901098901
LS,7,acc,Test,0.64
LS,8,AUC,Train,0.6902431056236481
LS,8,acc,Train,0.6811111111111111
LS,8,AUC,Test,0.5797802197802199
LS,8,acc,Test,0.64
