Model,n_noise_dim,Metric,Split,Score
LSwFW_ones,1,AUC,Train,0.9026450973323721
LSwFW_ones,1,acc,Train,0.7855555555555556
LSwFW_ones,1,AUC,Test,0.810989010989011
LSwFW_ones,1,acc,Test,0.68
LSwFW_ones,2,AUC,Train,0.9577212509012256
LSwFW_ones,2,acc,Train,0.8688888888888889
LSwFW_ones,2,AUC,Test,0.7863736263736264
LSwFW_ones,2,acc,Test,0.69
LSwFW_ones,3,AUC,Train,0.9537276946647442
LSwFW_ones,3,acc,Train,0.8822222222222222
LSwFW_ones,3,AUC,Test,0.7934065934065934
LSwFW_ones,3,acc,Test,0.7
LSwFW_ones,4,AUC,Train,0.9726984949531362
LSwFW_ones,4,acc,Train,0.9011111111111111
LSwFW_ones,4,AUC,Test,0.6325274725274725
LSwFW_ones,4,acc,Test,0.67
LSwFW_ones,5,AUC,Train,0.9613993781542899
LSwFW_ones,5,acc,Train,0.9088888888888889
LSwFW_ones,5,AUC,Test,0.6553846153846153
LSwFW_ones,5,acc,Test,0.66
LSwFW_ones,6,AUC,Train,0.9817107516222062
LSwFW_ones,6,acc,Train,0.9277777777777778
LSwFW_ones,6,AUC,Test,0.552967032967033
LSwFW_ones,6,acc,Test,0.59
LSwFW_ones,7,AUC,Train,0.9561722692862292
LSwFW_ones,7,acc,Train,0.88
LSwFW_ones,7,AUC,Test,0.5881318681318681
LSwFW_ones,7,acc,Test,0.63
LSwFW_ones,8,AUC,Train,0.7269680515501082
LSwFW_ones,8,acc,Train,0.7011111111111111
LSwFW_ones,8,AUC,Test,0.5872527472527472
LSwFW_ones,8,acc,Test,0.62
