Model,n_noise_dim,Metric,Split,Score
RF,1,AUC,Train,1.0
RF,1,acc,Train,1.0
RF,1,AUC,Test,0.9824175824175824
RF,1,acc,Test,0.94
RF,2,AUC,Train,1.0
RF,2,acc,Train,1.0
RF,2,AUC,Test,0.9694505494505495
RF,2,acc,Test,0.91
RF,3,AUC,Train,0.9999999999999999
RF,3,acc,Train,1.0
RF,3,AUC,Test,0.970989010989011
RF,3,acc,Test,0.91
RF,4,AUC,Train,1.0
RF,4,acc,Train,1.0
RF,4,AUC,Test,0.887032967032967
RF,4,acc,Test,0.82
RF,5,AUC,Train,1.0
RF,5,acc,Train,1.0
RF,5,AUC,Test,0.896043956043956
RF,5,acc,Test,0.78
RF,6,AUC,Train,1.0
RF,6,acc,Train,1.0
RF,6,AUC,Test,0.7997802197802197
RF,6,acc,Test,0.72
RF,7,AUC,Train,1.0
RF,7,acc,Train,1.0
RF,7,AUC,Test,0.7993406593406595
RF,7,acc,Test,0.71
RF,8,AUC,Train,0.9999999999999999
RF,8,acc,Train,1.0
RF,8,AUC,Test,0.7303296703296704
RF,8,acc,Test,0.67
