Model,n_noise_dim,Metric,Split,Score
xgboost,1,AUC,Train,1.0
xgboost,1,acc,Train,1.0
xgboost,1,AUC,Test,0.9727472527472527
xgboost,1,acc,Test,0.96
xgboost,2,AUC,Train,1.0
xgboost,2,acc,Train,1.0
xgboost,2,AUC,Test,0.9709890109890109
xgboost,2,acc,Test,0.92
xgboost,3,AUC,Train,1.0
xgboost,3,acc,Train,1.0
xgboost,3,AUC,Test,0.9762637362637363
xgboost,3,acc,Test,0.94
xgboost,4,AUC,Train,1.0
xgboost,4,acc,Train,1.0
xgboost,4,AUC,Test,0.9279120879120879
xgboost,4,acc,Test,0.87
xgboost,5,AUC,Train,1.0
xgboost,5,acc,Train,1.0
xgboost,5,AUC,Test,0.887032967032967
xgboost,5,acc,Test,0.83
xgboost,6,AUC,Train,1.0
xgboost,6,acc,Train,1.0
xgboost,6,AUC,Test,0.8848351648351649
xgboost,6,acc,Test,0.79
xgboost,7,AUC,Train,1.0
xgboost,7,acc,Train,1.0
xgboost,7,AUC,Test,0.8114285714285714
xgboost,7,acc,Test,0.8
xgboost,8,AUC,Train,1.0
xgboost,8,acc,Train,1.0
xgboost,8,AUC,Test,0.7208791208791209
xgboost,8,acc,Test,0.69
