Epoch,LLDLwFW_valauc,LLDLwoFW_valauc,DenseModel_valauc,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainauc,LLDLwoFW_trainauc,DenseModel_trainauc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc
0,0.853430331,0.436330527,0.640852392,0.829999983,0.519999981,0.579999983,0.736273706,0.51880753,0.566268027,0.687777758,0.527777791,0.550000012
1,0.843555033,0.561330557,0.656185031,0.769999981,0.670000017,0.629999995,0.849413335,0.514054716,0.577993333,0.775555551,0.516666651,0.566666663
2,0.863305569,0.535083175,0.686850309,0.769999981,0.649999976,0.639999986,0.860970378,0.571409225,0.573583424,0.773333311,0.560000002,0.557777762
3,0.913721442,0.606289029,0.666320205,0.819999993,0.330000013,0.769999981,0.898601651,0.523845136,0.558189154,0.824444473,0.526666641,0.516666651
4,0.893970907,0.345893979,0.695686042,0.810000002,0.479999989,0.74000001,0.906573713,0.514873266,0.576294661,0.827777803,0.5088889,0.535555542
5,0.914241195,0.636434495,0.638773382,0.829999983,0.25999999,0.330000013,0.91641587,0.527184069,0.591931462,0.831111133,0.529999971,0.575555563
6,0.883315921,0.542879462,0.672557235,0.810000002,0.720000029,0.670000017,0.9361974,0.551068068,0.569351435,0.863333344,0.541111112,0.523333311
7,0.87084198,0.473492712,0.685291052,0.769999981,0.25999999,0.649999976,0.921016693,0.534852087,0.571202099,0.824444473,0.544444442,0.536666691
8,0.9152807,0.452702731,0.684511423,0.839999974,0.74000001,0.600000024,0.946770728,0.554973185,0.589184582,0.868888915,0.521111131,0.522222221
9,0.927754641,0.548856497,0.688149691,0.879999995,0.289999992,0.75,0.947899818,0.537466288,0.587081611,0.872222245,0.556666672,0.532222211
10,0.893710911,0.534563422,0.72635138,0.819999993,0.699999988,0.74000001,0.946362972,0.538838029,0.602388382,0.866666675,0.555555582,0.543333352
11,0.917619586,0.484407485,0.695686102,0.819999993,0.600000024,0.550000012,0.948543787,0.557606816,0.620257676,0.881111085,0.557777762,0.550000012
12,0.928014636,0.59095633,0.698544741,0.819999993,0.49000001,0.300000012,0.953794956,0.564255655,0.607982457,0.878888905,0.568888903,0.564444423
13,0.917619526,0.510914743,0.617203772,0.850000024,0.25999999,0.560000002,0.966066837,0.540688753,0.59559077,0.892222226,0.527777791,0.543333352
14,0.919178843,0.660083175,0.57640332,0.860000014,0.439999998,0.449999988,0.962223113,0.551789522,0.618465245,0.894444466,0.541111112,0.548888862
15,0.898908496,0.555093527,0.650467813,0.779999971,0.75,0.649999976,0.964546204,0.569513261,0.637968361,0.896666646,0.553333342,0.557777762
16,0.920997858,0.616424143,0.630717278,0.810000002,0.730000019,0.49000001,0.969062865,0.558849216,0.641391456,0.896666646,0.537777781,0.598888874
17,0.91112268,0.615124702,0.724532247,0.839999974,0.460000008,0.560000002,0.973602116,0.54842788,0.635020971,0.922222197,0.545555532,0.573333323
18,0.90072763,0.545478165,0.663201749,0.829999983,0.5,0.49000001,0.977241933,0.54989028,0.65881753,0.915555537,0.522222221,0.593333304
19,0.920738101,0.663721442,0.686070681,0.839999974,0.75,0.779999971,0.979351401,0.552588582,0.63661921,0.924444437,0.526666641,0.574444473
20,0.922816992,0.651507258,0.681133032,0.850000024,0.479999989,0.579999983,0.98125726,0.587686539,0.641922057,0.930000007,0.576666653,0.594444454
21,0.919178724,0.688409507,0.722713113,0.819999993,0.75,0.589999974,0.983803391,0.579769552,0.659888446,0.925555527,0.547777772,0.628888905
22,0.91943872,0.648388803,0.642671466,0.870000005,0.75999999,0.720000029,0.976996183,0.577964127,0.657662451,0.921111107,0.565555573,0.589999974
23,0.867203653,0.605769217,0.674636185,0.839999974,0.660000026,0.639999986,0.976125836,0.586848617,0.68792665,0.924444437,0.598888874,0.618888915
24,0.908004165,0.524168432,0.678794205,0.829999983,0.25999999,0.649999976,0.980098844,0.53794837,0.68735081,0.924444437,0.543333352,0.624444425
25,0.917099833,0.580561399,0.670997918,0.850000024,0.689999998,0.560000002,0.979548872,0.558137417,0.676641524,0.927777767,0.536666691,0.611111104
26,0.918399215,0.625519753,0.656444907,0.850000024,0.600000024,0.629999995,0.987420619,0.591769695,0.690802932,0.944444418,0.557777762,0.611111104
27,0.925415814,0.553014517,0.700103998,0.850000024,0.25999999,0.569999993,0.990487814,0.581380785,0.709312916,0.944444418,0.615555584,0.653333306
28,0.903066516,0.602390826,0.713357568,0.810000002,0.25999999,0.610000014,0.98967582,0.584286153,0.702774048,0.953333318,0.593333304,0.631111085
29,0.916580021,0.564189255,0.71179831,0.870000005,0.25999999,0.540000021,0.981460869,0.604999423,0.706145465,0.928888917,0.595555544,0.633333325
30,0.92567575,0.61044699,0.676455319,0.899999976,0.74000001,0.620000005,0.990494311,0.592753291,0.725554705,0.949999988,0.583333313,0.645555556
31,0.894230843,0.485966742,0.720893919,0.819999993,0.720000029,0.589999974,0.990034878,0.637699842,0.729003668,0.954444468,0.627777755,0.663333356
32,0.91735971,0.59511441,0.665020764,0.860000014,0.600000024,0.620000005,0.992419302,0.614123344,0.728110671,0.953333318,0.638888896,0.637777805
33,0.913461626,0.634615362,0.696985424,0.839999974,0.74000001,0.670000017,0.992568135,0.62793535,0.71883148,0.955555558,0.627777755,0.642222226
34,0.924636304,0.639033318,0.688409567,0.829999983,0.639999986,0.620000005,0.994486809,0.590045273,0.74969101,0.966666639,0.557777762,0.666666687
