Epoch,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc,LLDLwoFW_lr_0.001_valacc,DenseModel_lr_0.001_valacc,LLDLwoFW_lr_0.001_trainacc,DenseModel_lr_0.001_trainacc
0,0.720000029,0.709999979,0.74000001,0.612222195,0.50222224,0.538888872,0.270000011,0.720000029,0.50999999,0.50777775
1,0.649999976,0.540000021,0.74000001,0.73888886,0.49222222,0.536666691,0.379999995,0.74000001,0.50444442,0.525555551
2,0.829999983,0.389999986,0.25999999,0.716666639,0.533333361,0.515555561,0.620000005,0.709999979,0.536666691,0.576666653
3,0.75,0.610000014,0.649999976,0.781111121,0.532222211,0.521111131,0.50999999,0.479999989,0.538888872,0.521111131
4,0.819999993,0.589999974,0.74000001,0.804444432,0.537777781,0.49333334,0.25999999,0.720000029,0.544444442,0.531111121
5,0.699999988,0.379999995,0.25999999,0.811111093,0.538888872,0.49333334,0.25999999,0.74000001,0.584444463,0.531111121
6,0.74000001,0.49000001,0.74000001,0.805555582,0.518888891,0.566666663,0.349999994,0.479999989,0.556666672,0.516666651
7,0.819999993,0.74000001,0.75,0.795555532,0.515555561,0.518888891,0.670000017,0.639999986,0.50555557,0.564444423
8,0.829999983,0.25999999,0.74000001,0.816666663,0.49777779,0.574444473,0.600000024,0.430000007,0.553333342,0.541111112
9,0.790000021,0.349999994,0.75,0.841111124,0.518888891,0.538888872,0.360000014,0.379999995,0.571111083,0.551111102
10,0.779999971,0.620000005,0.74000001,0.858888865,0.49777779,0.527777791,0.389999986,0.50999999,0.515555561,0.535555542
11,0.829999983,0.579999983,0.74000001,0.834444463,0.523333311,0.536666691,0.280000001,0.74000001,0.537777781,0.545555532
12,0.550000012,0.439999998,0.300000012,0.824444473,0.540000021,0.49444443,0.550000012,0.689999998,0.542222202,0.577777803
13,0.74000001,0.280000001,0.670000017,0.829999983,0.524444461,0.546666682,0.74000001,0.460000008,0.515555561,0.577777803
14,0.839999974,0.529999971,0.449999988,0.853333354,0.49666667,0.50111109,0.349999994,0.629999995,0.565555573,0.568888903
15,0.769999981,0.660000026,0.670000017,0.844444454,0.516666651,0.531111121,0.25999999,0.49000001,0.578888893,0.600000024
16,0.709999979,0.340000004,0.74000001,0.872222245,0.555555582,0.50333333,0.74000001,0.610000014,0.605555534,0.604444444
