Epoch,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc,LLDLwFW_v1_valacc,LLDLwFW_v1_trainacc
0,0.620000005,0.560000002,0.600000024,0.666666687,0.482222229,0.552222252,0.819999993,0.603333354
1,0.829999983,0.340000004,0.25999999,0.76111114,0.543333352,0.535555542,0.779999971,0.75999999
2,0.75,0.689999998,0.430000007,0.806666672,0.561111093,0.540000021,0.769999981,0.784444451
3,0.790000021,0.730000019,0.670000017,0.826666653,0.5088889,0.547777772,0.75,0.833333313
4,0.860000014,0.5,0.629999995,0.836666644,0.557777762,0.548888862,0.839999974,0.825555563
5,0.870000005,0.5,0.310000002,0.858888865,0.485555559,0.51222223,0.819999993,0.867777765
6,0.829999983,0.560000002,0.680000007,0.854444444,0.566666663,0.555555582,0.829999983,0.868888915
7,0.860000014,0.400000006,0.75999999,0.887777805,0.545555532,0.536666691,0.870000005,0.883333325
8,0.850000024,0.449999988,0.589999974,0.867777765,0.562222242,0.578888893,0.829999983,0.885555565
9,0.860000014,0.25999999,0.74000001,0.893333316,0.525555551,0.569999993,0.779999971,0.878888905
10,0.819999993,0.479999989,0.589999974,0.892222226,0.553333342,0.576666653,0.839999974,0.876666665
11,0.870000005,0.349999994,0.720000029,0.904444456,0.563333333,0.547777772,0.850000024,0.891111135
12,0.839999974,0.25999999,0.519999981,0.898888886,0.554444432,0.560000002,0.819999993,0.886666656
13,0.839999974,0.49000001,0.680000007,0.912222207,0.478888899,0.565555573,0.829999983,0.885555565
14,0.819999993,0.479999989,0.550000012,0.911111116,0.556666672,0.586666644,0.800000012,0.899999976
15,0.870000005,0.49000001,0.660000026,0.923333347,0.533333361,0.600000024,0.889999986,0.907777786
16,0.839999974,0.430000007,0.74000001,0.934444427,0.561111093,0.569999993,0.839999974,0.916666687
17,0.870000005,0.469999999,0.660000026,0.927777767,0.575555563,0.575555563,0.819999993,0.931111097
18,0.860000014,0.5,0.560000002,0.922222197,0.574444473,0.582222223,0.829999983,0.915555537
19,0.839999974,0.529999971,0.629999995,0.933333337,0.543333352,0.602222204,0.819999993,0.923333347
20,0.860000014,0.400000006,0.689999998,0.927777767,0.538888872,0.586666644,0.810000002,0.906666696
21,0.829999983,0.74000001,0.769999981,0.928888917,0.566666663,0.593333304,0.870000005,0.922222197
22,0.839999974,0.469999999,0.720000029,0.936666667,0.532222211,0.603333354,0.819999993,0.917777777
23,0.839999974,0.49000001,0.610000014,0.952222228,0.50999999,0.616666675,0.870000005,0.927777767
24,0.839999974,0.50999999,0.689999998,0.956666648,0.526666641,0.625555575,0.819999993,0.934444427
25,0.860000014,0.379999995,0.680000007,0.931111097,0.537777781,0.637777805,0.839999974,0.930000007
26,0.879999995,0.74000001,0.769999981,0.949999988,0.534444451,0.600000024,0.850000024,0.931111097
27,0.829999983,0.74000001,0.689999998,0.945555568,0.573333323,0.611111104,0.860000014,0.945555568
28,0.860000014,0.50999999,0.579999983,0.933333337,0.545555532,0.656666696,0.819999993,0.926666677
29,0.800000012,0.74000001,0.649999976,0.938888907,0.554444432,0.647777796,0.839999974,0.961111128
30,0.850000024,0.74000001,0.629999995,0.955555558,0.563333333,0.638888896,0.819999993,0.953333318
31,0.839999974,0.519999981,0.600000024,0.963333309,0.579999983,0.674444437,0.850000024,0.942222238
32,0.839999974,0.430000007,0.660000026,0.949999988,0.547777772,0.638888896,0.870000005,0.949999988
33,0.829999983,0.49000001,0.709999979,0.930000007,0.561111093,0.637777805,0.819999993,0.947777748
34,0.839999974,0.74000001,0.660000026,0.951111138,0.581111133,0.665555537,0.860000014,0.936666667
35,0.879999995,0.49000001,0.670000017,0.958888888,0.602222204,0.666666687,0.829999983,0.963333309
36,0.839999974,0.540000021,0.620000005,0.965555549,0.572222233,0.666666687,0.829999983,0.949999988
37,0.810000002,0.419999987,0.730000019,0.932222247,0.593333304,0.687777758,0.829999983,0.966666639
38,0.850000024,0.529999971,0.670000017,0.963333309,0.529999971,0.661111116,0.850000024,0.977777779
39,0.850000024,0.74000001,0.709999979,0.964444458,0.558888912,0.697777748,0.860000014,0.977777779
40,0.829999983,0.550000012,0.660000026,0.974444449,0.573333323,0.702222228,0.879999995,0.971111119
41,0.829999983,0.519999981,0.670000017,0.972222209,0.611111104,0.680000007,0.860000014,0.966666639
42,0.800000012,0.569999993,0.610000014,0.975555539,0.593333304,0.707777798,0.850000024,0.978888869
43,0.829999983,0.74000001,0.74000001,0.959999979,0.576666653,0.699999988,0.839999974,0.977777779
44,0.850000024,0.579999983,0.720000029,0.970000029,0.595555544,0.727777779,0.860000014,0.964444458
45,0.839999974,0.5,0.680000007,0.977777779,0.567777753,0.701111138,0.860000014,0.966666639
46,0.829999983,0.449999988,0.670000017,0.975555539,0.566666663,0.73777777,0.819999993,0.972222209
47,0.860000014,0.550000012,0.589999974,0.973333359,0.576666653,0.734444439,0.860000014,0.971111119
48,0.850000024,0.430000007,0.660000026,0.98888886,0.589999974,0.725555539,0.870000005,0.968888879
