Epoch,LLDLwoFW_valacc,DenseModel_valacc,LLDLwoFW_trainacc,DenseModel_trainacc
0,0.519999981,0.529999971,0.513333321,0.51444447
1,0.469999999,0.469999999,0.517777801,0.481111109
2,0.469999999,0.469999999,0.541111112,0.50999999
3,0.469999999,0.419999987,0.524444461,0.51111114
4,0.469999999,0.550000012,0.482222229,0.476666659
5,0.5,0.529999971,0.485555559,0.524444461
6,0.469999999,0.529999971,0.534444451,0.49444443
7,0.5,0.479999989,0.50999999,0.516666651
8,0.529999971,0.5,0.522222221,0.527777791
9,0.519999981,0.469999999,0.50555557,0.51222223
10,0.550000012,0.529999971,0.554444432,0.524444461
11,0.550000012,0.550000012,0.572222233,0.519999981
12,0.49000001,0.529999971,0.582222223,0.50999999
13,0.529999971,0.469999999,0.607777774,0.525555551
14,0.479999989,0.529999971,0.592222214,0.551111102
15,0.579999983,0.519999981,0.608888865,0.523333311
16,0.540000021,0.519999981,0.582222223,0.50444442
17,0.550000012,0.5,0.595555544,0.515555561
18,0.519999981,0.439999998,0.612222195,0.517777801
19,0.620000005,0.550000012,0.618888915,0.524444461
20,0.610000014,0.560000002,0.594444454,0.522222221
21,0.569999993,0.550000012,0.624444425,0.542222202
22,0.540000021,0.540000021,0.624444425,0.541111112
23,0.569999993,0.550000012,0.654444456,0.528888881
24,0.579999983,0.519999981,0.631111085,0.558888912
25,0.560000002,0.540000021,0.633333325,0.529999971
26,0.579999983,0.519999981,0.627777755,0.555555582
27,0.649999976,0.50999999,0.635555565,0.545555532
28,0.569999993,0.550000012,0.653333306,0.578888893
29,0.469999999,0.5,0.642222226,0.551111102
30,0.550000012,0.50999999,0.653333306,0.534444451
31,0.550000012,0.529999971,0.642222226,0.573333323
32,0.569999993,0.5,0.658888876,0.586666644
33,0.579999983,0.479999989,0.645555556,0.562222242
34,0.660000026,0.550000012,0.628888905,0.591111124
35,0.560000002,0.5,0.642222226,0.581111133
36,0.639999986,0.529999971,0.648888886,0.575555563
37,0.639999986,0.550000012,0.635555565,0.581111133
38,0.600000024,0.50999999,0.670000017,0.584444463
39,0.5,0.540000021,0.651111126,0.598888874
40,0.660000026,0.479999989,0.632222235,0.593333304
41,0.560000002,0.540000021,0.658888876,0.576666653
42,0.639999986,0.550000012,0.658888876,0.568888903
43,0.610000014,0.579999983,0.663333356,0.589999974
44,0.649999976,0.5,0.661111116,0.560000002
45,0.629999995,0.529999971,0.657777786,0.581111133
46,0.579999983,0.550000012,0.649999976,0.614444435
47,0.620000005,0.540000021,0.664444447,0.606666684
48,0.519999981,0.50999999,0.657777786,0.617777765
49,0.610000014,0.610000014,0.647777796,0.611111104
50,0.540000021,0.600000024,0.654444456,0.607777774
51,0.569999993,0.620000005,0.663333356,0.618888915
52,0.610000014,0.529999971,0.651111126,0.610000014
53,0.519999981,0.560000002,0.670000017,0.602222204
54,0.589999974,0.550000012,0.658888876,0.629999995
55,0.639999986,0.589999974,0.663333356,0.613333344
56,0.610000014,0.560000002,0.661111116,0.623333335
57,0.610000014,0.519999981,0.663333356,0.629999995
58,0.589999974,0.560000002,0.664444447,0.616666675
59,0.620000005,0.579999983,0.654444456,0.624444425
60,0.560000002,0.569999993,0.668888867,0.626666665
61,0.589999974,0.50999999,0.680000007,0.620000005
62,0.620000005,0.529999971,0.654444456,0.622222245
63,0.550000012,0.610000014,0.660000026,0.626666665
64,0.569999993,0.50999999,0.662222207,0.639999986
65,0.620000005,0.519999981,0.664444447,0.626666665
66,0.670000017,0.50999999,0.661111116,0.617777765
67,0.629999995,0.620000005,0.660000026,0.617777765
68,0.579999983,0.529999971,0.666666687,0.608888865
69,0.610000014,0.540000021,0.668888867,0.626666665
70,0.600000024,0.569999993,0.668888867,0.615555584
71,0.560000002,0.550000012,0.673333347,0.601111114
72,0.610000014,0.589999974,0.670000017,0.629999995
73,0.560000002,0.540000021,0.680000007,0.628888905
74,0.569999993,0.589999974,0.671111107,0.605555534
75,0.610000014,0.550000012,0.649999976,0.632222235
76,0.600000024,0.610000014,0.655555546,0.617777765
77,0.639999986,0.620000005,0.688888907,0.614444435
78,0.610000014,0.560000002,0.655555546,0.627777755
79,0.589999974,0.550000012,0.676666677,0.595555544
80,0.600000024,0.529999971,0.703333318,0.637777805
81,0.579999983,0.519999981,0.694444418,0.654444456
82,0.620000005,0.579999983,0.660000026,0.623333335
83,0.610000014,0.5,0.685555577,0.626666665
84,0.649999976,0.600000024,0.683333337,0.631111085
85,0.620000005,0.550000012,0.662222207,0.625555575
86,0.660000026,0.560000002,0.698888898,0.628888905
87,0.560000002,0.600000024,0.672222197,0.605555534
88,0.620000005,0.540000021,0.687777758,0.627777755
89,0.579999983,0.519999981,0.698888898,0.620000005
90,0.649999976,0.560000002,0.688888907,0.638888896
91,0.649999976,0.569999993,0.672222197,0.627777755
92,0.629999995,0.569999993,0.702222228,0.634444416
93,0.670000017,0.550000012,0.680000007,0.617777765
94,0.639999986,0.649999976,0.698888898,0.678888917
95,0.620000005,0.560000002,0.713333309,0.647777796
96,0.629999995,0.560000002,0.688888907,0.631111085
97,0.629999995,0.600000024,0.704444468,0.622222245
98,0.639999986,0.589999974,0.698888898,0.646666646
99,0.660000026,0.569999993,0.697777748,0.648888886
100,0.639999986,0.579999983,0.694444418,0.616666675
101,0.660000026,0.579999983,0.713333309,0.639999986
102,0.670000017,0.600000024,0.714444458,0.644444466
103,0.639999986,0.600000024,0.708888888,0.645555556
104,0.649999976,0.569999993,0.708888888,0.643333316
105,0.660000026,0.610000014,0.683333337,0.643333316
106,0.680000007,0.600000024,0.706666648,0.644444466
107,0.699999988,0.579999983,0.685555577,0.673333347
108,0.670000017,0.589999974,0.715555549,0.672222197
109,0.660000026,0.589999974,0.699999988,0.672222197
110,0.670000017,0.589999974,0.721111119,0.654444456
111,0.670000017,0.540000021,0.684444427,0.674444437
112,0.660000026,0.579999983,0.715555549,0.665555537
113,0.680000007,0.639999986,0.707777798,0.666666687
114,0.670000017,0.660000026,0.697777748,0.646666646
115,0.610000014,0.589999974,0.714444458,0.661111116
116,0.649999976,0.610000014,0.715555549,0.667777777
117,0.680000007,0.569999993,0.728888869,0.634444416
118,0.620000005,0.629999995,0.722222209,0.663333356
119,0.720000029,0.600000024,0.709999979,0.660000026
120,0.689999998,0.610000014,0.715555549,0.665555537
121,0.699999988,0.579999983,0.718888879,0.671111107
122,0.629999995,0.639999986,0.720000029,0.677777767
123,0.670000017,0.579999983,0.736666679,0.674444437
124,0.649999976,0.540000021,0.715555549,0.670000017
125,0.670000017,0.639999986,0.732222199,0.676666677
126,0.670000017,0.579999983,0.716666639,0.677777767
127,0.629999995,0.649999976,0.734444439,0.667777777
128,0.610000014,0.629999995,0.728888869,0.668888867
129,0.670000017,0.629999995,0.728888869,0.668888867
130,0.660000026,0.670000017,0.731111109,0.675555527
131,0.74000001,0.600000024,0.732222199,0.692222238
132,0.709999979,0.629999995,0.721111119,0.680000007
133,0.660000026,0.629999995,0.734444439,0.670000017
