Model,Label,Metric,Type,Score
xgboost,tox21-ache-p1 (-1),AUC,Train,1
xgboost,tox21-ache-p1 (-1),AUC,Test,0.948933204
xgboost,tox21-ache-p3 (-1),AUC,Train,1
xgboost,tox21-ache-p3 (-1),AUC,Test,0.917090691
xgboost,tox21-ache-p5 (-1),AUC,Train,1
xgboost,tox21-ache-p5 (-1),AUC,Test,0.909814115
xgboost,tox21-ahr-p1 (1),AUC,Train,1
xgboost,tox21-ahr-p1 (1),AUC,Test,0.932214654
xgboost,tox21-ap1-agonist-p1 (1),AUC,Train,0.999981208
xgboost,tox21-ap1-agonist-p1 (1),AUC,Test,0.868034973
xgboost,tox21-ar-bla-agonist-p1 (1),AUC,Train,0.995679611
xgboost,tox21-ar-bla-agonist-p1 (1),AUC,Test,0.889167046
xgboost,tox21-ar-bla-antagonist-p1 (-1),AUC,Train,1
xgboost,tox21-ar-bla-antagonist-p1 (-1),AUC,Test,0.907157157
xgboost,tox21-are-bla-p1 (1),AUC,Train,0.997761388
xgboost,tox21-are-bla-p1 (1),AUC,Test,0.899374859
xgboost,tox21-ar-mda-kb2-luc-agonist-p1 (1),AUC,Train,1
xgboost,tox21-ar-mda-kb2-luc-agonist-p1 (1),AUC,Test,0.916035868
xgboost,tox21-ar-mda-kb2-luc-agonist-p3 (1),AUC,Train,1
xgboost,tox21-ar-mda-kb2-luc-agonist-p3 (1),AUC,Test,0.879438481
xgboost,tox21-ar-mda-kb2-luc-antagonist-p1 (-1),AUC,Train,1
xgboost,tox21-ar-mda-kb2-luc-antagonist-p1 (-1),AUC,Test,0.872964887
xgboost,tox21-ar-mda-kb2-luc-antagonist-p2 (-1),AUC,Train,1
xgboost,tox21-ar-mda-kb2-luc-antagonist-p2 (-1),AUC,Test,0.909962146
xgboost,tox21-aromatase-p1 (-1),AUC,Train,0.996612089
xgboost,tox21-aromatase-p1 (-1),AUC,Test,0.886166253
xgboost,tox21-car-agonist-p1 (1),AUC,Train,1
xgboost,tox21-car-agonist-p1 (1),AUC,Test,0.932943021
xgboost,tox21-car-antagonist-p1 (-1),AUC,Train,0.99992089
xgboost,tox21-car-antagonist-p1 (-1),AUC,Test,0.956709115
xgboost,tox21-casp3-cho-p1 (1),AUC,Train,1
xgboost,tox21-casp3-cho-p1 (1),AUC,Test,0.938680927
xgboost,tox21-casp3-hepg2-p1 (1),AUC,Train,1
xgboost,tox21-casp3-hepg2-p1 (1),AUC,Test,0.868792675
xgboost,tox21-elg1-luc-agonist-p1 (1),AUC,Train,1
xgboost,tox21-elg1-luc-agonist-p1 (1),AUC,Test,0.922237029
xgboost,tox21-erb-bla-antagonist-p1 (-1),AUC,Train,1
xgboost,tox21-erb-bla-antagonist-p1 (-1),AUC,Test,0.879898057
xgboost,tox21-erb-bla-p1 (1),AUC,Train,1
xgboost,tox21-erb-bla-p1 (1),AUC,Test,0.989526412
xgboost,tox21-er-bla-agonist-p2 (1),AUC,Train,1
xgboost,tox21-er-bla-agonist-p2 (1),AUC,Test,0.901544402
xgboost,tox21-er-bla-antagonist-p1 (-1),AUC,Train,1
xgboost,tox21-er-bla-antagonist-p1 (-1),AUC,Test,0.906475267
xgboost,tox21-er-luc-bg1-4e2-agonist-p2 (1),AUC,Train,0.996138813
xgboost,tox21-er-luc-bg1-4e2-agonist-p2 (1),AUC,Test,0.902408564
xgboost,tox21-er-luc-bg1-4e2-agonist-p4 (1),AUC,Train,1
xgboost,tox21-er-luc-bg1-4e2-agonist-p4 (1),AUC,Test,0.969801085
xgboost,tox21-er-luc-bg1-4e2-antagonist-p1 (-1),AUC,Train,1
xgboost,tox21-er-luc-bg1-4e2-antagonist-p1 (-1),AUC,Test,0.917357972
xgboost,tox21-er-luc-bg1-4e2-antagonist-p2 (-1),AUC,Train,1
xgboost,tox21-er-luc-bg1-4e2-antagonist-p2 (-1),AUC,Test,0.931820262
xgboost,tox21-err-p1 (1),AUC,Train,1
xgboost,tox21-err-p1 (1),AUC,Test,0.931682497
xgboost,tox21-err-p1 (-1),AUC,Train,1
xgboost,tox21-err-p1 (-1),AUC,Test,0.932075183
xgboost,tox21-esre-bla-p1 (1),AUC,Train,0.99982581
xgboost,tox21-esre-bla-p1 (1),AUC,Test,0.882796781
xgboost,tox21-fxr-bla-agonist-p2 (1),AUC,Train,1
xgboost,tox21-fxr-bla-agonist-p2 (1),AUC,Test,0.800259403
xgboost,tox21-fxr-bla-antagonist-p1 (-1),AUC,Train,1
xgboost,tox21-fxr-bla-antagonist-p1 (-1),AUC,Test,0.901810345
xgboost,tox21-gh3-tre-agonist-p1 (1),AUC,Train,0.945708923
xgboost,tox21-gh3-tre-agonist-p1 (1),AUC,Test,0.891574586
xgboost,tox21-gh3-tre-antagonist-p1 (-1),AUC,Train,1
xgboost,tox21-gh3-tre-antagonist-p1 (-1),AUC,Test,0.877460739
xgboost,tox21-gr-hela-bla-agonist-p1 (1),AUC,Train,0.998024095
xgboost,tox21-gr-hela-bla-agonist-p1 (1),AUC,Test,0.944671767
xgboost,tox21-gr-hela-bla-antagonist-p1 (-1),AUC,Train,1
xgboost,tox21-gr-hela-bla-antagonist-p1 (-1),AUC,Test,0.921713507
xgboost,tox21-h2ax-cho-p2 (1),AUC,Train,1
xgboost,tox21-h2ax-cho-p2 (1),AUC,Test,0.847462149
xgboost,tox21-hdac-p1 (-1),AUC,Train,0.999998472
xgboost,tox21-hdac-p1 (-1),AUC,Test,0.97488276
xgboost,tox21-hre-bla-agonist-p1 (1),AUC,Train,1
xgboost,tox21-hre-bla-agonist-p1 (1),AUC,Test,0.874144487
xgboost,tox21-hse-bla-p1 (1),AUC,Train,1
xgboost,tox21-hse-bla-p1 (1),AUC,Test,0.831621867
xgboost,tox21-luc-biochem-p1 (-1),AUC,Train,0.999999646
xgboost,tox21-luc-biochem-p1 (-1),AUC,Test,0.929728836
xgboost,tox21-mitotox-p1 (-1),AUC,Train,1
xgboost,tox21-mitotox-p1 (-1),AUC,Test,0.91961424
xgboost,tox21-ms-ache-p2 (-1),AUC,Train,0.999928236
xgboost,tox21-ms-ache-p2 (-1),AUC,Test,0.892040134
xgboost,tox21-nfkb-bla-agonist-p1 (1),AUC,Train,1
xgboost,tox21-nfkb-bla-agonist-p1 (1),AUC,Test,0.943275972
xgboost,tox21-p53-bla-p1 (1),AUC,Train,1
xgboost,tox21-p53-bla-p1 (1),AUC,Test,0.86863074
xgboost,tox21-pgc-err-p1 (1),AUC,Train,1
xgboost,tox21-pgc-err-p1 (1),AUC,Test,0.92227726
xgboost,tox21-pgc-err-p1 (-1),AUC,Train,0.997695264
xgboost,tox21-pgc-err-p1 (-1),AUC,Test,0.903283851
xgboost,tox21-ppard-bla-agonist-p1 (1),AUC,Train,1
xgboost,tox21-ppard-bla-agonist-p1 (1),AUC,Test,0.89245157
xgboost,tox21-ppard-bla-antagonist-p1 (-1),AUC,Train,1
xgboost,tox21-ppard-bla-antagonist-p1 (-1),AUC,Test,0.914366596
xgboost,tox21-pparg-bla-agonist-p1 (1),AUC,Train,0.985633505
xgboost,tox21-pparg-bla-agonist-p1 (1),AUC,Test,0.876172608
xgboost,tox21-pparg-bla-antagonist-p1 (-1),AUC,Train,1
xgboost,tox21-pparg-bla-antagonist-p1 (-1),AUC,Test,0.944270833
xgboost,tox21-pr-bla-agonist-p1 (1),AUC,Train,0.999965819
xgboost,tox21-pr-bla-agonist-p1 (1),AUC,Test,0.956465068
xgboost,tox21-pr-bla-antagonist-p1 (-1),AUC,Train,1
xgboost,tox21-pr-bla-antagonist-p1 (-1),AUC,Test,0.961900902
xgboost,tox21-pxr-p1 (1),AUC,Train,1
xgboost,tox21-pxr-p1 (1),AUC,Test,0.938951311
xgboost,tox21-rar-agonist-p1 (1),AUC,Train,1
xgboost,tox21-rar-agonist-p1 (1),AUC,Test,0.899404039
xgboost,tox21-rar-antagonist-p2 (-1),AUC,Train,0.999941093
xgboost,tox21-rar-antagonist-p2 (-1),AUC,Test,0.883008357
xgboost,tox21-ror-cho-antagonist-p1 (-1),AUC,Train,1
xgboost,tox21-ror-cho-antagonist-p1 (-1),AUC,Test,0.903278516
xgboost,tox21-rxr-bla-agonist-p1 (1),AUC,Train,1
xgboost,tox21-rxr-bla-agonist-p1 (1),AUC,Test,0.814511654
xgboost,tox21-sbe-bla-agonist-p1 (1),AUC,Train,1
xgboost,tox21-sbe-bla-agonist-p1 (1),AUC,Test,0.897042093
xgboost,tox21-sbe-bla-antagonist-p1 (-1),AUC,Train,1
xgboost,tox21-sbe-bla-antagonist-p1 (-1),AUC,Test,0.906621392
xgboost,tox21-shh-3t3-gli3-agonist-p1 (1),AUC,Train,1
xgboost,tox21-shh-3t3-gli3-agonist-p1 (1),AUC,Test,0.871748336
xgboost,tox21-shh-3t3-gli3-antagonist-p1 (-1),AUC,Train,1
xgboost,tox21-shh-3t3-gli3-antagonist-p1 (-1),AUC,Test,0.945626822
xgboost,tox21-trhr-hek293-p1 (1),AUC,Train,0.999985792
xgboost,tox21-trhr-hek293-p1 (1),AUC,Test,0.728115942
xgboost,tox21-trhr-hek293-p1 (-1),AUC,Train,1
xgboost,tox21-trhr-hek293-p1 (-1),AUC,Test,0.885132743
xgboost,tox21-tshr-agonist-p1 (1),AUC,Train,1
xgboost,tox21-tshr-agonist-p1 (1),AUC,Test,0.869390963
